결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"234,500","90,657","58,581","2,727","171","4,686","310,284","737.52","0.76","118","182.23","18.45","2.83","4.66","0.16","-98.22","19.66"
19년06월(2Q),"297,000","87,898","55,153","1,753","395","2,562","303,581","43.71","0.98","989","185.44","23.84","-5.04","3.18","1.34","-97.86","18.89"
19년03월(1Q),"323,000","83,183","50,178","1,791","409","2,400","301,101","6.20","1.07","2,497","193.83","15.39","-14.84","3.57","3.40","-38.31","19.40"
18년12월(4Q),"330,500","73,082","49,221","1,727","-509","3,790","298,085","6.10","1.11","-3,286","166.78","14.71","14.80","3.51","-4.46","","16.32"
18년09월(3Q),"333,500","72,404","49,456","2,652","1,208","1,547","303,268","5.56","1.10","6,594","169.78","12.13","-1.53","5.36","8.90","-62.71","20.01"
18년06월(2Q),"352,500","72,362","44,537","1,846","7,834","-1,469","301,696","4.92","1.17","46,302","163.38","13.94","12.29","4.14","68.37","3,073.18","18.71"
18년03월(1Q),"321,500","64,156","43,486","2,103","721","846","252,361","13.50","1.27","4,048","184.82","12.47","9.24","4.84","6.75","-28.46","21.09"
17년12월(4Q),"366,000","61,439","42,911","1,504","152","4,199","239,601","14.33","1.53","733","174.55","14.72","-4.16","3.50","1.24","","20.90"
17년09월(3Q),"354,500","63,339","44,107","2,693","2,635","4,533","248,398","14.29","1.43","17,686","172.43","19.89","10.69","6.11","29.73","130.79","22.36"
17년06월(2Q),"361,500","60,172","39,089","1,644","431","1,743","241,300","24.47","1.50","1,459","163.46","8.29","-21.94","4.21","2.51","-50.04","20.81"
17년03월(1Q),"353,000","59,068","38,665","1,925","910","1,334","236,762","21.74","1.49","5,659","160.55","9.41","-17.33","4.98","9.73","-33.17","22.20"
16년12월(4Q),"357,500","60,605","37,406","1,569","155","3,007","242,224","18.77","1.48","-6","160.15","14.28","40.37","4.19","-0.01","","21.03"
16년09월(3Q),"363,000","57,913","36,790","2,433","1,167","782","235,006","18.11","1.54","7,663","154.98","9.29","9.35","6.61","13.52","260.42","23.68"
16년06월(2Q),"388,500","58,050","36,096","2,106","719","3,046","232,150","26.78","1.67","2,921","159.17","14.05","9.82","5.83","5.20","-18.47","22.26"
16년03월(1Q),"347,500","57,427","35,340","2,328","1,494","1,167","230,651","22.91","1.51","8,466","160.11","13.27","3.31","6.59","15.37","32.76","23.39"
15년12월(4Q),"377,500","53,852","32,732","1,118","411","2,410","223,904","28.88","1.69","992","155.35","6.27","-34.98","3.42","1.83","138.31","21.32"
15년09월(3Q),"380,500","53,717","33,664","2,225","502","3,082","223,542","30.43","1.70","2,126","161.10","13.24","33.04","6.61","3.96","247.08","22.94"
15년06월(2Q),"441,000","50,695","31,650","1,918","623","2,913","220,538","40.11","2.00","3,582","166.00","11.94","55.41","6.06","6.83","92.66","22.16"
15년03월(1Q),"378,000","49,539","31,199","2,254","1,000","3,140","213,274","40.77","1.77","6,378","168.02","10.57","92.01","7.22","12.36","83.06","22.91"
14년12월(4Q),"306,500","49,499","30,800","1,719","269","2,179","213,385","48.12","1.44","416","170.36","13.13","162.27","5.58","0.81","","21.45"
14년09월(3Q),"387,500","48,934","29,727","1,672","229","1,604","210,615","132.95","1.84","613","175.09","1.69","123.28","5.63","1.22","-92.67","21.54"
14년06월(2Q),"344,500","48,112","28,275","1,234","356","2,873","206,477","32.34","1.67","1,859","178.69","2.69","54.65","4.36","3.71","579.11","20.08"
14년03월(1Q),"287,000","48,377","28,215","1,174","526","230","208,464","31.65","1.38","3,484","175.72","15.24","-6.28","4.16","6.95","39.07","20.37"
13년12월(4Q),"277,000","48,126","27,226","656","-570","2,853","206,952","34.24","1.34","-3,042","170.22","12.38","-48.74","2.41","-6.03","","18.52"
13년09월(3Q),"276,500","49,010","29,233","749","777","3,807","210,927","19.30","1.31","8,352","173.02","10.62","-56.54","2.56","16.04","42.55","18.37"
13년06월(2Q),"259,500","50,774","27,534","798","36","-2,884","219,860","21.94","1.18","274","169.13","12.81","-49.13","2.90","0.51","-88.61","18.53"
13년03월(1Q),"348,500","53,303","24,484","1,252","467","2,134","220,485","24.97","1.58","2,505","140.70","3.24","-20.95","5.11","4.77","-59.83","21.51"
12년12월(4Q),"355,500","52,210","24,226","1,279","531","1,177","213,450","20.09","1.67","3,191","136.81","52.36","48.75","5.28","6.15","-62.48","21.18"
12년09월(3Q),"307,500","52,541","26,426","1,723","1,051","1,887","216,096","13.37","1.42","5,859","138.84","50.89","6.41","6.52","11.47","224.77","21.88"
12년06월(2Q),"325,500","51,103","24,408","1,569","498","3,387","211,568","17.17","1.54","2,405","138.21","55.40","56.24","6.43","4.83","-52.74","22.61"
12년03월(1Q),"336,000","48,592","23,716","1,584","1,028","1,599","198,441","15.52","1.69","6,237","137.98","45.84","41.99","6.68","12.88","8.18","22.68"
11년12월(4Q),"289,500","46,965","15,900","860","1,327","-2,447","200,616","13.68","1.44","8,505","141.45","0.94","18.09","5.41","17.79","10,795.07","27.54"
11년09월(3Q),"294,000","28,061","17,513","1,620","259","2,031","203,368","23.14","1.45","1,804","160.37","16.63","14.23","9.25","3.80","-82.99","27.80"
11년06월(2Q),"235,500","26,945","15,707","1,004","727","-1,010","194,278","11.01","1.21","5,088","152.71","16.45","-1.57","6.39","10.77","-84.04","25.48"
11년03월(1Q),"230,000","26,629","16,262","1,116","827","-1,458","192,144","4.81","1.20","5,765","128.37","20.27","-17.82","6.86","12.25","5.29","27.13"
10년12월(4Q),"217,000","26,715","15,752","728","182","1,151","191,217","4.55","1.13","78","124.68","","","4.62","","","27.45"
10년09월(3Q),"241,000","","15,016","1,418","1,289","1,171","","","","10,603","","","","9.44","","","31.04"
10년06월(2Q),"224,500","","13,488","1,020","4,366","-155","","","","31,892","","","","7.56","","","30.04"
10년03월(1Q),"225,000","","13,521","1,358","760","1,339","","","","5,476","","","","10.04","","","32.19"
09년12월(4Q),"205,500","18,270","8,822","230","415","1,186","135,231","10.25","1.52","3,030","120.50","1.05","-56.05","2.61","9.13","","28.16"
09년09월(3Q),"207,500","18,039","10,527","1,182","1,460","1,417","133,897","16.17","1.55","10,757","120.29","9.75","68.50","11.23","33.47","","32.68"
09년06월(2Q),"149,500","16,852","9,381","746","834","717","124,900","765.24","1.20","6,170","126.48","12.19","28.34","7.95","20.24","56.71","29.96"
09년03월(1Q),"144,000","16,105","9,657","461","13","875","119,375","","1.21","98","131.34","16.86","-43.10","4.77","0.33","-97.55","26.72"
08년12월(4Q),"179,000","15,893","8,731","524","-571","-675","117,802","95.38","1.52","-4,222","136.11","24.64","12.26","6.00","-18.60","","30.00"
08년09월(3Q),"192,500","8,649","9,592","702","-250","506","64,206","36.93","3.00","-1,850","232.45","217.23","60.68","7.31","-11.61","","30.98"
08년06월(2Q),"273,500","8,591","8,362","581","532","-717","63,783","29.04","4.29","3,937","210.08","","","6.95","25.98","","32.31"
08년03월(1Q),"220,000","7,796","8,264","810","542","480","57,898","","3.80","4,013","208.40","","","9.80","29.18","","33.86"
