결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"51,600","66,075","36,096","1,809","1,303","13,948","90,872","9.24","0.57","1,801","735.97","6.61","-9.61","3.72","8.25","-8.58","62.54"
19년06월(2Q),"59,300","61,583","36,024","1,669","1,198","3,750","84,600","10.30","0.70","1,638","773.73","4.57","-40.40","3.54","8.15","-42.59","62.36"
19년03월(1Q),"68,700","56,085","34,623","935","760","2,235","76,915","9.86","0.89","1,088","828.08","2.63","-42.05","2.07","5.86","-33.67","65.84"
18년12월(4Q),"70,400","52,928","34,903","792","737","2,733","72,422","9.36","0.97","1,059","862.24","2.59","-42.78","1.80","6.12","-28.28","67.39"
18년09월(3Q),"72,800","49,043","33,859","2,001","1,396","1,166","66,972","9.17","1.09","1,970","919.30","0.59","-14.14","4.85","12.19","-19.68","70.18"
18년06월(2Q),"59,000","46,383","34,450","2,800","2,049","-2,410","63,217","7.01","0.93","2,853","965.67","0.52","4.90","6.07","18.38","-5.13","62.80"
18년03월(1Q),"65,000","45,369","33,737","1,614","1,196","975","61,759","7.58","1.05","1,640","965.83","-0.07","-29.65","3.74","10.35","-31.72","67.19"
17년12월(4Q),"71,200","48,330","34,024","1,385","1,049","-3,629","65,787","7.62","1.08","1,477","900.94","-0.54","31.27","3.00","9.08","24.35","59.51"
17년09월(3Q),"73,000","47,640","33,661","2,331","1,763","1,583","65,223","8.07","1.12","2,453","907.81","2.76","-7.33","5.53","15.30","-0.61","65.82"
17년06월(2Q),"68,000","46,737","34,273","2,669","2,156","4,773","63,908","7.50","1.06","3,007","905.08","4.22","23.44","6.58","19.69","39.25","67.13"
17년03월(1Q),"64,000","43,269","33,759","2,295","1,724","-5,887","59,071","7.79","1.08","2,401","940.85","3.65","50.07","4.63","16.34","51.88","55.51"
16년12월(4Q),"62,500","43,447","34,209","1,055","836","10,078","59,312","8.45","1.05","1,188","932.59","4.44","96.38","2.49","7.37","178.47","61.61"
16년09월(3Q),"68,200","51,895","32,755","2,515","1,780","6,311","70,499","10.28","0.97","2,468","743.81","4.10","106.43","5.62","15.11","94.78","57.54"
16년06월(2Q),"69,300","44,608","32,886","2,162","1,568","6,913","60,990","12.75","1.14","2,159","845.88","4.78","2.33","5.25","14.82","-15.82","61.93"
16년03월(1Q),"75,900","41,299","32,571","1,529","1,154","7,724","56,451","13.00","1.34","1,581","892.16","5.91","-14.77","3.60","11.52","-4.55","58.46"
15년12월(4Q),"70,300","39,669","32,754","537","294","11,375","54,173","11.88","1.30","427","908.80","7.16","50.23","1.38","3.16","-46.07","62.84"
15년09월(3Q),"61,300","39,998","31,464","1,218","905","2,138","54,607","9.76","1.12","1,267","870.82","6.44","-5.16","2.86","9.58","-4.01","54.52"
