결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"50,300","110,997","45,234","5,511","2,436","2,891","94,712","6.74","0.53","2,183","120.22","-4.16","-20.05","12.18","9.36","-33.24","23.03"
19년06월(2Q),"51,200","108,044","45,081","4,878","2,013","4,046","91,978","5.99","0.56","1,691","127.30","0.88","-11.43","10.82","7.44","-14.76","21.67"
19년03월(1Q),"52,800","105,585","44,187","5,127","2,058","6,767","89,928","5.97","0.59","1,657","129.46","4.61","-7.77","11.60","7.38","-29.66","22.24"
18년12월(4Q),"51,600","105,250","43,319","4,138","1,863","1,155","89,662","5.41","0.58","1,928","115.02","21.10","-18.33","9.55","8.69","-15.80","21.08"
18년09월(3Q),"55,100","103,460","47,198","6,894","3,512","2,784","87,792","5.57","0.63","3,270","120.92","11.60","38.79","14.61","15.17","32.28","24.58"
18년06월(2Q),"54,400","99,926","44,687","5,508","2,206","3,373","84,698","5.98","0.64","1,984","122.24","15.90","40.56","12.33","9.52","40.05","22.78"
18년03월(1Q),"62,100","97,105","42,240","5,559","2,723","5,380","81,994","7.28","0.76","2,356","127.75","7.81","-13.90","13.16","11.52","-44.39","23.73"
17년12월(4Q),"62,200","96,626","35,772","5,067","2,337","3,688","81,634","5.97","0.76","2,289","127.72","-4.21","0.04","14.16","11.31","-7.36","24.13"
17년09월(3Q),"65,600","95,186","42,292","4,967","2,588","1,402","80,296","6.19","0.82","2,472","128.33","26.78","18.89","11.74","12.52","47.21","22.51"
17년06월(2Q),"68,200","92,368","38,556","3,919","1,645","2,912","77,626","6.96","0.88","1,417","127.40","15.95","-21.88","10.16","7.44","-48.46","20.98"
17년03월(1Q),"59,100","90,416","39,181","6,456","4,349","5,062","74,738","5.31","0.79","4,236","131.13","27.74","96.60","16.48","22.85","163.36","26.30"
16년12월(4Q),"54,100","89,203","37,344","5,065","2,908","761","73,546","6.36","0.74","2,471","128.03","23.22","31.33","13.56","13.77","261.19","23.93"
16년09월(3Q),"53,500","85,396","33,358","4,178","1,819","2,190","70,003","7.96","0.76","1,679","135.71","12.96","31.46","12.52","9.67","163.38","23.13"
16년06월(2Q),"47,450","84,197","33,251","5,016","2,865","1,954","68,962","8.36","0.69","2,749","138.42","-2.52","-28.63","15.09","16.28","6.03","25.76"
16년03월(1Q),"59,000","80,509","30,672","3,284","1,641","3,612","66,160","10.68","0.89","1,608","149.81","10.14","65.82","10.71","9.68","25.36","21.76"
15년12월(4Q),"50,700","80,979","30,306","3,856","324","1,168","66,752","9.75","0.76","684","134.91","5.08","","12.72","4.11","","23.61"
15년09월(3Q),"45,550","80,186","29,530","3,178","772","2,509","66,554","54.08","0.68","638","132.67","8.34","1,223.92","10.76","3.88","","21.61"
