결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"33,000","40,718","24,416","1,877","1,729","2,766","50,191","4.89","0.66","2,156","234.62","-23.64","-19.56","7.69","17.83","25.62","13.44"
19년06월(2Q),"40,350","38,772","25,750","2,059","1,454","-703","47,467","6.42","0.85","1,791","233.75","-28.11","-6.08","8.00","15.56","-3.79","13.28"
19년03월(1Q),"42,600","37,173","26,019","1,914","1,293","-896","45,563","6.77","0.93","1,596","247.90","-16.81","-50.90","7.36","14.26","-44.68","13.61"
18년12월(4Q),"43,750","36,247","32,327","2,221","962","2,945","45,130","5.97","0.97","1,211","231.98","2.18","116.47","6.87","11.01","","13.55"
18년09월(3Q),"52,300","35,148","31,973","2,333","1,373","1,403","44,077","10.66","1.19","1,716","249.35","13.37","227.96","7.30","16.16","","11.08"
18년06월(2Q),"46,000","33,366","35,819","2,192","1,452","116","42,827","14.70","1.07","1,861","277.06","19.62","155.04","6.12","18.44","1,439.89","9.26"
18년03월(1Q),"29,600","30,457","31,275","3,898","2,087","5,865","42,490","19.91","0.70","2,885","304.30","15.80","561.18","12.46","26.96","","16.11"
17년12월(4Q),"28,300","32,397","31,638","1,026","-982","-1,437","45,246","","0.63","-1,381","322.77","1.55","94.26","3.24","-12.30","","6.68"
17년09월(3Q),"26,650","33,505","28,203","711","-84","263","46,709","","0.57","-139","306.69","9.54","85.34","2.52","-1.22","","8.73"
17년06월(2Q),"30,450","33,400","29,944","860","103","329","46,759","","0.65","121","299.79","10.64","279.45","2.87","1.07","32.53","6.30"
17년03월(1Q),"30,700","32,853","27,009","590","-674","-1,210","46,336","","0.66","-959","307.12","2.34","102.46","2.18","-8.39","","5.82"
16년12월(4Q),"26,500","33,532","31,154","528","-173","1,798","47,247","","0.56","-277","298.92","4.65","-0.35","1.70","-2.39","","5.06"
16년09월(3Q),"29,350","33,823","25,747","384","-187","868","47,748","","0.61","-272","282.27","-7.68","252.67","1.49","-2.32","","3.39"
16년06월(2Q),"27,750","34,070","27,064","227","77","678","48,070","54.31","0.58","91","286.86","8.64","-40.64","0.84","0.78","112.16","4.26"
16년03월(1Q),"27,300","33,923","26,391","291","78","-2,532","47,920","59.00","0.57","95","274.79","13.96","45.48","1.10","0.82","","4.84"
15년12월(4Q),"19,750","33,480","29,769","530","-301","4,474","47,324","53.80","0.42","-420","288.45","7.24","53.67","1.78","-3.61","","5.81"
15년09월(3Q),"24,550","34,128","27,889","109","534","-2,172","47,983","37.27","0.51","745","288.33","21.01","-54.37","0.39","6.40","5,065.42","4.04"
15년06월(2Q),"26,800","35,922","24,911","382","47","2,816","47,314","","0.57","43","284.85","5.27","242.41","1.53","0.38","","5.51"
15년03월(1Q),"30,200","34,976","23,158","200","14","-5,196","46,038","","0.66","-1","278.37","13.49","","0.86","-0.01","","5.38"
14년12월(4Q),"23,250","35,816","27,758","345","21","4,223","47,136","","0.49","-129","265.61","-4.74","","1.24","-1.11","","6.02"
14년09월(3Q),"36,650","36,362","23,046","239","12","-1,076","48,060","","0.76","14","245.83","-8.19","","1.03","0.12","","4.74"
14년06월(2Q),"33,700","36,823","23,665","111","-70","2,266","48,690","","0.69","-153","243.72","-3.37","","0.47","-1.12","","4.24"
14년03월(1Q),"36,300","31,389","20,406","-183","-187","302","54,784","","0.61","-456","301.66","20.55","","-0.90","-3.40","","2.55"
13년12월(4Q),"30,500","31,593","29,139","-1,761","-1,841","2,769","55,279","","0.51","-3,390","293.36","7.76","","-6.04","-24.29","","-1.26"
13년09월(3Q),"37,450","33,705","25,101","-876","-826","-7,037","59,204","","0.58","-1,557","266.07","4.53","","-3.49","-10.64","","1.10"
13년06월(2Q),"28,050","34,511","24,489","-1,106","-1,342","-1,829","60,655","","0.43","-2,564","268.84","3.99","","-4.52","-17.00","","1.12"
13년03월(1Q),"55,300","35,662","16,928","-5,612","-4,264","-5,446","62,863","","0.81","-8,063","255.84","-19.71","","-33.15","-49.75","","-23.50"
12년12월(4Q),"57,300","39,285","27,040","-689","-934","5,224","69,649","32.64","0.76","-1,799","199.76","-0.16","","-2.55","-10.36","","3.86"
12년09월(3Q),"76,600","40,580","24,013","536","384","-2,327","72,241","14.64","0.98","690","193.09","12.36","-52.77","2.23","3.92","-59.02","7.62"
12년06월(2Q),"76,300","40,148","23,549","846","753","72","71,457","12.10","0.99","1,356","190.87","7.91","-7.85","3.59","7.71","-61.40","10.93"
12년03월(1Q),"99,900","39,839","21,084","1,069","747","-1,270","72,245","11.57","1.28","1,377","182.40","4.14","-7.54","5.07","7.82","1.46","10.45"
11년12월(4Q),"92,100","39,580","27,083","1,102","734","-483","71,778","10.69","1.19","1,415","184.57","21.08","-8.01","4.07","8.05","51.51","11.07"
11년09월(3Q),"98,000","39,638","21,372","1,134","904","-671","71,841","12.11","1.26","1,683","186.27","11.96","-16.79","5.31","9.70","-6.74","11.69"
11년06월(2Q),"130,000","38,645","21,823","918","1,898","-2,066","70,029","15.80","1.72","3,512","194.90","-2.11","-49.14","4.20","20.63","20.89","10.78"
11년03월(1Q),"115,000","38,251","20,245","1,156","738","-1,596","69,324","15.19","1.53","1,357","198.82","-0.99","-26.29","5.71","8.07","-25.77","12.57"
10년12월(4Q),"116,000","37,714","22,368","1,198","520","6,738","68,324","14.36","1.57","934","192.90","","","5.36","","","13.48"
10년09월(3Q),"87,700","","19,089","1,363","972","-3,073","","","","1,804","","","","7.14","","","13.48"
10년06월(2Q),"75,000","","22,294","1,804","1,575","1,564","","","","2,905","","","","8.09","","","13.36"
10년03월(1Q),"97,500","","20,448","1,568","988","-2,655","","","","1,828","","","","7.67","","","13.36"
09년12월(4Q),"108,500","32,990","15,438","930","1,043","3,500","63,597","13.94","1.58","1,961","171.18","-24.80","-23.12","6.03","12.76","","13.83"
09년09월(3Q),"92,200","32,358","19,638","1,976","808","-3,500","62,392","17.62","1.37","1,519","163.13","7.62","75.51","10.06","10.15","-25.34","14.83"
09년06월(2Q),"74,000","31,287","20,468","1,586","868","1,039","60,354","12.78","1.13","1,632","179.36","16.93","12.14","7.75","11.28","-42.12","11.98"
09년03월(1Q),"61,100","30,305","18,226","1,186","1,109","4,467","58,486","8.64","0.97","2,086","197.27","47.23","14.91","6.51","14.63","-23.26","11.24"
08년12월(4Q),"58,000","30,350","20,528","1,210","-212","4,321","58,570","7.48","0.92","-398","169.60","-3.76","-18.50","5.90","-3.21","","12.44"
08년09월(3Q),"93,600","22,378","18,248","1,126","1,082","-1,067","43,625","8.74","1.98","2,034","192.00","44.84","35.70","6.17","19.49","20.87","11.46"
08년06월(2Q),"114,500","22,026","17,504","1,415","1,500","1,385","42,987","11.08","2.46","2,820","173.70","21.42","15.50","8.08","27.64","47.68","14.40"
08년03월(1Q),"145,000","21,387","12,379","1,032","1,446","1,557","41,237","15.52","3.25","2,719","172.38","5.15","17.20","8.34","27.00","71.42","15.86"
07년12월(4Q),"156,000","21,454","21,329","1,485","1,239","-4,802","40,802","19.21","3.54","2,330","167.49","23.36","66.72","6.96","23.87","86.56","13.94"
