결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년12월(4Q),"39,250","25,508","22,408","499","97","1,630","28,232","22.70","1.39","93","176.57","3.14","97.11","2.23","1.31","382.13","21.05"
19년09월(3Q),"41,250","25,599","23,756","906","686","1,359","28,368","24.92","1.45","853","167.38","2.16","16.68","3.81","12.21","11.56","22.25"
19년06월(2Q),"39,300","24,941","23,077","770","548","2,789","27,553","25.08","1.43","684","172.91","4.95","38.12","3.34","10.06","19.29","21.92"
19년03월(1Q),"39,150","24,374","20,828","214","105","2,265","26,856","26.89","1.46","98","178.24","4.41","-0.88","1.03","1.46","-52.78","20.93"
18년12월(4Q),"40,500","24,583","21,725","253","59","-67","27,116","25.86","1.49","19","107.41","4.79","-18.27","1.16","0.28","-90.14","20.91"
18년09월(3Q),"38,500","24,658","23,254","776","616","929","27,236","22.10","1.41","765","115.31","2.93","39.73","3.34","11.39","54.12","21.48"
18년06월(2Q),"43,950","24,058","21,989","557","458","2,285","26,491","29.82","1.66","574","113.17","5.29","4.94","2.53","8.75","5.17","21.44"
18년03월(1Q),"32,650","23,609","19,948","216","191","101","25,925","22.59","1.26","208","117.25","8.07","-17.22","1.08","3.19","-29.92","20.72"
17년12월(4Q),"40,300","23,933","20,731","310","107","1,400","26,369","26.26","1.53","196","112.77","7.78","-19.32","1.49","2.99","-89.37","19.20"
17년09월(3Q),"34,550","23,717","22,593","556","397","1,091","26,035","10.87","1.33","496","122.61","13.68","-34.90","2.46","7.70","-40.50","19.05"
17년06월(2Q),"51,600","23,325","20,884","531","412","981","25,543","14.67","2.02","545","114.11","12.83","-21.74","2.54","8.63","-14.55","18.77"
17년03월(1Q),"52,700","22,940","18,458","261","235","950","25,015","14.60","2.11","297","109.25","12.53","-1.46","1.41","4.68","19.02","18.37"
16년12월(4Q),"47,600","23,575","19,235","384","1,407","649","25,842","13.36","1.84","1,840","100.27","16.12","-1.01","1.99","29.45","540.16","18.76"
16년09월(3Q),"49,200","22,248","19,873","853","637","1,523","24,144","24.48","2.04","834","126.02","15.28","9.85","4.29","14.06","9.76","18.97"
16년06월(2Q),"54,500","21,617","18,509","679","501","1,465","23,317","28.16","2.34","638","127.13","18.05","-2.49","3.67","11.10","-6.44","18.93"
16년03월(1Q),"47,150","21,114","16,403","265","189","708","22,677","23.82","2.08","250","129.95","23.81","-33.38","1.61","4.35","-37.99","18.20"
15년12월(4Q),"53,800","21,590","16,565","388","239","649","23,281","25.23","2.31","287","119.34","32.42","15.77","2.34","4.96","-2.63","18.77"
15년09월(3Q),"61,000","21,433","17,239","777","588","1,496","23,091","28.50","2.64","760","123.33","29.60","41.39","4.51","13.39","35.78","19.41"
15년06월(2Q),"46,700","17,193","15,679","696","525","1,846","22,329","24.07","2.09","682","81.27","25.44","64.99","4.44","12.41","54.47","19.72"
15년03월(1Q),"33,400","16,666","13,248","397","310","450","21,644","19.65","1.54","403","77.39","17.10","212.98","3.00","7.41","171.09","21.45"
14년12월(4Q),"25,650","16,815","12,509","335","227","780","21,838","17.75","1.17","295","73.66","6.49","-11.75","2.68","5.43","-18.98","21.54"
14년09월(3Q),"26,050","16,684","13,302","549","431","956","21,667","17.20","1.20","560","76.13","4.77","-8.01","4.13","10.47","-6.91","21.85"
14년06월(2Q),"24,750","16,253","12,499","422","340","1,283","21,108","15.91","1.17","442","75.49","6.69","-5.84","3.38","8.46","3.14","21.82"
14년03월(1Q),"26,950","15,916","11,313","127","114","666","20,670","17.47","1.30","149","76.06","3.53","0.96","1.12","2.86","-2.38","21.49"
13년12월(4Q),"28,000","16,146","11,747","379","280","27","20,969","18.11","1.34","364","78.38","13.17","28.67","3.23","7.01","14.96","22.28"
13년09월(3Q),"31,400","15,849","12,696","597","463","448","20,583","20.95","1.53","601","80.56","6.28","1.05","4.70","11.86","-7.03","22.80"
13년06월(2Q),"29,300","15,387","11,715","448","330","1,269","19,983","18.97","1.47","428","87.28","6.72","9.58","3.82","8.66","-1.31","22.92"
13년03월(1Q),"29,500","15,054","10,927","126","117","1,201","19,551","19.03","1.51","152","89.59","4.35","14.38","1.15","3.10","-26.02","22.10"
12년12월(4Q),"29,950","15,245","10,380","295","244","-305","19,798","18.68","1.51","317","91.14","0.37","36.25","2.84","6.44","28.95","23.71"
12년09월(3Q),"30,200","15,063","11,946","591","498","1,101","19,562","19.71","1.54","647","99.58","9.47","45.63","4.95","13.45","15.31","23.22"
12년06월(2Q),"23,900","14,565","10,978","409","334","867","18,916","16.52","1.26","434","108.34","11.94","42.70","3.72","9.28","49.70","22.92"
12년03월(1Q),"23,550","14,232","10,472","110","158","552","18,483","18.08","1.27","206","123.11","19.62","265.24","1.05","4.44","73.66","20.83"
11년12월(4Q),"23,150","14,346","10,342","216","189","-264","18,574","19.05","1.25","246","108.70","25.57","70.56","2.09","5.31","130.72","21.04"
