결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"21,550","1,570","456","148","117","136","4,666","22.95","4.62","330","23.52","34.46","74.48","32.38","31.88","76.72","51.23"
19년06월(2Q),"23,900","1,438","392","94","69","153","4,293","30.04","5.57","193","22.55","24.08","3.90","24.06","20.01","-8.03","43.66"
19년03월(1Q),"30,800","1,361","264","58","63","51","4,094","37.91","7.52","182","22.77","14.53","322.72","21.95","19.82","241.85","46.19"
18년12월(4Q),"30,250","1,280","363","99","84","72","3,930","44.16","7.70","235","24.52","5.91","29.40","27.11","27.73","46.61","44.21"
18년09월(3Q),"37,100","1,120","339","85","67","59","3,583","60.86","10.36","187","24.54","93.94","664.02","24.95","24.25","585.81","44.71"
18년06월(2Q),"26,400","1,046","316","91","73","87","3,389","58.64","7.79","209","26.97","10.64","30.87","28.73","30.54","6.05","48.27"
18년03월(1Q),"23,150","873","230","14","19","5","2,905","52.94","7.97","53","39.31","5.01","-64.09","5.95","8.59","-38.20","42.16"
17년12월(4Q),"13,750","858","343","76","57","127","2,859","29.21","4.81","160","45.09","33.50","32.93","22.19","27.05","310.53","40.25"
17년09월(3Q),"9,990","795","175","11","10","-15","2,691","28.58","3.71","27","29.92","-8.10","-69.12","6.33","4.82","-71.02","32.01"
17년06월(2Q),"8,950","777","285","69","68","108","2,651","21.46","3.38","197","32.94","59.04","81.53","24.29","36.88","132.13","42.74"
17년03월(1Q),"5,400","703","219","38","29","50","2,463","17.76","2.19","86","28.29","99.56","459.36","17.39","17.20","205.10","35.02"
16년12월(4Q),"4,925","670","257","57","14","63","2,366","20.01","2.08","39","29.13","42.28","230.98","22.28","8.06","-7.10","40.87"
16년09월(3Q),"5,060","659","190","36","33","5","2,334","20.31","2.17","94","22.14","43.30","114.37","18.85","19.99","94.30","33.87"
16년06월(2Q),"6,120","631","179","38","29","55","2,253","30.06","2.72","85","27.43","52.69","370.18","21.28","19.01","6,672.06","37.99"
16년03월(1Q),"5,050","597","110","7","10","31","2,154","42.16","2.34","28","28.58","47.03","","6.20","6.53","1,221.00","32.43"
15년12월(4Q),"4,580","588","181","17","15","51","2,129","48.87","2.15","42","25.97","-9.37","-73.47","9.58","9.84","-74.29","30.44"
15년09월(3Q),"4,190","583","133","17","16","16","2,114","19.48","1.98","48","14.70","10.40","87.82","12.60","11.65","67.11","32.07"
15년06월(2Q),"4,935","554","117","8","","-12","2,032","25.22","2.43","1","20.76","30.83","58.55","6.91","0.31","-79.98","27.93"
15년03월(1Q),"4,995","558","75","","1","-6","2,043","24.89","2.45","2","22.90","-1.01","","-0.22","0.52","-92.30","34.91"
14년12월(4Q),"4,165","560","199","65","57","49","2,047","18.41","2.03","163","32.05","51.58","486.43","32.72","41.50","2,209.93","45.51"
14년09월(3Q),"4,620","519","120","9","10","-5","1,930","65.50","2.39","29","35.95","375.36","","7.41","7.83","","29.48"
14년06월(2Q),"4,450","493","90","5","2","13","1,852","1,086.45","2.40","6","38.75","216.61","","5.70","1.77","","31.25"
14년03월(1Q),"5,750","481","75","3","9","27","1,819","","3.16","28","36.05","168.81","","4.38","8.01","","38.27"
