결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"42,700","387,403","36,716","12,482","9,407","2,763","94,212","6.01","0.45","2,249","1,206.64","4.45","-6.02","9.59","9.98","-1.41","17.83"
19년06월(2Q),"45,850","372,023","36,939","13,102","9,915","32,690","91,909","6.43","0.50","2,371","1,239.11","9.83","-1.05","10.41","10.86","4.69","18.25"
19년03월(1Q),"41,850","358,273","36,464","11,592","8,459","60,612","88,284","5.95","0.47","2,023","1,269.62","14.14","-5.53","9.40","9.46","-12.66","18.25"
18년12월(4Q),"46,500","357,130","36,615","3,881","1,928","9,061","87,710","6.35","0.53","460","1,242.89","16.37","-54.17","3.52","2.16","-65.25","20.97"
18년09월(3Q),"54,200","355,892","35,151","13,282","9,540","-10,026","87,338","6.62","0.62","2,281","1,242.30","14.05","13.97","14.11","10.87","6.27","23.92"
18년06월(2Q),"52,800","345,935","33,632","13,240","9,468","-24,444","84,961","6.56","0.62","2,264","1,239.38","13.46","18.62","11.67","11.10","-4.38","19.36"
18년03월(1Q),"60,700","336,305","31,948","12,272","9,684","-64,167","82,659","7.44","0.73","2,316","1,242.88","17.18","38.37","11.98","11.45","11.28","20.93"
17년12월(4Q),"63,400","340,448","31,465","8,469","5,537","19,101","83,219","8.01","0.76","1,324","1,182.97","20.58","","7.01","6.54","20.18","17.92"
17년09월(3Q),"56,100","337,272","30,820","11,654","8,974","-17,379","82,172","7.28","0.68","2,147","1,183.26","24.20","61.54","12.30","10.83","46.93","22.83"
17년06월(2Q),"57,700","328,780","29,641","11,161","10,047","-38,261","79,817","8.19","0.72","2,368","1,184.29","20.27","78.57","13.90","12.40","57.64","25.75"
17년03월(1Q),"49,000","316,023","27,264","8,868","8,876","-11,821","76,836","7.95","0.64","2,081","1,105.26","10.55","32.78","9.20","11.17","47.52","19.19"
16년12월(4Q),"42,800","312,614","26,094","-3,374","4,631","-10,108","75,865","7.84","0.56","1,102","1,101.72","3.40","","-5.54","5.98","22.66","28.75"
16년09월(3Q),"37,850","299,366","24,816","7,214","5,774","-3,204","78,059","7.18","0.48","1,461","1,075.28","-2.86","33.27","10.50","7.65","36.18","23.30"
16년06월(2Q),"32,600","295,837","24,646","6,250","5,954","28,273","76,724","6.67","0.42","1,502","1,060.09","-4.69","57.09","11.59","7.97","74.95","28.65"
16년03월(1Q),"31,850","291,179","24,663","6,679","5,542","-3,711","75,111","7.51","0.42","1,411","1,053.76","-9.05","24.63","9.53","7.57","-9.91","21.50"
15년12월(4Q),"33,150","289,027","25,236","3,460","3,517","9,476","74,234","7.54","0.45","898","1,038.53","-11.93","-5.39","7.51","4.87","71.02","34.01"
15년09월(3Q),"35,250","285,904","25,547","5,413","4,239","11,389","73,439","8.76","0.48","1,073","1,035.47","-12.57","-7.35","7.77","5.88","-7.12","22.27"
15년06월(2Q),"36,900","281,965","25,858","3,979","3,385","24,316","72,444","8.99","0.51","859","1,025.43","-12.33","-24.27","7.36","4.76","-15.42","28.62"
15년03월(1Q),"39,300","279,301","27,117","5,359","6,132","-23,245","71,772","9.22","0.55","1,566","1,030.52","-6.45","10.78","10.21","8.79","68.40","29.27"
14년12월(4Q),"36,150","275,127","28,654","3,657","2,070","14,272","70,700","9.97","0.51","525","1,020.78","-6.18","-20.16","6.55","2.99","-24.81","29.36"
14년09월(3Q),"38,550","271,215","29,221","5,843","4,499","-17,842","69,695","10.15","0.55","1,155","1,012.29","-3.26","-0.05","11.29","6.72","4.62","31.44"
14년06월(2Q),"35,200","264,343","29,493","5,254","3,989","23,314","67,925","9.39","0.52","1,015","1,031.48","-4.25","16.37","9.21","6.03","139.86","28.17"
14년03월(1Q),"37,250","260,146","28,985","4,837","3,592","13,023","66,856","11.80","0.56","930","1,044.74","-9.48","-9.22","9.70","5.55","-12.69","30.94"
13년12월(4Q),"42,250","259,823","30,541","4,581","2,700","-49,772","67,250","12.84","0.63","699","1,024.49","-11.22","67.34","8.54","4.21","144.90","30.69"
13년09월(3Q),"37,600","253,599","30,205","5,845","4,266","39,740","65,639","13.07","0.57","1,104","1,070.98","-15.33","-2.86","11.56","6.78","-8.09","31.20"
13년06월(2Q),"34,200","249,456","30,803","4,515","1,653","-40,920","64,567","11.50","0.53","423","1,076.87","-14.19","-39.58","7.55","2.63","-70.36","27.59"
13년03월(1Q),"37,500","250,833","32,020","5,329","4,129","-12,503","64,390","9.42","0.58","1,065","1,042.87","-11.37","-34.17","8.59","6.66","-31.98","26.61"
12년12월(4Q),"37,900","247,631","34,400","2,737","1,150","52,975","63,591","8.46","0.60","285","1,053.94","-5.97","-37.08","4.55","1.80","-49.68","29.11"
12년09월(3Q),"39,700","246,080","35,675","6,018","4,631","-11,345","63,176","8.34","0.63","1,201","1,083.42","-0.73","-23.58","9.50","7.70","-19.85","27.35"
12년06월(2Q),"36,900","239,935","35,899","7,473","5,534","8,111","61,611","7.29","0.60","1,428","1,105.46","4.24","-35.87","12.19","9.38","-32.49","28.77"
12년03월(1Q),"41,350","234,166","36,127","8,094","6,086","26,705","60,133","7.19","0.69","1,566","1,116.43","10.81","-19.90","11.69","10.49","-20.15","25.88"
11년12월(4Q),"36,300","230,998","36,585","4,351","2,275","7,264","59,319","5.91","0.61","567","1,101.75","10.20","","4.21","3.84","","18.00"
11년09월(3Q),"40,350","235,423","35,936","7,875","5,907","-14,123","58,926","8.60","0.68","1,499","1,088.85","12.68","208.42","14.08","10.73","538.99","32.39"
11년06월(2Q),"50,500","211,914","34,438","11,652","8,309","-6,904","58,013","14.73","0.87","2,116","1,182.52","6.76","","21.41","16.25","","32.21"
11년03월(1Q),"57,500","209,970","32,603","10,106","7,795","-26,308","56,484","76.68","1.02","1,961","1,168.73","-1.71","61.88","19.72","15.82","23.29","32.82"
10년12월(4Q),"60,000","196,659","33,198","-2,003","-3,254","51,818","54,286","158.12","1.11","-883","1,215.83","","","-4.10","","","34.33"
10년09월(3Q),"49,000","","31,892","2,553","1,102","55,961","","","","235","","","","5.00","","","28.84"
10년06월(2Q),"47,500","","32,258","-2,913","-1,981","6,348","","","","-563","","","","-5.82","","","29.36"
10년03월(1Q),"54,600","","33,171","6,243","6,332","32,476","","","","1,590","","","","11.60","","","28.89"
09년12월(4Q),"59,700","178,516","97","201","178","-202","46,206","41.13","1.29","46","4.55","654.78","-54.25","31.88","0.40","-61.62","-5.94"
09년09월(3Q),"60,500","174,348","46","1,737","1,737","-164","45,127","39.18","1.34","468","4.66","","-69.42","81.01","4.15","-69.98","-4.65"
09년06월(2Q),"42,800","160,378","16","1,097","1,099","-192","43,967","15.89","0.95","301","6.50","","","69.51","2.75","","-7.87"
09년03월(1Q),"32,950","159,061","35","2,384","2,383","833","43,606","","0.74","653","5.59","","","91.18","6.01","","-3.81"
08년12월(4Q),"33,700","158,286","13","439","439","-92","43,394","","0.76","120","4.67","","","66.13","1.19","","-2.66"
