결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"105,500","85,623","13,222","3,825","3,221","-2,278","64,338","13.87","1.64","2,337","24.17","11.81","7.17","28.93","15.37","23.94","57.59"
19년06월(2Q),"98,500","82,524","12,578","3,991","3,245","4,641","62,091","13.77","1.59","2,351","31.43","12.34","23.56","31.73","16.07","21.09","59.02"
19년03월(1Q),"103,500","79,292","11,850","3,482","2,738","7,225","59,747","15.35","1.73","1,989","35.91","11.00","11.82","29.38","13.69","9.69","57.94"
18년12월(4Q),"101,500","81,331","11,017","2,639","1,267","-2,381","61,237","15.46","1.66","927","24.86","5.13","18.41","23.95","6.35","-63.35","58.25"
18년09월(3Q),"104,000","80,271","11,825","3,569","2,575","1,424","60,454","12.73","1.72","1,885","29.81","-7.53","-15.35","30.18","13.21","-15.89","59.40"
18년06월(2Q),"107,000","77,596","11,197","3,230","2,651","5,563","58,496","12.55","1.83","1,942","30.44","-3.61","-16.40","28.84","14.08","-2.77","58.70"
18년03월(1Q),"100,000","74,993","10,676","3,114","2,494","3,615","56,590","11.65","1.77","1,813","34.51","-9.43","-21.24","29.17","13.09","6.19","59.40"
17년12월(4Q),"115,500","78,298","10,479","2,229","3,468","2,295","59,000","13.63","1.96","2,531","27.48","-5.05","-26.80","21.27","18.31","-15.53","56.93"
17년09월(3Q),"105,500","74,674","12,789","4,216","3,078","7,224","56,360","11.80","1.87","2,242","35.35","4.81","-1.11","32.96","16.97","23.03","59.52"
17년06월(2Q),"117,000","71,527","11,617","3,863","2,746","4,128","54,069","13.73","2.16","1,997","28.12","6.76","11.70","33.26","15.79","-3.78","60.25"
17년03월(1Q),"97,500","68,532","11,787","3,953","2,350","-2,215","51,889","11.34","1.88","1,707","35.35","8.01","0.60","33.54","13.55","-17.58","59.44"
16년12월(4Q),"101,000","71,178","11,036","3,045","4,053","6,907","53,706","11.27","1.88","2,996","37.85","27.34","18.07","27.59","24.07","152.51","58.72"
16년09월(3Q),"125,000","67,032","12,202","4,263","2,499","2,894","50,676","17.47","2.47","1,822","31.94","7.57","15.06","34.94","15.40","-17.37","60.89"
16년06월(2Q),"136,500","64,387","10,881","3,459","2,856","3,265","48,818","18.11","2.80","2,075","33.97","5.45","11.94","31.79","18.29","9.09","59.58"
16년03월(1Q),"110,000","61,601","10,913","3,930","2,847","1,911","46,795","14.94","2.35","2,071","40.93","-4.01","-8.30","36.01","18.49","-7.94","61.14"
15년12월(4Q),"104,500","62,755","8,667","2,579","1,622","1,410","47,679","13.85","2.19","1,186","38.21","-17.50","-10.23","29.75","10.62","-8.22","66.09"
15년09월(3Q),"111,500","61,280","11,344","3,705","3,006","3,595","46,589","14.57","2.39","2,205","36.24","2.52","9.55","32.67","20.48","12.41","57.98"
15년06월(2Q),"94,900","58,351","10,319","3,090","2,607","6,383","44,439","12.81","2.14","1,903","34.85","3.99","7.94","29.94","18.54","39.84","56.40"
