결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"17,150","17,995","27,598","292","90","-1,032","34,732","4.47","0.49","51","211.03","7.30","-37.77","1.06","0.60","-91.40","6.36"
19년06월(2Q),"17,800","17,600","26,151","506","1,016","129","34,092","4.06","0.52","2,283","222.18","11.29","-7.11","1.93","27.81","381.11","7.61"
19년03월(1Q),"16,050","16,490","25,427","533","892","382","31,636","6.24","0.51","2,130","245.42","6.50","-12.13","2.10","28.06","","7.43"
18년12월(4Q),"15,350","15,495","26,790","36","-151","1,417","29,140","","0.53","-630","225.13","-22.17","-86.63","0.13","-8.60","","5.51"
18년09월(3Q),"22,150","15,548","25,720","470","295","163","29,526","","0.75","599","244.92","-22.34","-27.72","1.83","8.08","5.70","7.18"
18년06월(2Q),"24,150","15,620","23,498","544","277","-876","29,759","","0.81","474","238.86","-22.07","38.72","2.32","6.50","183.16","8.19"
18년03월(1Q),"27,300","15,110","23,874","607","-781","-396","28,703","","0.95","-2,259","252.25","-21.92","-25.48","2.54","-30.37","","7.80"
17년12월(4Q),"27,150","15,855","34,423","266","-108","1,341","30,840","17.48","0.88","-361","213.32","8.80","-48.37","0.77","-4.52","","4.87"
17년09월(3Q),"27,300","16,855","33,118","650","308","169","33,072","13.39","0.83","566","237.48","12.58","200.54","1.96","6.96","283.14","5.99"
17년06월(2Q),"31,050","16,323","30,153","392","145","-437","32,065","19.17","0.97","168","225.80","5.96","-30.39","1.30","2.12","-72.89","5.77"
17년03월(1Q),"32,200","15,938","30,578","814","537","733","31,330","15.55","1.03","1,181","236.76","1.41","82.59","2.66","14.87","93.41","6.88"
16년12월(4Q),"29,250","16,454","31,639","515","109","401","32,246","19.50","0.91","124","214.66","-15.83","8,374.54","1.63","1.58","","6.23"
16년09월(3Q),"34,900","15,608","29,419","216","96","-95","30,577","","1.14","148","230.00","-18.68","-27.59","0.74","1.89","","5.58"
16년06월(2Q),"37,650","16,310","28,456","564","306","1,233","31,938","","1.18","618","219.13","-11.15","86.02","1.98","7.82","","6.96"
16년03월(1Q),"35,800","16,015","30,153","446","336","764","31,303","","1.14","610","224.48","14.01","113.22","1.48","7.85","94.19","6.18"
15년12월(4Q),"33,800","15,433","37,590","6","-2,372","4,193","30,967","","1.09","-6,203","248.83","33.29","-98.69","0.02","-72.53","","3.62"
15년09월(3Q),"27,150","17,958","36,177","299","5","840","37,502","167.83","0.72","-175","251.79","24.76","-14.39","0.83","-1.88","","4.40"
15년06월(2Q),"38,900","17,622","32,029","303","64","635","37,039","137.09","1.05","-10","238.39","5.53","-54.84","0.95","-0.11","","4.11"
15년03월(1Q),"37,650","15,574","26,449","209","132","-2,690","36,709","","1.03","314","230.57","1.05","-11.20","0.79","3.42","-34.55","3.29"
14년12월(4Q),"28,700","15,652","28,202","464","1","2,251","36,834","","0.78","33","212.85","-2.77","457.06","1.65","0.36","","4.32"
14년09월(3Q),"25,700","15,494","28,997","349","-23","-293","36,547","","0.70","-53","236.05","-8.41","134.93","1.20","-0.58","","3.87"
14년06월(2Q),"28,750","15,413","30,351","671","-311","37","36,461","","0.79","-800","239.55","-2.79","352.15","2.21","-8.55","","5.00"
14년03월(1Q),"28,200","16,256","26,173","236","194","1,488","38,428","116.57","0.73","480","202.74","-9.25","-60.90","0.90","5.02","-67.56","4.32"
13년12월(4Q),"28,750","16,135","29,006","83","-274","680","38,101","23.14","0.75","-647","202.26","-6.65","-87.51","0.29","-6.76","","3.56"
13년09월(3Q),"32,350","16,166","31,661","148","32","-964","38,506","7.59","0.84","130","217.64","-4.58","-44.98","0.47","1.32","-84.10","3.68"
13년06월(2Q),"31,850","17,126","31,220","148","102","-2,308","40,269","6.43","0.79","279","211.65","-4.67","-66.52","0.48","2.80","-65.53","3.71"
13년03월(1Q),"41,850","16,811","28,840","603","581","858","39,471","7.64","1.06","1,481","206.27","-6.77","-10.62","2.09","15.32","-13.94","5.36"
12년12월(4Q),"48,350","16,156","31,073","668","907","1,641","37,919","8.45","1.28","2,374","206.85","-7.22","126.94","2.15","24.79","44.95","4.99"
12년09월(3Q),"46,750","16,546","33,181","270","341","1,998","38,734","9.38","1.21","817","234.34","-12.36","-29.17","0.81","8.58","-27.63","4.06"
12년06월(2Q),"35,300","14,826","32,748","443","338","-926","37,440","6.67","0.94","809","225.97","-7.45","-1.76","1.35","8.75","-45.97","4.58"
12년03월(1Q),"51,400","14,450","30,935","674","706","1,851","36,541","8.59","1.41","1,720","224.06","-6.63","35.12","2.18","19.37","-19.22","5.69"
11년12월(4Q),"47,150","13,549","33,492","294","641","1,516","34,580","7.38","1.36","1,638","264.68","1.22","11.65","0.88","19.64","607.97","4.68"
11년09월(3Q),"44,000","12,595","37,861","381","468","-669","32,173","8.82","1.37","1,128","318.53","-0.21","-24.04","1.01","14.50","-22.38","4.40"
11년06월(2Q),"54,400","11,726","35,383","451","658","529","30,079","10.24","1.81","1,497","287.03","-6.20","-43.91","1.27","20.44","-68.24","4.41"
11년03월(1Q),"42,300","11,036","33,132","499","850","786","28,498","4.96","1.48","2,130","298.75","-5.63","-39.09","1.51","30.89","15.79","4.52"
10년12월(4Q),"38,650","10,315","33,087","263","62","2,925","26,686","4.69","1.45","231","317.42","","","0.80","","","4.06"
10년09월(3Q),"38,400","","37,942","502","600","-2,431","","","","1,454","","","","1.32","","","4.04"
10년06월(2Q),"30,900","","37,721","804","1,843","2,188","","","","4,712","","","","2.13","","","4.86"
10년03월(1Q),"30,500","","35,111","819","737","-2,382","","","","1,840","","","","2.33","","","5.64"
09년12월(4Q),"30,250","6,915","12,147","327","212","94","17,866","11.24","1.69","548","165.40","-7.17","-54.64","2.70","12.49","211.92","8.24"
09년09월(3Q),"31,600","6,689","11,609","274","327","-182","17,281","13.63","1.83","842","177.07","-35.55","13.98","2.36","19.72","332.03","9.01"
09년06월(2Q),"25,000","6,557","10,418","627","268","547","16,941","14.96","1.48","691","188.47","-31.67","80.94","6.02","16.56","18.94","11.62"
09년03월(1Q),"18,750","6,374","8,987","387","236","-160","16,470","12.01","1.14","610","199.65","-30.79","33.74","4.30","15.13","66.45","12.18"
08년12월(4Q),"14,600","6,118","13,085","722","68","228","15,810","11.08","0.92","176","202.33","-2.85","2,287.24","5.52","4.55","-25.72","13.41"
08년09월(3Q),"24,600","5,868","18,011","240","76","653","15,165","17.85","1.62","195","243.63","25.21","139.18","1.34","5.31","-30.00","5.88"
08년06월(2Q),"22,950","5,522","15,248","347","225","208","14,270","15.70","1.61","581","189.65","14.05","67.01","2.27","16.79","39.16","7.07"
08년03월(1Q),"19,800","5,199","12,984","289","142","145","13,437","15.25","1.47","366","178.61","4.82","17.41","2.23","11.07","22.06","7.02"
07년12월(4Q),"22,200","5,056","13,468","30","92","15","13,070","18.01","1.70","237","152.83","7.98","-89.60","0.22","7.34","-38.95","4.45"
07년09월(3Q),"28,950","4,933","14,385","101","108","209","12,752","20.79","2.27","279","161.30","-4.84","-67.17","0.70","8.86","-7.75","4.15"
07년06월(2Q),"31,100","4,814","13,369","208","162","558","12,445","22.51","2.50","417","162.67","-7.57","-32.20","1.55","13.66","61.14","5.10"
07년03월(1Q),"21,450","4,657","12,387","246","116","-153","12,039","17.48","1.78","300","165.30","-9.73","-42.11","1.99","9.90","-48.50","5.63"
06년12월(4Q),"22,950","4,743","12,473","291","188","-140","12,262","15.00","1.87","388","137.70","-33.13","-29.15","2.33","11.71","-19.55","8.39"
06년09월(3Q),"22,750","8,126","15,116","306","205","30","11,970","17.58","2.39","302","90.96","-11.50","3.28","2.03","10.22","-31.12","9.90"
06년06월(2Q),"22,200","7,942","14,464","306","176","96","11,699","15.83","2.38","259","78.09","7.98","-29.35","2.12","8.97","-20.58","11.86"
06년03월(1Q),"23,900","7,766","13,723","425","396","1,129","11,440","16.41","2.62","583","93.15","-7.60","5.81","3.10","20.44","7.25","12.02"
05년12월(4Q),"23,350","7,735","18,652","410","328","-942","11,395","16.39","2.57","482","91.49","9.62","25.10","2.20","17.27","82.91","11.27"
05년09월(3Q),"15,450","7,436","17,081","296","298","90","10,954","12.35","1.77","438","109.21","12.30","-19.07","1.74","16.40","70.72","8.13"
05년06월(2Q),"12,800","7,101","13,395","433","222","536","10,462","11.57","1.54","326","105.04","-22.64","-8.98","3.24","12.76","44.24","12.03"
05년03월(1Q),"11,500","6,795","14,852","402","369","605","10,017","11.20","1.44","543","115.22","-4.68","-19.66","2.71","21.87","23.27","9.72"
04년12월(4Q),"8,050","6,715","17,015","328","179","99","9,930","8.52","1.02","263","91.70","13.13","-30.60","1.93","10.67","-21.76","10.14"
04년09월(3Q),"8,870","6,713","15,210","366","175","-109","9,927","8.84","1.12","257","123.04","17.62","43.37","2.41","10.49","-19.54","8.73"
04년06월(2Q),"7,980","6,607","17,314","476","154","260","9,772","7.58","1.03","226","136.51","26.45","29.79","2.75","9.53","-51.32","9.36"
04년03월(1Q),"8,250","6,299","15,581","500","300","-66","9,318","6.64","1.11","441","156.80","27.25","8.42","3.21","19.05","-9.13","9.74"
03년12월(4Q),"8,000","6,287","15,040","472","229","-47","9,331","6.26","1.08","337","131.78","-115.65","30.06","3.14","15.14","-23.53","12.37"
03년09월(3Q),"7,030","5,805","12,931","256","217","-420","8,893","5.17","0.99","319","130.97","-89.62","-21.95","1.98","15.00","81.37","9.06"
03년06월(2Q),"6,800","5,765","13,692","367","316","513","8,834","5.46","0.97","464","159.22","11.31","-6.48","2.68","22.83","148.97","10.04"
03년03월(1Q),"4,470","5,296","12,245","462","330","516","8,153","4.36","0.69","485","197.18","14.62","52.70","3.77","24.93","-15.01","11.61"
02년12월(4Q),"4,700","5,284","-96,078","363","299","","8,187","4.30","0.72","440","169.39","21.58","-16.00","-0.38","22.00","476.40","-1.86"
02년09월(3Q),"5,750","5,601","124,529","327","120","","8,650","7.15","0.83","176","184.29","168.97","-24.33","0.26","9.02","37.75","0.94"
02년06월(2Q),"4,590","5,013","12,301","392","127","","7,785","6.00","0.74","186","188.84","-73.54","-20.79","3.19","9.71","58.87","10.19"
02년03월(1Q),"6,400","5,434","10,683","302","388","","8,336","9.01","0.96","571","209.39","-77.13","-5.07","2.83","29.53","194.80","11.08"
01년12월(4Q),"3,930","5,076","-79,028","432","52","","7,736","9.58","0.64","76","222.72","-262.45","-15.29","-0.55","4.16","","-2.02"
01년09월(3Q),"3,440","4,919","46,298","433","87","","7,421","10.04","0.58","128","284.89","-12.97","26.63","0.93","7.10","51.03","3.00"
01년06월(2Q),"3,420","4,866","46,493","495","80","","7,330","11.09","0.59","117","287.60","-7.26","12.51","1.07","6.64","-30.00","3.11"
01년03월(1Q),"2,220","4,746","46,714","318","132","","7,432","6.37","0.38","194","295.67","0.58","6.08","0.68","11.00","-27.51","2.83"
00년12월(4Q),"3,120","4,827","48,647","511","-6","","7,578","7.67","0.52","-8","243.47","","","1.05","-0.46","","3.24"
00년09월(3Q),"2,780","4,961","53,199","342","58","","7,650","6.42","0.46","85","259.85","","","0.64","4.63","","2.15"
00년06월(2Q),"3,225","4,976","50,134","440","114","","7,479","","0.54","168","234.18","","","0.88","9.11","","2.47"
00년03월(1Q),"4,210","5,042","46,445","300","182","","7,482","","0.71","267","266.78","","","0.65","14.32","","2.23"
