결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년12월(4Q),"1,261,000","42,371","20,133","2,410","1,338","3,548","238,042","28.71","5.30","7,512","53.26","18.53","14.32","11.97","12.97","32.44","62.78"
19년09월(3Q),"1,307,000","41,550","19,649","3,118","2,171","2,910","233,402","31.06","5.60","12,039","54.98","13.10","12.36","15.87","21.62","4.64","61.54"
19년06월(2Q),"1,313,000","39,129","18,325","3,015","2,115","2,191","219,960","31.61","5.97","11,751","47.00","10.89","12.81","16.45","22.44","12.75","61.87"
19년03월(1Q),"1,417,000","36,831","18,748","3,221","2,258","2,747","206,995","35.24","6.85","12,614","56.71","12.99","13.55","17.18","25.15","15.36","61.94"
18년12월(4Q),"1,101,000","35,940","16,985","2,108","1,013","2,033","202,222","28.57","5.44","5,672","46.80","14.18","13.86","12.41","11.60","24.76","61.41"
18년09월(3Q),"1,276,000","34,986","17,372","2,775","2,072","2,638","196,868","34.11","6.48","11,504","48.57","10.60","9.78","15.98","24.52","10.51","59.23"
18년06월(2Q),"1,396,000","33,130","16,526","2,673","1,874","1,384","186,551","38.44","7.48","10,422","48.43","11.05","15.07","16.17","23.53","12.31","59.89"
18년03월(1Q),"1,208,000","31,225","16,592","2,837","1,964","2,116","175,820","34.35","6.87","10,935","57.04","6.45","9.17","17.10","25.66","9.47","59.62"
17년12월(4Q),"1,189,000","30,818","14,876","1,851","820","3,182","173,108","34.74","6.87","4,546","55.06","2.08","4.08","12.45","10.88","24.36","59.34"
17년09월(3Q),"936,000","30,094","15,708","2,528","1,876","1,239","169,062","28.08","5.54","10,410","56.08","0.47","3.54","16.09","26.06","-2.32","55.74"
17년06월(2Q),"994,000","28,198","14,881","2,322","1,682","420","158,507","29.60","6.27","9,280","59.48","-4.23","3.04","15.61","24.82","5.20","56.28"
17년03월(1Q),"811,000","26,484","15,586","2,598","1,805","2,514","148,599","24.48","5.46","9,990","77.60","2.58","11.27","16.67","27.79","11.78","57.71"
16년12월(4Q),"857,000","26,208","14,573","1,779","671","1,892","146,927","26.72","5.83","3,656","71.78","9.68","20.66","12.21","10.32","-29.23","60.42"
16년09월(3Q),"955,000","25,733","15,635","2,442","1,921","1,715","144,475","28.44","6.61","10,657","75.58","12.74","28.39","15.62","31.37","43.72","58.89"
16년06월(2Q),"1,117,000","24,080","15,539","2,254","1,594","1,454","135,284","36.82","8.26","8,821","80.78","18.52","34.13","14.51","28.09","36.33","60.58"
16년03월(1Q),"945,000","22,053","15,194","2,335","1,606","2,074","123,974","33.76","7.62","8,937","92.42","16.70","30.85","15.37","30.43","28.94","60.38"
15년12월(4Q),"1,050,000","21,153","13,287","1,474","931","2,589","118,986","40.41","8.82","5,166","99.24","13.00","32.70","11.10","18.22","20.53","60.00"
15년09월(3Q),"854,000","20,587","13,868","1,902","1,360","856","115,889","34.02","7.37","7,415","103.79","12.71","26.61","13.71","27.81","27.37","56.67"
15년06월(2Q),"774,000","18,680","13,110","1,680","1,169","1,133","105,402","32.92","7.34","6,470","118.69","14.77","38.36","12.82","26.37","40.98","57.75"
15년03월(1Q),"841,000","17,543","13,019","1,785","1,244","1,800","98,920","38.88","8.50","6,931","132.84","15.38","39.12","13.71","29.60","37.94","58.54"
14년12월(4Q),"623,000","17,085","11,759","1,111","765","1,214","96,417","31.59","6.46","4,286","124.08","14.54","30.95","9.45","18.80","30.02","56.27"
14년09월(3Q),"507,000","16,637","12,304","1,502","1,047","1,374","93,933","27.07","5.40","5,822","128.51","6.83","3.20","12.21","26.59","-9.63","54.91"
14년06월(2Q),"455,500","15,779","11,423","1,215","831","740","89,205","23.54","5.11","4,590","138.60","6.21","1.08","10.63","21.98","-2.36","54.53"
14년03월(1Q),"459,500","15,172","11,284","1,283","904","1,330","85,806","23.61","5.36","5,025","136.27","5.23","-12.06","11.37","24.92","-12.27","54.49"
13년12월(4Q),"548,000","14,754","10,266","848","597","1,035","83,516","27.17","6.56","3,296","132.83","15.40","7.00","8.26","16.63","11.34","53.12"
13년09월(3Q),"545,000","14,822","11,518","1,455","1,171","928","83,033","27.48","6.56","6,443","140.29","9.29","10.84","12.64","33.66","29.86","52.08"
13년06월(2Q),"558,000","13,889","10,755","1,202","857","398","78,086","30.41","7.15","4,700","155.45","9.64","14.42","11.17","26.19","12.79","53.07"
13년03월(1Q),"616,000","13,032","10,723","1,459","1,032","1,534","73,504","34.58","8.38","5,727","172.52","10.35","12.28","13.60","33.37","13.06","53.95"
12년12월(4Q),"657,000","12,716","8,897","793","536","372","71,816","38.30","9.15","2,960","117.38","6.70","-3.71","8.91","17.63","12.11","51.43"
12년09월(3Q),"635,000","12,477","10,539","1,313","905","411","70,509","37.72","9.01","4,961","129.26","13.71","23.66","12.46","30.89","17.59","50.08"
