결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년12월(4Q),"14,200","73,496","29,178","1,872","1,033","4,790","16,218","14.13","0.88","237","144.11","5.22","64.34","6.41","5.86","37.25","156.19"
19년09월(3Q),"13,650","70,165","32,442","1,559","1,045","4,024","16,070","14.51","0.85","239","126.97","8.43","-31.65","4.81","6.00","-32.07","72.07"
19년06월(2Q),"14,500","69,117","31,996","1,486","985","8,028","15,830","13.76","0.92","226","113.40","7.34","-29.62","4.64","5.74","-28.14","100.00"
19년03월(1Q),"15,450","68,108","30,204","1,946","1,326","5,684","15,599","13.53","0.99","304","111.69","1.36","3.71","6.44","7.76","14.78","75.72"
18년12월(4Q),"17,650","68,534","27,731","1,139","753","7,598","15,696","16.00","1.12","172","103.40","-16.68","-43.44","4.11","4.42","-44.50","152.12"
18년09월(3Q),"18,300","67,679","29,919","2,281","1,538","1,479","15,501","14.74","1.18","352","92.97","-2.21","6.53","7.62","9.19","7.65","76.48"
18년06월(2Q),"14,000","66,148","29,807","2,111","1,371","7,061","15,150","11.51","0.92","314","100.21","-0.96","1.48","7.08","8.38","0.60","100.00"
18년03월(1Q),"12,250","64,773","29,799","1,877","1,155","4,556","14,835","10.09","0.83","265","110.15","3.40","-7.48","6.30","7.89","-12.83","75.11"
17년12월(4Q),"14,000","52,330","33,282","2,013","1,356","5,829","11,985","11.17","1.17","311","128.08","6.60","9.19","6.05","10.52","14.92","120.53"
17년09월(3Q),"13,350","50,834","30,596","2,141","1,428","4,422","11,643","11.01","1.15","327","131.64","11.79","1.32","7.00","11.40","6.71","77.67"
17년06월(2Q),"15,600","49,412","30,097","2,080","1,362","8,117","11,317","13.08","1.38","312","140.50","4.53","15.47","6.91","11.19","4.20","100.00"
17년03월(1Q),"14,300","48,054","28,820","2,028","1,325","4,427","11,006","12.12","1.30","304","150.18","6.24","18.89","7.04","11.01","20.32","100.00"
16년12월(4Q),"11,450","48,263","31,221","1,844","1,180","6,247","11,054","10.15","1.04","270","148.41","9.12","63.01","5.91","9.90","198.14","116.08"
16년09월(3Q),"11,750","47,134","27,370","2,114","1,339","3,262","10,795","12.38","1.09","307","150.17","0.75","22.79","7.72","11.52","17.81","81.66"
16년06월(2Q),"10,900","45,795","28,791","1,801","1,308","7,854","10,488","12.08","1.04","300","164.17","8.18","-6.36","6.26","11.59","12.81","100.00"
16년03월(1Q),"11,050","44,492","27,128","1,706","1,101","4,885","10,189","12.72","1.08","252","169.55","6.14","10.27","6.29","9.90","33.78","100.00"
15년12월(4Q),"10,400","44,484","28,611","1,131","396","4,194","10,187","12.92","1.02","91","168.66","6.61","-40.66","3.95","3.57","-53.65","100.00"
15년09월(3Q),"12,100","44,234","27,168","1,721","1,136","4,063","10,130","13.30","1.19","260","166.73","-1.63","-1.37","6.34","10.41","37.63","100.00"
15년06월(2Q),"9,860","43,107","26,614","1,924","1,159","7,442","9,872","11.76","1.00","266","173.75","-4.05","96.26","7.23","10.90","247.35","100.00"
15년03월(1Q),"11,000","41,961","25,560","1,547","822","2,230","9,609","16.93","1.14","189","181.30","-8.07","36.69","6.05","7.87","206.25","100.00"
14년12월(4Q),"11,500","41,778","26,837","1,906","853","8,060","9,567","22.00","1.20","196","187.53","-8.97","52.56","7.10","8.25","77.94","100.00"
14년09월(3Q),"12,350","41,033","27,618","1,745","820","4,827","9,396","28.26","1.31","189","191.57","-4.08","16.96","6.32","8.14","9.32","100.00"
14년06월(2Q),"9,220","40,139","27,739","980","336","6,097","9,189","21.91","1.00","76","197.49","0.38","-32.31","3.53","3.34","-59.05","100.00"
14년03월(1Q),"10,450","39,836","27,804","1,132","268","1,170","9,120","19.68","1.15","62","200.26","-2.77","-8.09","4.07","2.69","-63.91","100.00"
13년12월(4Q),"10,750","40,226","29,480","1,249","481","6,676","9,209","16.79","1.17","110","192.72","7.00","73.34","4.24","4.80","","100.00"
13년09월(3Q),"11,550","39,817","28,792","1,492","756","2,789","9,116","22.91","1.27","173","185.17","2.06","","5.18","7.66","","100.00"
13년06월(2Q),"11,950","39,078","27,634","1,448","815","3,749","8,947","50.56","1.34","187","184.03","-0.87","","5.24","8.44","","100.00"
13년03월(1Q),"8,160","38,202","28,597","1,232","743","4,563","8,746","","0.93","171","206.69","12.56","85.08","4.31","7.87","298.29","100.00"
12년12월(4Q),"7,800","37,485","27,552","721","-112","8,734","8,582","","0.91","-26","195.82","12.89","-20.38","2.62","-1.21","","100.00"
12년09월(3Q),"7,280","37,301","28,212","-103","-384","3,066","9,827","","0.74","-79","201.86","20.00","","-0.37","-4.09","","100.00"
12년06월(2Q),"5,540","37,801","27,877","-15","-321","1,502","7,683","","0.72","-62","200.83","22.00","","-0.06","-3.38","","100.00"
12년03월(1Q),"6,800","38,171","25,406","665","221","5,444","7,755","70.59","0.88","43","195.95","20.42","-19.87","2.62","2.30","-61.38","100.00"
11년12월(4Q),"7,400","38,594","24,407","905","-642","-2,710","7,837","45.01","0.94","-125","186.28","20.19","","3.71","-6.59","","100.00"
11년09월(3Q),"6,430","39,362","23,510","639","566","6,151","7,987","33.26","0.81","110","160.50","14.50","475.65","2.72","5.78","688.03","100.00"
11년06월(2Q),"5,790","38,821","22,850","418","353","-945","8,905","59.38","0.65","68","142.73","15.99","-53.68","1.83","3.65","-48.80","100.00"
11년03월(1Q),"6,190","38,505","21,097","830","570","481","8,844","38.03","0.70","111","119.85","9.85","4.89","3.94","5.86","-89.71","100.00"
10년12월(4Q),"7,170","39,485","20,307","-512","-492","3,502","9,034","6.44","0.79","-96","115.91","67.74","","-2.52","-4.97","","100.00"
10년09월(3Q),"7,370","39,964","20,533","111","72","2,722","9,127","4.78","0.81","14","110.85","61.06","-89.27","0.54","0.72","-95.66","100.00"
10년06월(2Q),"7,660","39,980","19,701","902","689","3,941","7,763","3.86","0.99","134","104.12","49.38","139.82","4.58","6.95","52.03","100.00"
10년03월(1Q),"7,720","39,255","19,206","792","5,432","2,671","8,990","3.50","0.86","1,077","109.10","66.37","-37.35","4.12","73.56","195.24","100.00"
09년12월(4Q),"8,490","19,833","12,106","886","784","3,698","7,791","8.04","1.09","283","104.62","","","7.32","","","100.00"
09년09월(3Q),"8,510","","12,749","1,035","890","420","","","","321","","","","8.12","","","100.00"
09년06월(2Q),"8,020","","13,189","376","244","1,350","","","","88","","","","2.85","","","100.00"
09년03월(1Q),"8,430","","11,544","1,264","1,012","371","","","","365","","","","10.95","","","100.00"
08년12월(4Q),"9,930","19,671","11,793","713","405","1,637","7,094","9.71","1.40","146","96.15","0.87","26.59","6.05","8.32","-27.72","9.28"
08년09월(3Q),"9,910","19,287","12,037","1,230","994","2,135","6,956","9.19","1.42","358","95.13","3.33","7.55","10.22","21.14","0.38","12.02"
08년06월(2Q),"7,930","18,330","12,547","949","676","1,884","6,611","7.36","1.20","244","97.81","7.84","12.73","7.57","15.01","25.12","9.60"
