결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"67,400","174,509","157,006","7,815","3,457","13,431","85,085","16.55","0.79","1,350","170.50","1.77","4.36","4.98","6.43","-40.51","26.17"
19년06월(2Q),"79,300","170,950","156,293","6,522","1,060","7,656","83,348","15.89","0.95","507","168.31","4.06","-15.40","4.17","2.45","-67.65","25.31"
19년03월(1Q),"75,100","169,397","149,151","9,006","5,780","4,375","82,462","12.41","0.91","3,157","171.18","-1.38","-18.70","6.04","15.68","-20.35","25.11"
18년12월(4Q),"62,300","163,069","157,723","757","-807","13,566","79,068","9.08","0.79","-942","171.84","-7.02","-79.36","0.48","-4.74","","22.11"
18년09월(3Q),"71,000","164,460","154,271","7,488","4,971","12,692","80,284","8.42","0.88","2,270","174.04","1.33","45.09","4.85","11.42","29.02","25.06"
18년06월(2Q),"83,000","157,594","150,193","7,710","3,265","8,901","79,137","10.47","1.05","1,567","172.38","3.22","16.10","5.13","8.02","-43.05","26.09"
18년03월(1Q),"109,500","154,560","151,230","11,078","7,299","10,257","77,569","12.02","1.41","3,963","166.71","3.18","20.21","7.33","21.07","-9.89","25.19"
17년12월(4Q),"106,000","146,737","169,635","3,669","1,828","12","73,378","11.11","1.44","635","180.92","14.79","","2.16","3.44","","21.45"
17년09월(3Q),"82,400","149,249","152,241","5,161","3,361","4,337","74,977","11.57","1.10","1,759","175.56","15.12","82.22","3.39","9.59","","23.67"
17년06월(2Q),"80,200","144,081","145,514","6,641","5,149","9,364","72,235","15.97","1.11","2,751","173.06","3.92","13.59","4.56","15.71","83.59","25.57"
17년03월(1Q),"67,900","136,916","146,572","9,215","8,357","7,950","68,378","18.01","0.99","4,398","178.45","9.69","82.42","6.29","26.18","317.18","25.20"
16년12월(4Q),"51,600","133,567","147,778","-352","-2,587","6,903","66,536","121.37","0.78","-1,785","183.42","1.49","","-0.24","-11.07","","22.59"
16년09월(3Q),"47,900","125,778","132,242","2,832","-815","10,439","62,904","34.51","0.76","-343","196.44","-5.74","-3.66","2.14","-2.14","","25.02"
16년06월(2Q),"53,900","131,283","140,029","5,846","2,685","8,265","65,556","24.57","0.82","1,498","183.70","0.55","139.53","4.17","9.24","44.84","26.90"
