결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년12월(4Q),"317,500","173,838","74,612","-275","-568","18,362","221,764","79.31","1.43","-993","95.73","1.61","","-0.37","-1.82","","17.09"
19년09월(3Q),"299,500","174,908","73,473","3,803","1,372","3,945","223,948","45.86","1.34","1,642","91.71","1.55","-36.87","5.18","3.01","-62.56","17.05"
19년06월(2Q),"354,500","172,789","71,774","2,675","838","2,462","221,979","38.22","1.60","870","87.72","1.78","-61.96","3.73","1.60","-85.75","15.99"
19년03월(1Q),"366,000","171,993","66,391","2,754","2,119","6,442","220,843","25.23","1.66","2,484","81.47","1.30","-57.69","4.15","4.57","-63.40","17.62"
18년12월(4Q),"347,000","173,221","73,427","2,896","1,266","8,083","222,761","18.45","1.56","1,535","67.09","14.16","-52.92","3.94","2.82","-61.95","15.88"
18년09월(3Q),"365,500","172,573","72,349","6,024","3,466","11,984","222,034","17.15","1.65","4,387","64.68","13.10","-23.72","8.33","8.12","-34.08","18.90"
18년06월(2Q),"333,500","170,087","70,519","7,033","4,934","818","219,069","14.14","1.52","6,103","61.09","10.49","-3.24","9.97","11.54","-17.22","20.87"
18년03월(1Q),"385,500","165,102","65,536","6,508","5,527","365","212,898","15.51","1.81","6,788","59.99","1.03","-18.33","9.93","13.09","-0.09","20.47"
17년12월(4Q),"405,000","163,386","64,322","6,150","3,381","10,730","211,079","16.30","1.92","4,034","53.26","16.70","33.19","9.56","7.86","10.88","20.55"
17년09월(3Q),"392,000","161,218","63,971","7,897","5,455","9,288","208,486","15.93","1.88","6,655","47.05","26.57","71.67","12.34","13.28","66.37","22.78"
17년06월(2Q),"291,000","155,346","63,821","7,269","5,903","9,553","201,428","13.23","1.44","7,372","45.94","22.28","18.68","11.39","15.29","44.54","21.48"
17년03월(1Q),"294,000","149,058","64,867","7,969","5,481","2,236","193,393","14.96","1.52","6,794","48.74","33.08","74.09","12.29","14.80","47.77","21.79"
16년12월(4Q),"261,000","140,510","55,117","4,617","2,700","5,949","188,807","15.06","1.38","3,638","45.81","9.35","31.17","8.38","7.81","27.82","18.55"
16년09월(3Q),"241,500","136,723","50,543","4,600","2,974","4,754","184,077","14.60","1.31","4,000","46.57","-2.38","-15.80","9.10","8.77","-15.64","19.05"
16년06월(2Q),"260,000","134,638","52,192","6,125","3,755","6,562","181,305","15.04","1.43","5,100","47.26","2.88","8.70","11.73","11.43","7.86","21.94"
16년03월(1Q),"327,500","131,063","48,741","4,577","3,381","7,902","175,999","19.36","1.86","4,598","43.90","-0.83","26.52","9.39","10.46","39.94","19.17"
15년12월(4Q),"328,500","131,035","50,406","3,520","2,070","9,611","176,007","21.06","1.87","2,846","41.78","-6.17","52.00","6.98","6.51","90.98","16.44"
15년09월(3Q),"285,500","129,795","51,777","5,463","3,424","6,221","174,257","20.04","1.64","4,742","42.13","-8.58","52.84","10.55","11.06","44.59","19.66"
15년06월(2Q),"278,500","126,123","50,732","5,634","3,530","5,451","169,038","21.79","1.65","4,729","45.46","-13.56","56.67","11.11","11.38","53.72","20.22"
15년03월(1Q),"226,000","122,255","49,150","3,618","2,462","10,438","163,883","20.30","1.38","3,285","48.44","-13.36","-0.08","7.36","8.01","-15.73","16.16"
14년12월(4Q),"181,000","122,659","53,723","2,316","1,093","4,248","164,485","15.41","1.10","1,490","47.79","-4.76","-26.80","4.31","3.65","-37.68","12.73"
14년09월(3Q),"255,500","120,959","56,639","3,575","2,319","5,858","162,443","20.20","1.57","3,279","50.97","-3.43","-30.76","6.31","8.18","-31.11","13.55"
14년06월(2Q),"296,000","118,337","58,688","3,596","2,267","7,343","158,813","20.95","1.86","3,076","49.27","-0.82","-28.29","6.13","7.81","-42.92","13.46"
14년03월(1Q),"254,000","116,937","56,728","3,621","2,860","2,496","156,750","15.45","1.62","3,899","56.39","-0.84","-11.45","6.38","9.95","-15.05","13.44"
13년12월(4Q),"299,500","117,257","56,406","3,164","1,769","4,169","157,137","17.48","1.91","2,392","48.79","-0.71","-13.06","5.61","6.14","-39.03","12.62"
13년09월(3Q),"307,500","115,677","58,651","5,163","3,523","2,710","154,985","16.48","1.98","4,760","52.13","0.54","-14.02","8.80","12.45","-22.28","15.57"
13년06월(2Q),"253,000","113,132","59,172","5,015","4,010","6,805","151,232","12.63","1.67","5,390","58.74","-1.31","0.48","8.48","14.55","5.77","15.39"
13년03월(1Q),"268,000","108,689","57,206","4,089","3,404","8,145","145,352","13.58","1.84","4,589","61.11","-0.56","-8.49","7.15","12.70","-9.66","13.51"
12년12월(4Q),"330,000","107,654","56,808","3,639","2,923","570","144,043","16.32","2.29","3,922","54.02","1.46","-28.66","6.41","11.02","-22.79","12.69"
12년09월(3Q),"331,500","105,425","58,335","6,005","4,593","10,218","141,002","15.50","2.35","6,125","60.49","-0.89","-16.19","10.29","17.74","-11.25","16.39"
12년06월(2Q),"292,000","101,394","59,956","4,991","3,739","1,064","135,599","13.18","2.15","5,096","57.52","5.19","-34.44","8.32","15.34","-38.66","14.36"
12년03월(1Q),"370,000","97,858","57,531","4,469","3,809","5,806","130,492","14.58","2.84","5,080","67.49","4.77","-46.22","7.77","15.66","-41.21","13.38"
11년12월(4Q),"317,500","97,077","55,989","5,101","3,770","9,884","129,485","10.97","2.45","5,080","57.46","12.00","-13.66","9.11","15.98","-10.58","15.08"
11년09월(3Q),"321,000","93,894","58,859","7,164","5,116","6,332","125,179","10.87","2.56","6,902","59.13","17.22","-7.48","12.17","22.84","-13.34","17.51"
11년06월(2Q),"488,000","87,655","57,000","7,613","6,245","1,061","116,952","15.95","4.17","8,308","62.08","13.36","-8.27","13.36","29.49","-3.88","18.90"
11년03월(1Q),"460,000","81,848","54,909","8,308","6,566","5,127","108,862","14.87","4.23","8,640","70.15","24.14","28.87","15.13","32.47","24.93","20.55"
10년12월(4Q),"391,000","78,438","49,989","5,908","4,373","8,160","104,451","13.39","3.74","5,681","61.57","23.54","65.21","11.82","22.42","88.33","18.47"
10년09월(3Q),"333,500","73,972","50,214","7,744","5,991","8,676","98,453","12.57","3.39","7,964","62.96","16.92","5.67","15.42","33.62","10.00","21.25"
10년06월(2Q),"309,500","68,459","50,280","8,300","6,456","4,335","91,282","11.99","3.39","8,644","75.15","31.30","25.55","16.51","40.01","38.35","22.12"
10년03월(1Q),"240,500","61,633","44,231","6,447","5,177","3,901","81,771","10.27","2.94","6,916","82.63","32.02","31.61","14.58","34.50","101.36","20.26"
09년12월(4Q),"228,500","59,267","40,464","3,576","2,231","4,184","78,819","11.57","2.90","3,016","77.68","","","8.84","","","16.23"
09년09월(3Q),"219,000","","42,946","7,328","5,422","4,912","","","","7,240","","","","17.06","","","22.88"
09년06월(2Q),"139,500","","38,296","6,611","4,747","6,608","","","","6,248","","","","17.26","","","23.47"
09년03월(1Q),"90,000","","33,503","4,899","2,992","6,408","","","","3,435","","","","14.62","","","21.54"
08년12월(4Q),"71,000","48,897","13,941","413","616","3,745","58,459","8.45","1.73","734","64.35","-53.58","-81.36","2.96","5.10","-53.25","-2.01"
08년09월(3Q),"91,900","47,764","40,648","4,429","2,970","2,205","57,112","10.16","2.29","3,540","78.18","46.92","75.40","10.90","25.87","22.78","18.22"
08년06월(2Q),"100,000","44,068","37,380","4,814","3,855","3,779","52,804","11.64","2.69","4,595","72.80","41.33","195.53","12.88","36.71","41.96","20.74"
08년03월(1Q),"74,000","39,948","34,481","3,788","2,584","-40","47,893","9.81","2.20","3,080","80.64","44.83","198.45","10.99","26.26","99.18","18.89"
07년12월(4Q),"89,600","38,782","30,031","2,213","1,259","4,865","46,504","13.90","2.74","1,571","81.78","23.74","96.17","7.37","14.31","33.39","16.73"
07년09월(3Q),"96,000","31,609","27,666","2,525","2,107","1,081","43,565","15.44","3.13","2,883","97.45","11.44","135.80","9.13","27.59","74.10","18.61"
