결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년12월(4Q),"186,500","65,039","17,874","1,734","1,962","5,384","43,659","52.72","4.27","1,509","89.11","17.87","-18.68","9.70","17.32","106.57","100.00"
19년09월(3Q),"157,000","64,375","16,648","2,021","853","3,380","42,911","56.90","3.66","761","83.40","19.11","-8.85","12.14","8.98","26.73","100.00"
19년06월(2Q),"114,000","62,696","16,303","1,283","278","2,171","41,759","43.87","2.73","481","82.41","19.56","-48.79","7.87","5.88","-70.02","100.00"
19년03월(1Q),"124,000","60,485","15,109","2,062","876","2,633","40,487","33.32","3.06","787","80.15","15.42","-19.74","13.65","9.86","-21.50","100.00"
18년12월(4Q),"122,000","59,491","15,165","2,133","1,240","3,607","39,663","30.99","3.08","731","66.09","19.80","-26.74","14.06","9.26","-33.18","100.00"
18년09월(3Q),"716,000","58,760","13,977","2,217","684","2,459","39,201","33.35","3.66","600","68.73","16.41","-28.96","15.86","7.73","-53.77","100.00"
18년06월(2Q),"763,000","56,834","13,636","2,506","2,818","734","30,774","30.58","4.97","1,603","50.07","20.71","-12.14","18.38","21.39","52.60","100.00"
18년03월(1Q),"792,000","53,779","13,091","2,570","1,538","2,935","37,040","35.68","4.28","1,002","55.59","20.96","-11.63","19.63","13.81","-19.59","100.00"
17년12월(4Q),"870,000","53,052","12,659","2,911","1,720","2,979","36,008","37.16","4.84","1,093","51.16","16.67","0.29","22.99","15.44","1.97","100.00"
17년09월(3Q),"745,000","51,438","12,007","3,121","2,158","3,245","34,857","31.96","4.28","1,299","48.14","18.52","10.55","25.99","19.06","10.03","100.00"
17년06월(2Q),"838,000","49,479","11,296","2,852","1,714","2,059","33,895","36.89","4.95","1,051","45.55","14.42","4.60","25.25","16.99","-18.57","100.00"
17년03월(1Q),"855,000","42,699","10,822","2,908","2,109","1,116","30,921","35.75","5.54","1,247","50.86","15.47","13.23","26.87","22.41","24.22","100.00"
16년12월(4Q),"775,000","41,296","10,850","2,903","1,828","4,099","30,038","34.14","5.17","1,072","54.27","21.71","28.86","26.75","19.36","24.54","100.00"
16년09월(3Q),"883,000","42,276","10,131","2,823","1,980","2,618","29,155","40.80","6.07","1,180","41.81","20.53","27.59","27.87","25.34","65.88","100.00"
16년06월(2Q),"710,000","26,341","9,873","2,727","2,132","2,959","21,439","36.78","6.63","1,290","87.06","26.35","44.00","27.62","36.54","70.81","100.00"
