결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년12월(4Q),"236,500","477,947","160,430","5,576","260","20,643","527,375","11.24","0.45","581","65.41","-3.48","-56.14","3.48","0.45","","7.54"
19년09월(3Q),"227,000","481,282","159,882","10,398","4,968","12,453","530,638","21.58","0.43","4,942","65.43","-2.57","-32.09","6.50","3.86","-57.74","10.09"
19년06월(2Q),"244,500","478,740","163,213","10,686","6,814","13,046","527,205","14.16","0.46","7,023","65.00","1.48","-14.67","6.55","5.54","12.34","9.89"
19년03월(1Q),"253,000","472,444","160,142","12,029","7,784","13,905","521,330","15.34","0.49","8,502","68.78","0.96","-19.14","7.51","6.79","-25.39","11.32"
18년12월(4Q),"243,000","467,596","166,215","12,715","-8,295","16,503","515,032","12.53","0.47","-9,949","67.34","6.57","10.37","7.65","-7.88","","10.00"
18년09월(3Q),"294,500","480,732","164,107","15,311","10,577","19,611","530,204","8.24","0.56","11,694","69.21","9.14","36.01","9.33","9.20","17.26","12.60"
18년06월(2Q),"329,000","476,690","160,833","12,523","5,803","7,578","521,478","9.67","0.63","6,251","67.69","7.62","27.90","7.79","4.94","6.28","11.55"
18년03월(1Q),"325,500","479,513","158,623","14,877","10,835","15,006","525,229","9.68","0.62","11,395","67.84","5.21","8.99","9.38","9.03","16.76","15.04"
17년12월(4Q),"332,500","474,640","155,974","11,521","5,599","25,525","519,183","10.39","0.64","6,388","66.49","3.86","144.21","7.39","5.09","234.91","14.30"
17년09월(3Q),"317,000","475,736","150,361","11,257","9,066","13,929","519,659","11.52","0.61","9,972","68.12","17.95","8.84","7.49","8.00","59.33","13.29"
17년06월(2Q),"287,000","468,921","149,444","9,791","5,301","8,316","512,158","12.05","0.56","5,882","69.56","16.23","44.30","6.55","4.80","75.83","12.51"
17년03월(1Q),"291,000","461,128","150,772","13,650","9,769","8,303","503,607","13.68","0.58","9,760","70.31","20.99","106.89","9.05","8.03","136.59","14.98"
16년12월(4Q),"257,500","458,384","150,174","4,717","137","758","503,596","16.47","0.51","1,907","74.01","7.99","38.53","3.14","1.58","-10.36","10.77"
16년09월(3Q),"227,000","452,130","127,476","10,343","4,755","18,426","495,546","14.32","0.46","6,259","70.44","-8.92","58.66","8.11","5.25","","15.39"
16년06월(2Q),"201,500","451,344","128,574","6,785","2,205","15,682","493,588","59.51","0.41","3,345","75.91","-15.35","-1.14","5.28","2.82","47.17","12.20"
16년03월(1Q),"219,500","448,788","124,612","6,598","3,384","17,828","489,450","94.87","0.45","4,125","77.04","-17.48","-9.77","5.29","3.49","6.23","12.37"
15년12월(4Q),"166,500","450,702","139,059","3,405","1,095","20,737","490,547","80.36","0.34","2,128","78.41","-16.66","-55.45","2.45","1.80","","10.19"
15년09월(3Q),"168,500","449,990","139,960","6,519","-6,582","18,541","488,355","","0.35","-6,212","84.90","-13.98","-25.81","4.66","-5.25","","11.42"
15년06월(2Q),"224,000","447,528","151,895","6,863","1,174","23,503","493,729","33.56","0.45","2,273","86.89","-9.06","-18.21","4.52","1.92","-61.23","11.33"
15년03월(1Q),"244,500","445,729","151,009","7,312","3,352","13,238","490,574","23.82","0.50","3,883","89.87","-2.20","","4.84","3.27","384.79","11.90"
14년12월(4Q),"275,500","452,914","166,849","7,645","-2,101","17,818","494,591","38.36","0.56","-2,211","88.23","0.94","2.78","4.58","-1.85","","11.53"
14년09월(3Q),"328,500","452,982","162,698","8,787","2,240","15,513","494,974","26.05","0.66","2,728","87.31","7.39","38.86","5.40","2.29","-58.07","11.43"
14년06월(2Q),"304,000","452,707","167,036","8,391","4,872","5,812","495,079","18.55","0.61","5,863","86.80","7.05","-7.03","5.02","4.92","104.01","10.85"
14년03월(1Q),"296,000","453,105","154,401","7,313","556","-5,021","494,576","22.09","0.60","801","90.02","5.89","2.00","4.74","0.67","-74.88","10.93"
13년12월(4Q),"326,500","458,220","165,294","7,438","2,584","11,263","500,364","20.68","0.65","3,220","84.31","9.70","23.23","4.50","2.68","-52.61","10.78"
13년09월(3Q),"319,500","456,040","151,502","6,328","5,640","16,950","498,132","16.50","0.64","6,505","82.75","-3.74","-36.95","4.18","5.48","-22.40","10.21"
13년06월(2Q),"298,500","439,513","156,031","9,026","2,405","11,630","496,349","14.05","0.60","2,874","90.45","-5.37","-30.55","5.78","2.49","-50.80","11.91"
13년03월(1Q),"326,000","426,150","145,819","7,169","2,923","8,738","481,249","13.47","0.68","3,189","93.01","-10.59","-3.92","4.92","2.81","-55.84","11.48"
12년12월(4Q),"349,000","424,294","150,682","6,036","5,610","30,173","479,953","12.36","0.73","6,795","86.82","-19.37","-38.48","4.01","6.02","-41.20","10.97"
12년09월(3Q),"365,500","422,092","157,391","10,037","7,233","18,382","477,219","11.08","0.77","8,382","88.73","-7.16","-27.62","6.38","7.50","221.99","12.22"
12년06월(2Q),"363,500","415,444","164,882","12,996","4,658","7,923","471,229","13.35","0.77","5,841","92.21","-3.28","-27.68","7.88","5.25","-61.50","13.38"
12년03월(1Q),"380,000","413,787","163,086","7,461","6,356","16,716","473,434","10.40","0.80","7,221","92.08","0.36","-42.72","4.58","6.52","-42.28","10.29"
