결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"99,400","64,513","62,345","2,307","516","1,804","55,343","","1.80","442","162.17","-13.26","-26.92","3.70","3.21","-77.56","6.14"
19년06월(2Q),"83,700","64,133","62,573","-905","-1,474","-7,147","55,016","","1.52","-1,264","167.29","4.23","","-1.45","-9.09","","0.95"
19년03월(1Q),"89,600","65,646","54,262","2,704","1,136","7,257","56,314","57.12","1.59","974","149.84","0.28","6.22","4.98","6.97","-39.81","7.62"
18년12월(4Q),"97,700","64,692","68,613","-3,335","-3,238","1,638","55,496","44.15","1.76","-2,777","146.63","18.01","","-4.86","-19.51","","-2.02"
18년09월(3Q),"137,000","68,088","71,879","3,157","2,299","-4,885","58,408","16.49","2.35","1,971","150.43","37.92","-42.93","4.39","13.67","-42.34","6.39"
18년06월(2Q),"109,500","66,489","60,031","4,026","1,632","-2,528","57,037","11.22","1.92","1,400","153.70","28.68","243.35","6.71","9.94","143.91","9.16"
18년03월(1Q),"120,000","64,859","54,109","2,545","1,887","2,893","55,639","13.44","2.16","1,618","146.20","4.05","-23.67","4.70","11.33","-52.09","7.26"
17년12월(4Q),"117,000","68,426","58,144","3,693","3,869","6,249","58,698","10.94","1.99","3,318","120.49","27.59","0.35","6.35","23.29","146.97","10.42"
17년09월(3Q),"127,500","64,478","52,118","5,532","3,987","5,530","55,312","14.63","2.31","3,419","123.32","25.95","376.11","10.62","25.24","132.06","13.73"
17년06월(2Q),"94,800","61,888","46,650","1,173","669","1,590","53,091","14.00","1.79","574","123.23","11.11","-81.70","2.51","4.35","-84.91","6.18"
17년03월(1Q),"100,500","61,218","52,002","3,335","3,939","-1,936","52,516","10.05","1.91","3,378","144.75","51.68","-32.20","6.41","25.18","-9.09","9.59"
16년12월(4Q),"84,700","63,916","45,571","3,680","1,567","7,564","54,830","8.19","1.54","1,344","118.40","15.45","","8.08","9.93","344.08","12.70"
16년09월(3Q),"81,200","62,289","41,379","1,162","1,718","142","53,435","8.73","1.52","1,474","113.28","-6.52","620.08","2.81","11.14","","6.66"
16년06월(2Q),"75,700","61,153","41,984","6,409","4,436","4,609","52,461","10.17","1.44","3,804","100.80","-18.36","5.72","15.26","30.11","3.44","19.04"
16년03월(1Q),"97,900","56,718","34,284","4,918","4,333","4,904","48,657","13.38","2.01","3,716","101.24","-21.61","106.53","14.34","31.34","105.11","18.88"
15년12월(4Q),"79,400","53,899","39,473","-429","353","4,628","46,240","14.67","1.72","303","100.29","-37.02","","-1.09","2.62","","3.72"
15년09월(3Q),"62,600","53,770","44,267","161","-440","4,248","46,129","22.54","1.36","-377","94.53","-39.10","","0.36","-3.22","","3.80"
15년06월(2Q),"67,600","55,490","51,425","6,062","4,288","2,105","47,604","30.48","1.42","3,677","97.83","-30.69","","11.79","32.15","528.55","14.65"
15년03월(1Q),"64,300","51,202","43,738","2,381","2,113","13,774","43,927","","1.46","1,812","104.95","-42.47","407.32","5.44","16.85","732.66","8.75"
14년12월(4Q),"48,400","49,090","62,677","-2,440","-2,722","6,770","42,116","","1.15","-2,334","108.92","-22.09","","-3.89","-21.55","","-1.57"
14년09월(3Q),"42,800","51,936","72,682","-383","-1,092","2,845","44,557","","0.96","-937","128.96","-10.55","","-0.53","-8.31","","1.36"
14년06월(2Q),"56,900","53,203","74,192","-544","682","5,262","45,643","25.70","1.25","585","128.26","6.37","","-0.73","5.16","","1.20"
14년03월(1Q),"61,600","52,521","76,025","469","254","-6,084","45,058","42.87","1.37","218","131.82","-5.13","-85.64","0.62","1.91","-82.79","2.45"
13년12월(4Q),"74,000","53,540","80,446","-858","-276","7,227","45,932","29.79","1.61","-237","122.65","-4.08","","-1.07","-2.05","","1.00"
13년09월(3Q),"77,900","53,877","81,256","251","1,922","-3,605","46,221","30.77","1.69","1,648","137.20","-4.44","-95.17","0.31","14.46","-57.90","2.01"
13년06월(2Q),"73,200","52,470","69,747","999","-224","3,653","45,014","15.26","1.63","-192","133.83","-20.72","","1.43","-1.71","","3.29"
13년03월(1Q),"93,200","52,691","80,137","3,268","1,475","656","45,204","26.08","2.06","1,265","144.79","-11.31","-13.76","4.08","11.08","-53.32","5.69"
12년12월(4Q),"104,000","53,760","83,867","314","-220","3,750","46,121","20.72","2.25","-189","132.46","-9.47","-92.21","0.37","-1.63","","2.30"
12년09월(3Q),"106,000","54,106","85,028","5,197","4,565","4,949","46,417","13.08","2.28","3,915","148.88","8.92","25.14","6.11","35.08","626.14","7.56"
12년06월(2Q),"90,800","50,011","87,978","-1,483","-1,652","-3,028","42,905","19.21","2.12","-1,417","149.55","9.62","","-1.69","-13.00","","-0.23"
12년03월(1Q),"112,000","51,688","90,360","3,790","3,159","1,681","44,343","13.68","2.53","2,709","170.67","32.54","-39.62","4.19","24.31","-42.82","5.50"
11년12월(4Q),"100,000","52,253","92,640","4,027","3,377","4,911","44,828","9.79","2.23","2,896","152.67","52.32","1.14","4.35","26.68","10.33","6.25"
11년09월(3Q),"105,000","49,005","78,066","4,153","629","7,944","42,043","10.56","2.50","539","164.50","51.18","136.37","5.32","5.07","-74.44","6.87"
11년06월(2Q),"137,500","50,258","80,259","2,518","2,380","-2,616","43,117","11.94","3.19","2,041","154.90","63.40","23.38","3.14","19.38","343.02","4.60"
11년03월(1Q),"152,000","48,012","68,173","6,277","5,524","-5,838","41,191","15.30","3.69","4,738","158.34","56.58","1,284.84","9.21","47.49","426.97","10.76"
10년12월(4Q),"92,500","45,051","60,820","3,981","3,061","8,135","38,651","15.18","2.39","2,625","122.06","","","6.55","","","8.98"
10년09월(3Q),"70,500","","51,637","1,757","2,459","-797","","","","2,109","","","","3.40","","","5.46"
10년06월(2Q),"53,800","","49,117","2,041","537","706","","","","461","","","","4.16","","","6.05"
10년03월(1Q),"57,000","","43,538","453","1,048","222","","","","899","","","","1.04","","","3.05"
09년12월(4Q),"54,000","39,536","48,592","-857","-874","3,554","33,922","23.04","1.59","-750","130.05","5.96","","-1.76","-9.43","","0.71"
09년09월(3Q),"62,300","34,636","47,118","-570","789","-4,435","29,719","41.86","2.10","676","146.57","-32.84","","-1.21","9.10","-47.40","0.87"
