결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"672","884","33","-3","-3","-17","552","19.85","1.22","-2","17.57","-52.81","","-9.57","-1.51","","57.10"
19년06월(2Q),"864","888","74","35","35","45","555","13.35","1.56","22","15.68","156.55","","47.72","16.11","","81.54"
19년03월(1Q),"828","859","53","27","27","-10","537","22.11","1.54","17","19.45","59.43","","51.59","12.86","","89.78"
18년12월(4Q),"683","833","37","-4","-4","3","520","42.22","1.31","-3","18.84","-36.12","","-10.22","-1.97","","49.31"
18년09월(3Q),"1,015","847","69","47","47","-14","529","42.65","1.92","29","17.72","102.60","5,905.19","67.13","22.66","5,811.35","97.76"
18년06월(2Q),"902","800","29","-7","-9","-96","501","","1.80","-6","15.14","-46.96","","-24.30","-4.47","","74.85"
18년03월(1Q),"1,360","814","33","-7","-7","","509","259.72","2.67","-4","5.63","-5.98","","-21.39","-3.50","","49.77"
17년12월(4Q),"1,075","853","58","8","8","49","533","64.83","2.02","6","4.45","-18.93","-57.49","13.88","4.53","-48.89","49.52"
17년09월(3Q),"1,125","859","34","1","1","-58","536","50.46","2.10","","9.40","49.89","-74.85","2.26","0.37","-74.71","61.56"
17년06월(2Q),"663","856","54","7","7","","534","27.93","1.24","4","3.38","60.32","","12.46","3.17","","68.03"
17년03월(1Q),"790","853","35","10","10","3","532","50.12","1.49","6","4.48","-10.52","-34.92","27.32","4.56","-34.75","85.33"
16년12월(4Q),"575","844","72","19","17","-1","526","30.37","1.09","12","4.38","31.33","","26.46","9.09","","53.08"
16년09월(3Q),"596","829","23","3","3","-59","516","502.04","1.16","2","4.63","92.40","","13.50","1.52","","93.28"
16년06월(2Q),"707","823","34","-6","-6","-6","512","","1.38","-4","1.69","6.52","","-17.70","-2.97","","50.06"
16년03월(1Q),"626","844","39","15","15","-26","525","201.59","1.19","9","1.25","-22.19","-32.93","37.56","7.13","-32.96","84.32"
15년12월(4Q),"585","821","55","-10","-10","15","511","77.09","1.14","-6","4.79","-40.28","","-18.96","-4.79","","16.43"
15년09월(3Q),"607","827","12","-7","-7","-28","515","14.92","1.18","-5","1.55","-39.64","","-62.60","-3.58","","95.50"
15년06월(2Q),"839","844","32","1","8","-51","526","18.87","1.60","5","1.48","110.29","","1.78","3.66","","58.82"
15년03월(1Q),"617","807","51","22","22","29","502","24.97","1.23","14","2.56","165.27","11,937.89","43.58","11.16","11,245.60","90.93"
14년12월(4Q),"368","780","92","42","42","1","486","32.78","0.76","27","1.68","89.59","393.68","45.99","23.06","153.65","65.72"
14년09월(3Q),"411","748","20","-1","-1","-16","466","","0.88","-1","1.38","-53.72","","-5.99","-0.73","","73.19"
14년06월(2Q),"354","756","15","-24","-24","-15","471","33.98","0.75","-15","1.37","-48.34","","-156.88","-12.77","","-10.93"
14년03월(1Q),"377","786","19","","","87","489","20.92","0.77","","0.93","-35.48","-97.88","0.96","0.10","-97.97","83.06"
13년12월(4Q),"366","784","48","9","18","21","487","15.38","0.75","11","0.79","-2,632.29","","17.66","8.95","","55.21"
13년09월(3Q),"392","770","43","24","24","-4","479","","0.82","15","6.58","73.56","","56.16","12.66","","91.63"
13년06월(2Q),"453","749","29","-9","-12","-61","466","","0.97","-8","6.42","221.59","","-29.43","-6.45","","36.48"
13년03월(1Q),"415","769","30","9","9","-21","478","","0.87","6","6.48","-72.04","-86.28","29.26","5.06","-85.34","86.79"
12년12월(4Q),"428","752","-2","-221","-278","-13","467","","0.92","-170","6.36","","","11,581.06","","","10,649.78"
12년09월(3Q),"603","1,037","22","-8","-8","-22","647","55.83","0.93","-5","4.05","-41.64","","-35.57","-3.00","","29.49"
12년06월(2Q),"569","1,045","37","-27","-28","9","652","20.07","0.87","-17","3.94","10.78","","-71.13","-10.70","","-28.10"
12년03월(1Q),"486","1,072","82","43","44","63","668","9.08","0.73","27","4.98","97.11","627.51","52.00","16.93","659.41","75.67"
11년12월(4Q),"487","1,021","","","","","631","","0.77","","12.97","","","","","",""
11년09월(3Q),"410","1,006","38","11","21","8","627","","0.65","13","14.93","-2,967.23","","28.10","8.28","","71.43"
11년06월(2Q),"430","987","34","12","12","-69","616","","0.70","8","14.99","-73.42","-76.15","37.13","5.09","-81.25","71.41"
11년03월(1Q),"426","978","42","6","6","60","610","","0.70","4","17.94","-40.64","-80.56","14.09","2.38","-88.90","49.44"
10년12월(4Q),"525","982","","","","","606","","0.87","","21.05","","","","","",""
10년09월(3Q),"580","","-1","-3","-3","5","","","","-2","","","","211.21","","","252.76"
