결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"18,250","6,385","1,852","36","182","-187","32,119","13.10","0.57","932","89.89","-8.17","","1.95","12.10","","19.34"
19년06월(2Q),"20,100","6,202","2,212","43","12","-509","31,186","164.22","0.64","-4","78.12","-16.95","","1.94","-0.05","","20.34"
19년03월(1Q),"26,300","6,196","1,676","-278","-52","-281","31,209","16,049.61","0.84","-318","73.14","-23.07","","-16.62","-4.16","","4.83"
18년12월(4Q),"20,000","5,685","2,281","205","144","127","31,512","74.96","0.63","782","68.46","-6.41","10.01","9.00","10.28","-2.22","26.78"
18년09월(3Q),"20,350","5,597","2,017","-102","-56","133","31,032","71.51","0.66","-338","66.77","22.77","","-5.04","-4.46","","12.86"
18년06월(2Q),"20,850","5,658","2,664","-32","-20","235","31,399","42.79","0.66","-125","69.36","31.61","","-1.21","-1.64","","13.63"
18년03월(1Q),"26,250","5,569","2,178","-21","-9","56","30,923","24.83","0.85","-53","77.07","33.81","","-0.94","-0.69","","15.80"
17년12월(4Q),"25,850","5,630","2,437","187","154","165","31,261","31.38","0.83","800","93.97","5.28","-39.21","7.65","10.66","-32.76","27.34"
17년09월(3Q),"24,150","5,472","1,643","-24","-25","-232","30,436","19.90","0.79","-136","76.58","-26.47","","-1.44","-1.83","","18.00"
17년06월(2Q),"27,050","5,431","2,024","85","81","1,023","30,585","30.72","0.88","445","68.77","-4.17","","4.20","6.03","","21.45"
17년03월(1Q),"24,800","5,347","1,628","-61","-52","-138","30,125","95.09","0.82","-286","53.90","-0.08","","-3.76","-3.88","","15.67"
16년12월(4Q),"26,250","5,408","2,315","307","217","443","30,457","","0.86","1,190","65.35","-2.14","180.66","13.25","16.32","263.33","30.28"
16년09월(3Q),"24,700","5,242","2,234","-134","-86","103","29,208","","0.85","-469","65.00","12.69","","-5.98","-6.47","","8.45"
16년06월(2Q),"25,750","5,335","2,112","-40","-32","-221","29,710","50.53","0.87","-174","71.97","11.07","","-1.88","-2.36","","15.16"
16년03월(1Q),"29,100","5,435","1,629","-210","-105","-335","30,075","20.34","0.97","-576","65.21","-2.95","","-12.89","-7.56","","5.70"
15년12월(4Q),"35,000","5,682","2,366","109","60","94","31,396","18.32","1.11","328","64.44","5.58","-31.04","4.62","4.20","-40.25","23.87"
15년09월(3Q),"39,700","5,717","1,983","204","170","57","31,587","18.63","1.26","932","57.17","1.61","","10.29","12.08","","28.04"
15년06월(2Q),"32,000","5,548","1,901","146","136","-2","30,662","49.07","1.04","747","55.05","-20.56","","7.68","9.94","","27.41"
15년03월(1Q),"38,700","5,422","1,679","-38","-17","159","29,972","","1.29","-96","66.93","2.34","","-2.26","-1.30","","16.85"
14년12월(4Q),"29,300","5,403","2,241","159","100","137","29,850","","0.98","548","47.81","5.81","62.02","7.08","7.42","9.17","24.44"
14년09월(3Q),"29,100","5,381","1,951","-147","-100","840","29,474","","0.99","-547","43.78","12.05","","-7.55","-7.36","","10.13"
14년06월(2Q),"28,250","5,481","2,393","-85","-27","-122","30,021","56.60","0.94","-148","42.03","21.66","","-3.53","-1.96","","12.77"
14년03월(1Q),"38,050","5,508","1,640","-114","-47","-211","30,171","25.80","1.26","-225","47.40","13.58","","-6.95","-2.96","","12.45"
13년12월(4Q),"41,600","5,700","2,118","98","92","49","30,500","31.09","1.36","502","41.11","1.72","-0.39","4.62","6.63","115.19","24.15"
13년09월(3Q),"41,200","5,630","1,742","25","64","211","30,088","38.53","1.37","369","44.10","-22.31","-72.80","1.42","4.94","-15.26","21.78"
13년06월(2Q),"43,000","5,565","1,967","199","143","-18","29,712","37.86","1.45","828","45.58","-9.32","-51.07","10.10","11.30","-47.36","30.25"
13년03월(1Q),"46,900","5,426","1,444","-101","-79","-259","28,899","24.94","1.62","-361","53.75","10.30","","-6.96","-4.92","","15.94"
12년12월(4Q),"42,400","5,615","2,082","98","46","273","29,862","28.12","1.42","233","47.36","","","4.72","","","25.70"
12년09월(3Q),"42,000","5,427","2,173","95","77","464","29,734","30.41","1.41","424","56.84","21.76","-66.96","4.35","5.75","-49.98","21.16"
12년06월(2Q),"34,000","5,349","2,134","418","280","29","29,306","18.83","1.16","1,535","57.17","11.86","17.25","19.57","21.52","12.21","38.24"
12년03월(1Q),"31,700","5,067","1,257","-195","-129","-350","27,760","19.35","1.14","-706","51.99","-19.57","","-15.47","-9.91","","8.80"
11년12월(4Q),"37,300","5,488","","","","","29,101","","1.28","","56.87","","","","","",""
11년09월(3Q),"36,950","5,405","1,785","286","155","282","29,613","9.06","1.25","849","50.99","32.68","","16.03","11.63","","37.83"
11년06월(2Q),"29,500","5,251","1,908","356","250","177","28,769","11.57","1.03","1,368","44.79","-15.59","591.42","18.68","19.48","1,758.53","40.75"
11년03월(1Q),"28,600","5,001","1,563","197","153","218","27,397","22.77","1.04","836","40.10","25.17","","12.60","12.39","","34.59"
10년12월(4Q),"28,450","5,027","","","","","26,499","","1.07","","38.65","","","","","",""
10년09월(3Q),"29,450","","1,345","-198","-124","429","","","","-681","","","","-14.69","","","9.09"
10년06월(2Q),"34,100","","2,260","52","13","-129","","","","74","","","","2.28","","","22.55"
10년03월(1Q),"40,000","","1,249","-126","-78","-194","","","","-427","","","","-10.12","","","15.59"
09년12월(4Q),"46,100","4,722","1,663","194","161","227","25,872","35.42","1.78","881","41.83","18.30","","11.68","13.86","","33.19"
09년09월(3Q),"42,400","4,561","1,429","74","82","-94","24,991","237.17","1.70","450","46.11","-9.03","-3.90","5.20","7.27","137.23","26.83"
09년06월(2Q),"43,650","4,479","1,440","91","97","-122","24,541","","1.78","532","35.55","-20.88","-53.75","6.31","8.76","-32.94","28.32"
09년03월(1Q),"29,450","4,382","1,022","-204","-102","-18","24,009","164.13","1.23","-561","27.02","-19.81","","-20.01","-9.24","","5.10"
08년12월(4Q),"33,100","4,485","1,406","-104","-44","206","24,570","83.86","1.35","-242","23.76","-25.39","","-7.39","-3.92","","16.14"
08년09월(3Q),"38,000","4,529","1,571","77","35","293","24,812","31.60","1.53","190","21.04","9.82","688.56","4.92","3.07","-45.54","28.33"
08년06월(2Q),"55,000","4,494","1,820","196","145","-143","24,622","41.01","2.23","793","19.82","5.54","-14.72","10.79","13.09","-10.96","33.26"
08년03월(1Q),"53,600","4,350","1,274","-115","-58","45","23,830","33.87","2.25","-248","22.57","-2.96","","-9.00","-4.28","","17.24"
07년12월(4Q),"68,400","6,497","1,885","112","137","178","24,918","31.07","2.59","527","19.46","8.81","77.18","5.96","8.53","282.93","29.87"
07년09월(3Q),"55,600","6,389","1,431","10","91","133","24,503","31.07","2.14","348","20.59","-0.82","-76.11","0.69","5.72","-14.79","25.31"
07년06월(2Q),"58,900","6,318","1,725","230","232","18","24,231","31.78","2.30","890","21.12","-14.23","-44.71","13.36","14.95","-27.93","37.26"
07년03월(1Q),"49,300","6,105","1,313","-28","82","304","23,412","22.22","1.99","314","23.47","-6.82","","-2.14","5.31","-8.37","23.68"
