결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년12월(4Q),"150,000","182,096","115,518","1,105","-4,890","6,579","198,540","","0.76","-5,663","117.06","-15.39","","0.96","-11.91","","5.56"
19년09월(3Q),"166,000","198,315","123,725","3,301","1,743","2,395","206,191","20.90","0.81","1,624","99.28","-17.29","-60.51","2.67","3.36","-65.75","6.54"
19년06월(2Q),"159,000","196,801","131,036","4,976","1,690","5,313","204,771","14.38","0.78","1,569","97.70","-2.49","-41.57","3.80","3.27","-70.55","7.03"
19년03월(1Q),"179,500","194,833","128,486","3,311","2,115","3,972","202,729","12.11","0.89","2,089","102.10","5.61","-53.48","2.58","4.35","-57.28","5.90"
18년12월(4Q),"179,500","191,743","136,537","-2,959","2,542","11,152","205,525","10.19","0.87","2,661","86.99","9.01","","-2.17","5.54","-15.62","1.44"
18년09월(3Q),"215,000","190,586","149,587","8,358","4,594","-2,822","202,823","11.87","1.06","4,741","91.84","27.57","-12.71","5.59","9.93","-34.94","8.68"
18년06월(2Q),"202,000","191,836","134,380","8,516","5,126","1,528","200,649","9.78","1.01","5,327","81.01","27.48","103.16","6.34","11.10","79.31","9.92"
18년03월(1Q),"211,000","192,718","121,661","7,116","4,727","7,137","193,865","11.53","1.09","4,891","74.75","7.00","-29.12","5.85","10.15","-45.89","9.35"
17년12월(4Q),"204,500","193,093","125,253","8,412","2,967","5,821","194,441","9.11","1.05","3,153","77.38","24.27","-0.94","6.72","6.53","105.12","12.82"
17년09월(3Q),"199,000","193,610","117,256","9,576","6,963","6,949","194,892","9.55","1.02","7,286","73.80","20.85","130.80","8.17","15.32","89.66","12.35"
17년06월(2Q),"158,500","187,447","105,413","4,192","2,921","7,787","188,502","9.12","0.84","2,971","70.55","2.54","-62.56","3.98","6.41","-54.46","8.25"
17년03월(1Q),"166,500","183,987","113,704","10,039","8,599","1,245","185,015","7.95","0.90","9,039","80.64","20.22","18.83","8.83","19.75","52.39","12.45"
16년12월(4Q),"146,500","183,050","100,791","8,491","1,575","4,453","183,956","8.21","0.80","1,537","77.99","-7.26","207.90","8.42","3.41","","13.51"
16년09월(3Q),"161,500","179,178","97,030","4,149","3,718","5,241","180,094","11.42","0.90","3,842","77.36","-22.05","11.96","4.28","8.65","136.45","8.45"
16년06월(2Q),"140,500","177,426","102,802","11,195","6,258","14,191","178,204","11.78","0.79","6,524","83.66","-20.90","12.00","10.89","15.03","6.95","14.80"
16년03월(1Q),"172,000","171,447","94,582","8,448","5,663","12,892","171,950","14.95","1.00","5,931","85.41","-21.47","153.22","8.93","13.95","89.92","13.27"
15년12월(4Q),"130,000","170,463","108,679","2,758","-1,894","8,209","171,008","14.95","0.76","-2,152","83.97","-32.51","","2.54","-5.03","","9.29"
15년09월(3Q),"98,000","173,610","124,473","3,706","1,653","13,402","174,424","19.75","0.56","1,625","87.57","-25.06","657.76","2.98","3.79","","7.75"
15년06월(2Q),"122,000","170,160","129,970","9,996","5,875","6,599","171,449","47.60","0.71","6,100","104.12","-20.62","","7.69","14.66","","11.21"
15년03월(1Q),"95,400","163,282","120,441","3,336","3,043","12,647","164,318","","0.58","3,123","102.17","-28.20","43.54","2.77","7.74","258.43","6.05"
14년12월(4Q),"85,100","160,611","161,025","-4,217","-5,377","8,873","161,517","","0.53","-5,887","118.55","4.57","","-2.62","-14.50","","0.43"
14년09월(3Q),"81,100","165,606","166,090","489","-625","-812","166,261","","0.49","-773","121.49","5.92","-84.63","0.29","-1.88","","2.88"
14년06월(2Q),"113,000","165,241","163,737","-425","-333","294","166,105","41.57","0.68","-495","115.20","-2.84","","-0.26","-1.19","","2.43"
14년03월(1Q),"122,000","167,403","167,755","2,324","963","917","168,406","20.64","0.72","871","115.67","-7.36","-66.60","1.39","2.07","-68.31","4.01"
13년12월(4Q),"141,500","169,153","153,981","-25","-627","-4,844","170,471","18.17","0.83","-779","108.62","-10.27","","-0.02","-1.84","","3.33"
13년09월(3Q),"146,000","170,594","156,804","3,181","3,022","3,221","172,184","12.79","0.85","3,121","102.46","-15.05","-63.99","2.03","7.35","-42.36","4.87"
13년06월(2Q),"135,500","160,873","168,526","3,949","2,670","8,525","170,513","9.88","0.79","2,698","115.31","-10.73","","2.34","6.45","","4.95"
13년03월(1Q),"162,000","165,265","181,082","6,959","2,722","6,888","167,046","19.14","0.97","2,750","113.18","-3.86","-5.71","3.84","6.67","-60.36","6.42"
12년12월(4Q),"174,000","163,480","171,596","2,104","2,622","6,187","165,476","13.76","1.05","2,849","106.94","1.35","-42.34","1.23","6.99","83.48","4.51"
