결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년12월(4Q),"238,000","228,235","44,106","1,625","-452","11,479","305,327","21.59","0.78","-335","95.46","1.35","-27.87","3.68","-0.47","","100.00"
19년09월(3Q),"241,500","226,566","45,612","3,021","2,744","8,384","306,247","13.91","0.79","3,398","94.13","8.95","-0.66","6.62","4.85","-73.40","100.00"
19년06월(2Q),"259,000","224,298","44,370","3,228","2,591","10,312","303,516","9.69","0.85","3,262","89.88","6.81","-6.94","7.28","4.71","-71.27","100.00"
19년03월(1Q),"251,500","221,191","43,349","3,226","3,736","9,687","299,967","7.22","0.84","4,696","95.97","3.67","-0.89","7.44","6.78","-45.44","100.00"
18년12월(4Q),"269,500","223,493","43,517","2,253","4,745","16,537","302,806","6.96","0.89","6,005","89.58","-3.24","-27.43","5.18","8.74","-17.81","100.00"
18년09월(3Q),"282,000","221,708","41,864","3,041","10,498","4,715","299,126","7.04","0.94","12,773","72.24","-5.77","-22.50","7.26","19.37","29.60","100.00"
18년06월(2Q),"233,000","209,087","41,543","3,469","9,143","12,201","284,419","6.28","0.82","11,352","73.79","-4.40","-18.04","8.35","18.11","46.69","100.00"
18년03월(1Q),"233,500","199,878","41,815","3,255","6,934","9,873","273,100","6.97","0.85","8,607","80.78","-1.25","-20.71","7.78","14.77","17.96","100.00"
17년12월(4Q),"267,000","180,292","44,973","3,104","6,606","9,127","248,964","8.29","1.07","7,307","85.41","3.33","2.81","6.90","13.42","20.68","100.00"
17년09월(3Q),"255,000","174,761","44,427","3,924","7,930","11,304","242,738","8.24","1.05","9,856","82.67","4.69","-7.52","8.83","18.77","144.79","100.00"
17년06월(2Q),"266,000","166,752","43,456","4,233","6,205","8,823","233,252","10.59","1.14","7,739","84.57","1.83","3.90","9.74","15.44","115.38","100.00"
17년03월(1Q),"252,000","159,125","42,344","4,105","5,835","9,304","223,767","12.02","1.13","7,296","91.79","0.14","2.08","9.69","14.83","3.02","100.00"
16년12월(4Q),"224,000","161,164","43,523","3,020","4,747","15,329","225,796","10.79","0.99","6,055","94.20","-0.62","-24.86","6.94","12.48","65.15","100.00"
16년09월(3Q),"226,000","155,442","42,438","4,243","3,221","8,880","218,440","12.30","1.03","4,026","90.14","-0.41","-13.52","10.00","8.50","-14.95","100.00"
16년06월(2Q),"215,500","153,675","42,673","4,074","2,910","11,487","216,467","11.30","1.00","3,593","85.65","0.27","-1.34","9.55","7.68","-26.70","100.00"
16년03월(1Q),"208,500","151,152","42,285","4,021","5,723","6,736","213,776","10.23","0.98","7,082","88.49","-0.28","-0.13","9.51","15.12","28.65","100.00"
15년12월(4Q),"215,500","153,741","43,793","4,019","2,935","11,342","216,875","11.46","0.99","3,666","85.91","2.11","-18.00","9.18","7.70","-40.95","100.00"
15년09월(3Q),"263,000","156,338","42,614","4,906","3,818","12,299","213,931","12.32","1.23","4,734","82.67","-2.43","-8.56","11.51","9.96","-28.09","100.00"
15년06월(2Q),"250,000","153,176","42,557","4,129","3,979","9,484","210,017","10.78","1.19","4,902","83.07","-1.15","-24.39","9.70","10.72","-20.60","100.00"
15년03월(1Q),"272,500","150,772","42,403","4,026","4,427","4,656","204,163","11.14","1.33","5,505","84.55","0.91","59.53","9.50","12.32","64.74","100.00"
14년12월(4Q),"268,000","152,483","42,890","4,901","5,034","13,776","206,159","12.01","1.30","6,208","83.24","-0.14","-3.85","11.43","14.06","59.57","100.00"
14년09월(3Q),"290,000","147,441","43,675","5,366","5,310","9,237","200,189","14.51","1.45","6,583","87.77","5.89","-2.70","12.29","15.45","5.46","100.00"
14년06월(2Q),"236,500","142,032","43,054","5,461","4,976","9,866","193,615","12.04","1.22","6,174","90.29","4.58","0.12","12.68","14.99","6.83","100.00"
14년03월(1Q),"215,500","138,250","42,019","2,524","2,673","3,894","188,904","11.19","1.14","3,342","88.55","3.35","-37.61","6.01","8.13","-23.81","100.00"
13년12월(4Q),"230,000","141,666","42,948","5,097","2,937","13,767","193,101","11.33","1.19","3,890","87.60","5.28","-2.46","11.87","9.48","-39.94","100.00"
