결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년12월(4Q),"94,100","479,432","69,271","2,360","-1,182","25,836","69,281","34.03","1.36","-162","35.14","-30.30","-94.67","3.41","-0.98","","23.86"
19년09월(3Q),"82,200","482,662","68,388","4,726","4,955","24,971","69,728","10.83","1.18","677","31.92","-40.10","-92.70","6.91","4.11","-89.49","26.55"
19년06월(2Q),"69,500","477,108","64,522","6,376","5,370","-12,282","68,968","5.20","1.01","736","32.11","-37.78","-88.56","9.88","4.52","-87.63","31.26"
19년03월(1Q),"74,200","471,660","67,727","13,665","11,021","26,308","68,225","3.99","1.09","1,515","38.09","-22.33","-68.71","20.18","9.38","-64.66","39.57"
18년12월(4Q),"60,500","468,523","99,381","44,301","33,979","69,707","67,794","2.83","0.89","4,665","35.87","10.09","-0.80","44.58","30.08","5.45","58.10"
18년09월(3Q),"73,100","434,888","114,168","64,724","46,922","70,883","63,176","3.46","1.16","6,447","31.94","40.95","73.19","56.69","44.57","53.68","66.09"
18년06월(2Q),"85,700","407,777","103,705","55,739","43,285","36,447","57,065","4.55","1.50","5,948","30.60","54.96","82.71","53.75","44.90","75.40","63.72"
18년03월(1Q),"81,300","363,785","87,197","43,673","31,213","45,236","51,021","4.99","1.59","4,286","35.04","38.64","76.99","50.09","35.56","64.40","61.20"
17년12월(4Q),"76,500","338,209","90,276","44,658","32,195","47,865","47,510","5.23","1.61","4,424","34.29","68.50","190.72","49.47","39.82","98.00","61.67"
17년09월(3Q),"82,900","309,045","81,001","37,372","30,555","38,000","43,501","6.67","1.91","4,195","31.79","90.88","414.80","46.14","41.66","411.79","58.05"
17년06월(2Q),"67,400","277,638","66,923","30,507","24,685","32,841","39,188","7.45","1.72","3,391","35.07","69.81","573.66","45.59","37.32","762.70","57.28"
17년03월(1Q),"50,500","251,689","62,895","24,676","18,987","28,200","35,624","8.34","1.42","2,607","36.36","72.05","339.23","39.23","30.87","327.28","52.54"
16년12월(4Q),"44,700","240,235","53,577","15,361","16,286","19,798","34,051","11.02","1.31","2,234","34.10","21.32","55.34","28.67","28.28","86.92","44.60"
16년09월(3Q),"40,200","220,046","42,436","7,260","5,978","16,366","31,281","13.32","1.29","820","32.55","-13.84","-47.52","17.11","10.93","-43.07","34.20"
16년06월(2Q),"32,400","217,008","39,409","4,529","2,861","12,828","30,864","8.90","1.05","393","35.15","-15.04","-67.08","11.49","5.30","-74.18","31.76"
16년03월(1Q),"28,150","214,647","36,557","5,618","4,480","6,497","30,540","5.90","0.92","610","38.82","-24.13","-64.63","15.37","8.29","-65.72","36.05"
15년12월(4Q),"30,750","213,877","44,160","9,889","8,714","24,433","30,438","5.18","1.01","1,195","38.76","-14.22","-40.69","22.39","16.52","-46.43","39.61"
15년09월(3Q),"33,550","207,663","49,250","13,832","10,484","21,898","29,560","4.81","1.13","1,440","41.30","14.22","6.31","28.09","20.42","-4.61","43.23"
15년06월(2Q),"42,300","202,956","46,386","13,755","11,084","21,487","27,879","6.01","1.52","1,522","40.25","18.24","26.90","29.65","22.49","61.84","45.61"
15년03월(1Q),"45,550","191,257","48,183","15,885","12,955","25,377","26,272","7.07","1.73","1,780","43.23","28.74","50.25","32.97","27.89","57.51","47.49"
14년12월(4Q),"47,750","180,363","51,479","16,672","16,241","12,217","24,775","8.28","1.93","2,231","49.05","52.86","112.44","32.39","37.86","100.90","47.00"
14년09월(3Q),"46,750","162,903","43,121","13,012","10,951","16,252","22,453","10.09","2.08","1,510","47.83","5.59","11.74","30.18","28.36","11.88","44.88"
14년06월(2Q),"48,550","146,100","39,229","10,839","6,738","18,093","20,402","10.77","2.38","940","54.39","-0.25","-2.67","27.63","18.92","-30.99","42.74"
14년03월(1Q),"36,000","138,524","37,427","10,573","8,023","12,105","19,506","7.31","1.85","1,130","59.29","34.57","233.57","28.25","23.85","339.22","43.61"
13년12월(4Q),"36,800","130,669","33,677","7,848","7,891","17,193","18,399","9.10","2.00","1,111","59.16","23.89","1,327.57","23.30","24.86","371.52","40.13"
13년09월(3Q),"30,250","123,137","40,836","11,645","9,582","21,839","17,339","9.56","1.74","1,349","66.78","68.50","","28.52","32.66","49,586.12","41.74"
13년06월(2Q),"31,200","111,577","39,326","11,136","9,468","15,231","16,061","16.79","1.94","1,363","81.72","49.42","21,123.61","28.32","35.72","","37.68"
13년03월(1Q),"28,750","100,435","27,811","3,170","1,787","9,458","14,469","68.62","1.99","257","89.76","16.44","","11.40","7.22","","27.43"
12년12월(4Q),"25,750","97,394","27,184","550","1,637","6,132","14,032","","1.84","236","91.48","6.47","-23.05","2.02","6.70","","18.92"
12년09월(3Q),"22,750","97,864","24,235","-240","20","3,687","14,100","","1.61","3","96.41","5.78","","-0.99","0.08","","16.89"
12년06월(2Q),"23,850","98,596","26,320","52","-533","4,860","14,205","","1.68","-77","101.18","-4.58","-97.96","0.20","-2.15","","18.14"
12년03월(1Q),"29,250","98,982","23,884","-2,635","-2,712","7,438","14,263","","2.05","-421","94.62","-14.49","","-11.03","-12.20","","8.79"
11년12월(4Q),"21,950","78,753","25,532","714","-2,399","7,357","13,300","","1.65","-405","118.89","-7.18","-77.96","2.80","-11.89","","10.59"
11년09월(3Q),"21,350","82,665","22,911","-2,918","-5,626","6,068","13,960","62.51","1.53","-948","118.25","-29.54","","-12.74","-26.68","","4.73"
11년06월(2Q),"25,050","85,587","27,584","2,571","4,730","9,196","14,452","8.16","1.73","796","104.66","-15.90","-73.98","9.32","22.62","-35.51","22.89"
11년03월(1Q),"31,300","81,000","27,932","3,323","2,735","5,938","13,711","8.91","2.28","463","114.53","-1.09","-56.26","11.90","13.66","-66.72","24.37"
10년12월(4Q),"24,000","79,076","27,507","3,241","300","11,085","13,394","5.41","1.79","32","120.20","","","11.78","","","23.70"
10년09월(3Q),"22,150","","32,516","9,291","10,408","20,164","","","","1,786","","","","28.57","","","40.40"
10년06월(2Q),"25,050","","32,799","9,884","7,187","11,991","","","","1,234","","","","30.13","","","42.14"
10년03월(1Q),"26,700","","28,239","7,599","8,081","15,595","","","","1,390","","","","26.91","","","39.49"
09년12월(4Q),"23,150","54,524","26,671","5,928","6,520","8,931","9,247","","2.50","1,106","146.22","121.41","","22.23","50.33","","35.65"
09년09월(3Q),"19,800","49,126","20,531","1,650","2,454","546","8,332","","2.38","416","172.90","9.74","","8.04","20.02","","24.37"
09년06월(2Q),"13,650","48,921","16,036","-2,212","-507","-279","8,297","","1.65","-92","176.76","-13.19","","-13.79","-4.35","","5.51"
09년03월(1Q),"12,350","44,330","11,978","-6,525","-11,945","-4,744","8,531","","1.45","-2,347","201.76","-23.84","","-54.47","-100.35","","-29.62"
