결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"1,920","1,821","308","-26","-23","19","4,284","","0.45","-81","51.11","-2.54","","-8.34","-7.51","","2.92"
19년06월(2Q),"1,995","1,845","303","9","13","49","4,344","","0.46","31","50.61","-4.44","-72.72","2.83","2.88","-53.31","8.46"
19년03월(1Q),"2,090","1,811","257","-66","-61","-10","4,313","","0.48","-145","52.75","-5.16","","-25.62","-13.19","","-18.60"
18년12월(4Q),"2,100","1,881","418","41","39","67","4,479","127.68","0.47","92","52.01","-2.39","-44.21","9.80","8.29","-52.49","14.64"
18년09월(3Q),"2,170","1,865","316","-43","-39","-45","4,440","18.30","0.49","-94","50.64","4.34","","-13.57","-8.37","","-7.89"
18년06월(2Q),"2,190","1,904","318","31","28","75","4,533","11.72","0.48","67","49.75","-3.37","0.69","9.90","5.93","-40.63","15.13"
18년03월(1Q),"2,090","1,876","271","-21","-21","62","4,466","8.99","0.47","-49","54.66","8.50","","-7.70","-4.35","","-0.41"
17년12월(4Q),"2,095","1,905","429","74","81","90","4,536","19.39","0.46","195","56.93","-3.09","-33.25","17.15","17.67","7.47","22.10"
17년09월(3Q),"2,130","1,804","303","-12","-11","5","4,276","22.54","0.50","-26","72.52","-3.56","","-3.94","-2.39","","1.09"
17년06월(2Q),"2,500","1,815","329","31","47","21","4,301","39.22","0.58","112","71.07","6.80","1,309.80","9.50","10.61","321.14","13.66"
17년03월(1Q),"2,490","1,761","250","-71","-73","98","4,173","","0.60","-173","74.08","2.84","","-28.48","-16.24","","-21.09"
16년12월(4Q),"2,480","1,843","442","110","76","53","4,369","30.54","0.57","181","69.52","16.19","163.43","24.90","17.05","584.29","31.36"
16년09월(3Q),"2,980","1,742","314","-25","-23","2","4,127","","0.72","-56","70.04","6.53","","-8.09","-5.39","","1.16"
16년06월(2Q),"2,760","1,792","308","2","11","60","4,247","","0.65","27","67.80","8.69","-61.05","0.72","2.54","","7.93"
16년03월(1Q),"3,185","1,759","243","-74","-29","41","4,169","","0.76","-70","71.78","12.85","","-30.44","-6.69","","-20.71"
15년12월(4Q),"2,915","1,782","381","42","11","105","4,224","","0.69","26","70.84","","","10.98","2.50","","15.41"
15년09월(3Q),"2,480","1,797","295","-24","-18","-3","4,258","","0.58","-42","65.38","9.64","","-8.26","-3.93","","-1.77"
15년06월(2Q),"2,690","1,834","283","6","-46","-13","4,347","","0.62","-110","68.82","3.16","","2.01","","","9.22"
15년03월(1Q),"2,880","1,880","215","-78","16","-269","4,476","5.57","0.64","38","67.86","5.79","","-36.08","3.44","","-26.19"
14년12월(4Q),"2,660","1,867","316","-115","301","16","4,445","10.27","0.60","718","82.21","16.56","","-36.25","69.65","474.86","-25.33"
14년09월(3Q),"3,110","1,596","269","-50","-87","-49","3,800","","0.82","-206","164.63","-6.04","","-18.69","-21.14","","-9.44"
14년06월(2Q),"2,975","1,683","274","-12","-14","17","4,008","","0.74","-32","149.54","-5.89","","-4.24","-3.23","","4.17"
14년03월(1Q),"3,485","1,697","204","-84","-92","70","4,041","","0.86","-220","143.30","-17.99","","-41.28","-21.18","","-28.91"
13년12월(4Q),"2,790","1,795","271","28","52","-73","4,274","35.78","0.65","125","127.94","-23.28","-36.62","10.25","11.88","181.89","17.86"
13년09월(3Q),"2,790","1,738","287","","-9","39","4,137","","0.67","-21","111.80","-6.85","-99.39","0.04","-1.98","","5.50"
13년06월(2Q),"2,740","1,747","292","36","30","92","4,158","84.74","0.66","72","104.19","-5.88","-42.18","12.27","7.01","-28.16","17.45"
13년03월(1Q),"3,790","1,716","248","-30","-41","42","4,086","62.48","0.93","-99","103.49","-7.26","","-12.21","-9.53","","-3.74"
12년12월(4Q),"3,530","1,762","354","44","19","61","4,195","30.04","0.84","44","96.25","-2.55","-26.77","12.41","4.23","-60.56","17.57"
12년09월(3Q),"3,940","1,754","308","21","6","-26","4,175","21.23","0.94","14","94.24","-3.86","-59.84","6.77","1.38","-76.37","12.94"
12년06월(2Q),"3,865","1,748","310","62","42","116","4,162","16.65","0.93","101","95.21","-0.57","-16.94","19.98","9.78","-10.60","25.49"
12년03월(1Q),"3,960","1,707","268","-7","-18","20","4,063","16.22","0.97","-42","92.65","6.93","","-2.65","-4.08","","5.75"
11년12월(4Q),"2,760","1,735","363","60","47","71","4,132","10.95","0.67","112","95.66","3.75","-7.96","16.52","11.02","111.10","21.44"
11년09월(3Q),"3,430","1,690","320","52","26","23","4,023","17.77","0.85","61","92.79","6.78","75.16","16.21","6.12","42.43","22.33"
11년06월(2Q),"2,500","1,664","312","75","47","99","3,963","14.30","0.63","113","88.78","5.61","27.64","23.91","11.52","59.79","29.80"
11년03월(1Q),"2,950","1,618","250","-2","-14","40","3,853","22.22","0.77","-34","90.39","4.75","","-0.93","-3.48","","7.39"
10년12월(4Q),"3,680","1,636","350","65","22","19","3,895","29.13","0.94","53","93.94","","","18.62","","","25.42"
10년09월(3Q),"3,685","","300","30","18","-32","","","","43","","","","9.88","","","17.74"
10년06월(2Q),"4,315","","295","58","30","33","","","","70","","","","19.78","","","26.02"
10년03월(1Q),"4,815","","239","2","-17","43","","","","-40","","","","1.04","","","9.87"
09년12월(4Q),"4,650","1,621","323","41","23","29","3,860","7.97","1.20","54","101.37","14.71","","12.68","5.59","","21.21"
09년09월(3Q),"5,080","1,599","287","26","5","-6","3,807","9.68","1.33","11","104.38","5.36","-19.27","9.02","1.13","-81.76","14.62"
09년06월(2Q),"4,530","1,594","247","33","7","1,809","3,796","7.91","1.19","18","104.12","-10.88","-24.25","13.31","1.88","-81.18","18.15"
09년03월(1Q),"4,300","1,587","198","-36","211","-1,761","3,779","6.62","1.14","501","145.21","-17.07","","-18.32","56.64","1,769.59","-8.96"
08년12월(4Q),"4,445","1,387","282","-4","-2","13","3,302","25.41","1.35","-5","32.95","-15.00","","-1.33","-0.61","","0.89"
08년09월(3Q),"4,750","1,391","272","32","25","57","3,312","15.56","1.43","59","35.30","18.00","163.86","11.77","7.16","34.02","18.64"
08년06월(2Q),"4,795","1,366","278","43","40","56","3,253","16.52","1.47","94","35.28","32.66","43.53","15.65","11.77","30.01","21.19"
08년03월(1Q),"4,005","1,328","239","3","11","46","3,161","14.91","1.27","27","36.90","20.87","","1.22","3.39","","7.91"
07년12월(4Q),"3,385","1,327","331","69","53","45","3,161","15.29","1.07","125","37.71","30.79","171.19","20.93","16.17","7.39","26.01"
07년09월(3Q),"4,305","1,275","231","12","18","29","3,035","20.24","1.42","44","38.44","10.35","-13.30","5.26","5.82","31.63","10.88"
07년06월(2Q),"4,960","1,256","209","30","30","63","2,991","24.53","1.66","73","36.46","8.21","17.86","14.47","9.83","49.85","20.63"
07년03월(1Q),"3,760","1,226","198","-16","-9","27","2,919","21.12","1.29","-20","38.97","12.49","","-7.88","-2.77","","1.65"
06년12월(4Q),"3,385","1,245","253","26","49","67","2,964","19.21","1.14","117","37.81","15.93","92.41","10.09","16.10","212.30","15.69"
06년09월(3Q),"2,800","1,190","209","14","14","12","2,834","28.88","0.99","33","38.14","-2.71","33.92","6.70","4.73","92.27","14.65"
06년06월(2Q),"3,020","1,176","193","26","20","13","2,800","37.30","1.08","48","37.89","15.51","392.80","13.28","6.98","202.64","21.42"
06년03월(1Q),"3,390","1,157","176","-11","-9","33","2,755","69.88","1.23","-22","40.17","10.78","","-6.01","-3.21","","1.78"
05년12월(4Q),"4,180","1,167","219","13","16","38","2,779","135.32","1.50","37","40.16","15.37","","6.08","5.40","570.16","15.64"
05년09월(3Q),"2,785","1,158","215","10","7","-15","2,757","","1.01","17","39.93","28.63","144.00","4.87","2.52","61.97","11.24"
05년06월(2Q),"2,560","1,151","167","5","7","42","2,740","","0.93","16","42.80","-0.07","11.31","3.11","2.35","349.19","10.07"
05년03월(1Q),"2,600","1,134","159","-20","-17","-35","2,699","","0.96","-40","38.83","0.07","","-12.37","-5.85","","-6.73"
04년12월(4Q),"1,205","1,150","189","-11","2","-135","2,739","35.15","0.44","6","37.95","9.24","","-5.89","0.82","-31.36","5.19"
04년09월(3Q),"1,135","1,135","167","4","4","13","2,703","30.82","0.42","11","37.09","7.42","-5.73","2.57","1.59","-9.79","8.01"
04년06월(2Q),"1,350","1,131","168","5","1","103","2,692","35.54","0.50","4","35.75","19.93","-15.28","2.79","0.53","-85.74","9.89"
04년03월(1Q),"1,275","1,133","159","5","6","56","2,698","24.40","0.54","14","40.74","24.62","766.06","3.09","2.15","228.58","11.46"
03년12월(4Q),"1,440","1,127","173","5","3","191","2,684","33.18","0.61","8","18.22","35.33","","2.68","1.21","","5.13"
03년09월(3Q),"1,580","1,123","155","5","5","-160","2,674","","0.67","12","16.53","13.32","-31.50","2.92","1.78","-29.71","11.63"
03년06월(2Q),"1,530","1,118","140","6","10","73","2,662","","0.65","25","17.00","1.14","","3.96","3.78","","14.73"
03년03월(1Q),"2,130","1,104","127","1","2","-63","2,628","","0.92","4","17.24","21.64","","0.44","0.67","","18.58"
02년12월(4Q),"1,370","1,102","128","-25","-27","","2,624","","0.59","-65","17.71","-1.95","","-19.14","-9.75","","-24.74"
02년09월(3Q),"1,750","1,134","137","7","7","","2,700","","0.74","17","15.35","13.23","-29.50","4.84","2.51","-31.34","22.42"
02년06월(2Q),"1,970","1,127","138","-5","-3","","2,683","","0.83","-6","16.71","12.49","","-3.75","-0.95","","18.39"
02년03월(1Q),"3,410","1,136","105","-38","-37","-10","2,706","","1.43","-89","16.52","-15.63","","-36.02","-12.95","","-11.00"
01년12월(4Q),"3,070","1,163","131","-18","-7","","2,768","","1.26","-17","15.28","-10.81","","-13.69","-2.45","","11.67"
01년09월(3Q),"3,500","1,166","121","9","10","","2,775","1,087.80","1.43","25","16.51","4.84","84.82","7.77","3.56","73.23","27.16"
