year,company,industry,결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PBR,부채율,매출증가,영익률,지배ROE,매출이익
19,CJ제일제당,식품,19년09월(3Q),234500,90657,58581,2727,171,4686,310284,0.76,182.23,18.45,4.66,0.16,19.66
19,CJ제일제당,식품,19년06월(2Q),297000,87898,55153,1753,395,2562,303581,0.98,185.44,23.84,3.18,1.34,18.89
19,CJ제일제당,식품,19년03월(1Q),323000,83183,50178,1791,409,2400,301101,1.07,193.83,15.39,3.57,3.4,19.4
18,CJ제일제당,식품,18년12월(4Q),330500,73082,49221,1727,-509,3790,298085,1.11,166.78,14.71,3.51,-4.46,16.32
18,CJ제일제당,식품,18년09월(3Q),333500,72404,49456,2652,1208,1547,303268,1.1,169.78,12.13,5.36,8.9,20.01
18,CJ제일제당,식품,18년06월(2Q),352500,72362,44537,1846,7834,-1469,301696,1.17,163.38,13.94,4.14,68.37,18.71
18,CJ제일제당,식품,18년03월(1Q),321500,64156,43486,2103,721,846,252361,1.27,184.82,12.47,4.84,6.75,21.09
17,CJ제일제당,식품,17년12월(4Q),366000,61439,42911,1504,152,4199,239601,1.53,174.55,14.72,3.5,1.24,20.9
17,CJ제일제당,식품,17년09월(3Q),354500,63339,44107,2693,2635,4533,248398,1.43,172.43,19.89,6.11,29.73,22.36
17,CJ제일제당,식품,17년06월(2Q),361500,60172,39089,1644,431,1743,241300,1.5,163.46,8.29,4.21,2.51,20.81
17,CJ제일제당,식품,17년03월(1Q),353000,59068,38665,1925,910,1334,236762,1.49,160.55,9.41,4.98,9.73,22.2
16,CJ제일제당,식품,16년12월(4Q),357500,60605,37406,1569,155,3007,242224,1.48,160.15,14.28,4.19,-0.01,21.03
16,CJ제일제당,식품,16년09월(3Q),363000,57913,36790,2433,1167,782,235006,1.54,154.98,9.29,6.61,13.52,23.68
16,CJ제일제당,식품,16년06월(2Q),388500,58050,36096,2106,719,3046,232150,1.67,159.17,14.05,5.83,5.2,22.26
16,CJ제일제당,식품,16년03월(1Q),347500,57427,35340,2328,1494,1167,230651,1.51,160.11,13.27,6.59,15.37,23.39
15,CJ제일제당,식품,15년12월(4Q),377500,53852,32732,1118,411,2410,223904,1.69,155.35,6.27,3.42,1.83,21.32
15,CJ제일제당,식품,15년09월(3Q),380500,53717,33664,2225,502,3082,223542,1.7,161.1,13.24,6.61,3.96,22.94
15,CJ제일제당,식품,15년06월(2Q),441000,50695,31650,1918,623,2913,220538,2,166,11.94,6.06,6.83,22.16
15,CJ제일제당,식품,15년03월(1Q),378000,49539,31199,2254,1000,3140,213274,1.77,168.02,10.57,7.22,12.36,22.91
14,CJ제일제당,식품,14년12월(4Q),306500,49499,30800,1719,269,2179,213385,1.44,170.36,13.13,5.58,0.81,21.45
14,CJ제일제당,식품,14년09월(3Q),387500,48934,29727,1672,229,1604,210615,1.84,175.09,1.69,5.63,1.22,21.54
14,CJ제일제당,식품,14년06월(2Q),344500,48112,28275,1234,356,2873,206477,1.67,178.69,2.69,4.36,3.71,20.08
