결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"2,270","534","138","9","11","42","2,271","","1.00","50","21.47","0.99","60.81","6.78","8.99","","100.00"
19년06월(2Q),"2,620","524","133","3","4","-10","2,222","","1.18","15","20.71","-6.59","108.26","2.29","2.77","250.06","100.00"
19년03월(1Q),"2,645","520","121","","4","57","2,206","","1.20","15","19.57","-18.39","","0.28","2.65","-29.13","100.00"
18년12월(4Q),"2,255","513","153","3","-17","2","2,180","","1.03","-81","21.80","-4.13","-60.74","1.72","-14.58","","100.00"
18년09월(3Q),"2,950","530","137","6","-5","13","2,263","110.04","1.30","-17","22.11","3.98","","4.26","-3.01","","100.00"
18년06월(2Q),"3,190","536","142","1","1","1","2,286","212.37","1.40","4","21.36","1.85","138.15","1.03","0.77","60.31","100.00"
18년03월(1Q),"3,175","528","148","-1","4","-3","2,251","237.41","1.41","21","19.68","3.87","","-0.37","3.66","768.77","100.00"
17년12월(4Q),"3,290","524","160","7","4","71","2,233","","1.47","19","24.86","-19.75","-12.11","4.19","3.43","","100.00"
17년09월(3Q),"3,055","516","132","-7","-7","-29","2,200","","1.39","-29","22.61","-23.49","","-5.58","-5.21","","100.00"
17년06월(2Q),"3,680","525","140","1","","36","2,234","44.54","1.65","3","20.78","-14.39","","0.44","0.49","","100.00"
17년03월(1Q),"3,845","525","143","1","1","-47","2,233","82.19","1.72","2","22.87","3.58","-80.44","1.02","0.42","-95.98","100.00"
16년12월(4Q),"3,820","535","199","8","-6","73","2,277","37.04","1.68","-28","32.50","1.21","","3.83","-4.81","","100.00"
16년09월(3Q),"4,135","547","172","8","21","11","2,332","33.74","1.77","105","25.63","13.04","482.95","4.82","18.44","414.28","100.00"
16년06월(2Q),"4,250","527","163","-4","-9","67","2,233","112.45","1.90","-33","37.31","21.09","","-2.62","-5.91","","100.00"
16년03월(1Q),"4,235","529","138","7","12","25","2,249","43.49","1.88","59","24.09","-14.31","187.16","5.42","10.51","137.36","100.00"
15년12월(4Q),"4,680","524","197","-3","-4","-8","2,220","73.80","2.11","-8","30.57","-1.53","","-1.68","-1.49","","100.00"
15년09월(3Q),"4,470","528","152","1","3","-26","2,231","42.96","2.00","20","32.64","31.39","-6.49","0.93","3.69","-19.36","100.00"
15년06월(2Q),"5,230","525","135","5","6","8","2,207","48.00","2.37","26","27.03","9.23","","3.45","4.82","43.70","100.00"
15년03월(1Q),"4,610","521","161","3","5","-33","2,188","45.69","2.11","25","37.49","48.57","283.66","1.62","4.54","57.99","100.00"
14년12월(4Q),"4,100","520","200","10","7","102","2,167","44.65","1.89","32","42.97","","","4.84","","","100.00"
14년09월(3Q),"4,525","499","116","2","6","-19","2,172","47.56","2.08","25","33.26","-3.29","-81.11","1.31","4.69","-36.95","100.00"
14년06월(2Q),"4,640","495","123","","4","-12","2,152","42.17","2.16","18","34.10","-1.27","","-0.34","3.46","-33.36","100.00"
14년03월(1Q),"5,950","485","108","1","4","-16","2,109","49.90","2.82","16","34.60","-18.25","-93.14","0.63","2.95","-62.01","100.00"
13년12월(4Q),"3,995","491","141","8","8","48","2,134","27.59","1.87","36","37.72","5.12","41.22","5.99","6.74","75.13","100.00"
13년09월(3Q),"4,440","484","120","8","9","15","2,104","34.29","2.11","40","25.92","14.12","173.64","6.72","7.73","51.32","100.00"
13년06월(2Q),"4,215","474","125","9","6","16","2,063","36.39","2.04","28","28.01","0.62","10.19","7.36","5.37","-44.78","100.00"
13년03월(1Q),"5,920","473","132","10","9","20","2,058","42.81","2.88","41","29.80","3.89","12.59","7.46","8.03","-7.38","100.00"
12년12월(4Q),"5,080","471","134","6","5","27","2,049","35.89","2.48","20","25.75","-6.68","","4.46","3.98","32,760.92","100.00"
12년09월(3Q),"6,540","471","105","3","6","-70","2,046","53.95","3.20","27","21.70","-36.31","-88.85","2.80","5.27","-74.44","100.00"
12년06월(2Q),"7,000","458","124","8","12","57","1,990","35.24","3.52","50","39.46","-7.04","-46.27","6.72","10.21","-21.59","100.00"
