결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"29,550","36,917","4,055","1,392","1,286","-22","18,069","21.00","1.64","601","12.95","9.88","12.33","34.33","14.18","37.93","53.75"
19년06월(2Q),"30,250","35,661","3,643","1,728","509","734","17,482","24.36","1.73","238","17.39","7.55","50.24","47.43","5.76","-46.12","62.79"
19년03월(1Q),"32,000","35,073","3,774","1,251","1,024","1,299","17,207","22.13","1.86","479","23.56","-0.25","-0.72","33.14","11.55","13.26","52.14"
18년12월(4Q),"32,000","35,868","3,519","658","190","920","17,579","23.03","1.82","89","17.97","-8.60","-31.06","18.69","2.12","-75.70","36.00"
18년09월(3Q),"28,700","35,869","3,691","1,239","933","1,650","17,579","17.22","1.63","436","16.92","-3.07","-9.96","33.58","10.54","-21.63","53.70"
18년06월(2Q),"26,150","34,931","3,387","1,150","946","-212","17,140","14.63","1.53","442","16.68","-9.17","-15.10","33.95","10.98","-14.37","52.26"
18년03월(1Q),"28,200","33,953","3,784","1,260","904","1,281","16,683","15.15","1.69","423","26.70","-7.51","-22.41","33.30","10.49","-30.31","54.59"
17년12월(4Q),"34,800","35,012","3,850","954","783","1,122","17,178","17.01","2.03","366","19.55","-6.11","-19.72","24.78","9.07","22.96","43.75"
17년09월(3Q),"35,000","34,129","3,808","1,376","1,190","2,418","16,765","17.70","2.09","556","18.55","-13.09","-14.85","36.15","14.20","-4.29","55.72"
17년06월(2Q),"34,850","32,915","3,729","1,355","1,104","14","16,198","17.41","2.15","516","16.19","-9.45","-15.48","36.32","13.63","-10.72","53.79"
17년03월(1Q),"38,200","31,904","4,091","1,624","1,298","1,076","15,725","18.51","2.43","607","26.87","-6.29","-8.70","39.70","16.12","-9.12","57.62"
16년12월(4Q),"35,750","32,527","4,100","1,188","637","2,374","16,017","16.82","2.23","298","22.33","1.02","-1.13","28.98","7.91","-31.43","45.79"
16년09월(3Q),"39,300","31,976","4,381","1,617","1,243","675","15,759","17.38","2.49","581","17.85","5.95","2.40","36.90","15.87","4.51","55.43"
16년06월(2Q),"41,700","30,721","4,118","1,603","1,237","681","15,172","18.65","2.75","578","21.70","5.89","8.36","38.92","16.44","27.05","55.66"
16년03월(1Q),"40,900","29,467","4,366","1,779","1,428","2,235","14,586","19.35","2.80","668","32.27","2.62","4.98","40.74","19.22","7.90","57.62"
15년12월(4Q),"38,400","29,978","4,059","1,202","930","2,156","14,824","18.60","2.59","435","23.12","8.64","0.82","29.61","12.64","96.29","47.06"
15년09월(3Q),"42,300","28,888","4,135","1,579","1,190","991","14,315","22.85","2.95","556","20.86","4.95","18.92","38.18","16.83","12.80","56.07"
15년06월(2Q),"37,000","27,660","3,889","1,479","973","1,118","13,741","20.69","2.69","455","23.65","9.35","19.67","38.03","14.34","-3.17","54.35"
15년03월(1Q),"34,650","26,644","4,254","1,694","1,323","1,485","13,266","19.22","2.61","619","31.57","13.97","23.12","39.83","19.72","24.87","56.38"
14년12월(4Q),"30,400","27,054","3,736","1,192","474","2,191","13,458","18.10","2.26","221","24.76","11.32","187.74","31.91","7.03","69.81","48.17"
14년09월(3Q),"35,850","26,835","3,940","1,328","1,055","892","13,355","22.57","2.68","493","18.63","5.24","-1.84","33.70","16.04","0.84","51.99"
14년06월(2Q),"29,700","25,774","3,556","1,236","1,005","1,117","12,860","18.74","2.31","470","20.75","14.99","32.83","34.75","15.92","31.95","53.33"
14년03월(1Q),"31,000","24,754","3,733","1,376","1,060","905","12,383","21.08","2.50","495","27.59","9.15","16.30","36.87","16.98","19.21","53.51"
13년12월(4Q),"30,950","25,177","3,356","414","279","1,952","12,580","22.25","2.46","130","23.21","7.98","-44.81","12.34","4.46","-44.58","29.84"
13년09월(3Q),"28,500","24,849","3,744","1,352","1,046","905","12,427","19.05","2.29","489","16.71","12.55","28.71","36.13","17.20","27.94","53.47"
13년06월(2Q),"31,600","23,812","3,093","930","762","346","11,942","22.75","2.65","356","19.03","1.15","-8.29","30.08","13.01","-5.76","49.28"
13년03월(1Q),"31,400","23,045","3,420","1,183","889","1,041","11,585","22.26","2.71","416","29.32","-1.44","-4.01","34.60","15.21","-4.69","53.34"
12년12월(4Q),"29,250","23,720","3,108","751","503","1,214","11,901","20.43","2.46","235","22.54","0.48","-18.65","24.15","8.58","-36.70","40.68"
12년09월(3Q),"25,000","23,225","3,326","1,051","818","1,787","11,670","15.95","2.14","382","20.04","1.70","-21.29","31.59","14.30","-21.59","51.42"
12년06월(2Q),"24,350","22,499","3,058","1,015","809","-605","11,285","14.55","2.16","378","16.18","3.41","-12.30","33.18","14.64","-14.73","52.36"
12년03월(1Q),"25,150","21,675","3,470","1,233","933","2,069","10,900","14.47","2.31","436","34.46","4.01","-16.81","35.53","16.87","-9.05","54.98"
11년12월(4Q),"27,200","22,574","3,093","923","795","1,896","11,331","15.27","2.40","372","20.11","-0.99","-10.18","29.83","14.34","11.97","46.66"
