결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년12월(4Q),"44,300","289,781","161,054","5,905","3,464","2,662","72,020","9.83","0.62","854","90.99","19.54","54.58","3.67","4.80","267.11","15.05"
19년09월(3Q),"45,600","287,365","150,895","2,915","3,258","21,481","71,424","11.74","0.64","804","92.88","7.21","148.52","1.93","4.57","9.43","15.88"
19년06월(2Q),"44,000","283,595","145,067","5,336","5,054","13,692","70,494","11.53","0.62","1,247","92.16","3.18","51.36","3.68","7.22","52.27","16.12"
19년03월(1Q),"35,350","276,581","124,444","5,941","6,491","-1,728","68,764","10.44","0.51","1,601","92.06","-0.94","94.38","4.77","9.46","50.27","17.85"
18년12월(4Q),"33,700","272,435","134,732","3,820","943","-5,717","67,741","11.82","0.50","233","90.09","3.59","26.32","2.84","1.38","-9.98","13.89"
18년09월(3Q),"35,100","273,454","140,743","1,173","2,977","16,565","67,459","12.20","0.52","735","90.46","-0.24","","0.83","4.36","","14.74"
18년06월(2Q),"30,850","272,300","140,601","3,525","3,319","21,371","67,708","21.68","0.46","819","93.57","3.55","-12.75","2.51","4.90","-14.81","15.02"
18년03월(1Q),"31,000","269,746","125,622","3,056","4,320","12,488","67,078","19.80","0.46","1,066","95.80","-2.19","-20.15","2.43","6.42","-43.56","15.39"
17년12월(4Q),"33,500","268,612","130,056","3,024","1,048","-4,810","66,798","14.03","0.50","259","94.68","0.70","-43.18","2.33","1.56","-67.25","17.68"
17년09월(3Q),"31,650","269,999","141,077","-4,270","-2,918","15,772","67,140","10.84","0.47","-720","102.09","11.09","","-3.03","-4.31","","12.70"
17년06월(2Q),"38,200","271,503","135,784","4,040","3,896","12,479","67,511","7.24","0.57","961","94.51","-6.03","-47.59","2.98","5.81","-52.82","17.36"
17년03월(1Q),"37,050","264,648","128,439","3,828","7,654","2,501","65,820","5.83","0.56","1,888","96.63","1.54","-39.59","2.98","11.54","-18.97","19.22"
16년12월(4Q),"39,250","265,794","129,147","5,322","3,200","-8,833","66,103","5.78","0.59","789","91.46","0.96","3.46","4.12","4.91","-25.72","19.78"
16년09월(3Q),"42,150","255,829","126,989","5,247","6,644","12,327","63,676","5.96","0.66","1,639","87.17","-3.14","-22.55","4.13","10.45","20.78","18.70"
16년06월(2Q),"43,200","252,662","144,500","7,709","8,257","31,340","62,895","6.37","0.69","2,037","95.64","16.15","18.47","5.33","13.25","10.61","20.27"
16년03월(1Q),"48,300","245,970","126,494","6,336","9,446","-2,075","61,244","7.33","0.79","2,330","96.30","13.17","23.84","5.01","15.48","4.58","20.34"
15년12월(4Q),"52,600","242,040","127,918","5,144","4,308","-2,939","60,290","8.11","0.87","1,063","89.97","9.31","2.76","4.02","7.15","-1.24","20.13"
15년09월(3Q),"53,600","239,789","131,109","6,775","5,501","17,744","59,734","8.24","0.90","1,357","90.33","14.86","19.58","5.17","9.31","-16.32","19.65"
15년06월(2Q),"45,300","232,735","124,411","6,507","7,465","16,182","57,994","6.69","0.78","1,842","92.06","3.21","-15.46","5.23","13.07","-27.08","20.40"
15년03월(1Q),"45,200","224,374","111,777","5,116","9,032","2,766","55,931","6.07","0.81","2,228","85.55","-6.27","-30.45","4.58","16.09","3.07","19.48"
