결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년12월(4Q),"240,500","19,407","5,973","204","212","404","330,234","20.61","0.73","3,476","36.70","3.96","-21.30","3.42","4.38","-15.63","32.89"
19년09월(3Q),"249,500","19,468","5,899","186","161","330","331,197","20.26","0.75","2,656","39.08","4.21","-14.51","3.15","3.36","-17.11","30.10"
19년06월(2Q),"254,000","19,243","5,682","82","46","678","327,478","19.74","0.78","765","37.52","6.64","26.87","1.44","0.98","-39.39","28.57"
19년03월(1Q),"309,000","19,182","5,886","316","291","212","326,474","23.13","0.95","4,774","36.94","4.53","-8.13","5.37","6.13","-9.42","30.85"
18년12월(4Q),"254,500","18,978","5,746","260","250","212","323,198","18.37","0.79","4,120","33.44","5.44","81.10","4.52","5.35","56.42","29.16"
18년09월(3Q),"243,500","18,767","5,660","217","195","428","319,745","19.68","0.76","3,205","34.56","-0.99","-30.68","3.84","4.19","-32.77","30.32"
18년06월(2Q),"325,000","18,723","5,328","65","76","356","318,939","23.33","1.02","1,262","34.85","-0.66","-64.59","1.21","1.66","-51.83","28.70"
18년03월(1Q),"306,000","18,610","5,631","344","321","473","317,064","20.01","0.97","5,271","34.71","1.39","5.99","6.11","6.98","7.91","31.91"
17년12월(4Q),"354,000","18,411","5,449","143","161","-86","313,880","23.75","1.13","2,634","33.07","-5.06","-35.15","2.63","3.50","-9.74","32.17"
17년09월(3Q),"343,000","18,499","5,717","313","290","250","315,228","22.58","1.09","4,766","35.72","4.37","37.66","5.48","6.38","25.68","34.20"
17년06월(2Q),"337,500","18,110","5,363","182","158","537","308,878","23.74","1.09","2,620","35.22","1.72","46.96","3.40","3.57","8.53","32.89"
17년03월(1Q),"299,000","17,832","5,554","325","298","333","304,356","21.34","0.98","4,885","37.56","-2.25","0.16","5.85","6.68","-79.34","33.70"
16년12월(4Q),"332,500","18,024","5,739","221","176","321","307,539","10.15","1.08","2,918","37.67","1.36","-23.43","3.85","4.00","-37.51","32.20"
16년09월(3Q),"314,000","17,712","5,477","228","231","223","302,479","9.10","1.04","3,793","36.28","0.32","-39.35","4.16","5.25","-20.85","32.70"
16년06월(2Q),"374,000","17,719","5,272","124","148","1,173","302,477","10.53","1.24","2,414","39.28","-0.42","-48.67","2.36","3.35","-59.65","31.96"
