결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"19,900","25,884","8,479","987","709","633","28,994","7.54","0.69","755","817.54","60.51","9.63","11.64","10.59","13.99","21.52"
19년06월(2Q),"21,700","25,718","7,490","747","607","-3,627","28,476","8.52","0.76","679","802.83","43.02","-21.52","9.97","9.73","-32.59","21.78"
19년03월(1Q),"21,150","25,184","7,799","2,119","1,607","-5,892","27,733","7.35","0.76","1,495","781.39","41.49","71.82","27.17","22.04","38.56","37.34"
18년12월(4Q),"18,850","24,406","7,515","154","-132","-7,997","26,947","7.66","0.70","-289","675.27","74.40","-85.77","2.06","-4.39","","14.97"
18년09월(3Q),"22,400","24,669","5,282","900","559","561","26,129","6.26","0.86","663","616.43","69.64","88.94","17.04","10.39","68.90","31.14"
18년06월(2Q),"23,150","23,913","5,237","951","871","-5,085","25,318","6.99","0.91","1,007","574.59","72.96","5.52","18.17","16.44","65.81","32.42"
18년03월(1Q),"21,950","22,992","5,512","1,233","955","-1,893","24,082","7.54","0.91","1,079","529.10","68.19","47.11","22.38","18.20","49.33","34.06"
17년12월(4Q),"19,250","19,110","4,309","1,085","786","-5,733","23,764","7.54","0.81","832","557.46","26.76","71.22","25.19","14.22","38.23","42.58"
17년09월(3Q),"17,650","18,751","3,114","476","347","-4,365","23,410","7.60","0.75","392","526.01","20.59","-18.55","15.30","6.87","-18.22","35.09"
17년06월(2Q),"21,950","18,234","3,028","902","656","-1,893","22,659","9.10","0.97","607","518.00","20.18","66.30","29.78","11.13","46.44","50.59"
17년03월(1Q),"20,300","16,448","3,277","838","643","3,477","21,390","9.15","0.95","723","522.21","8.04","8.46","25.58","13.78","6.70","42.10"
16년12월(4Q),"18,000","16,076","3,399","634","518","-3,430","20,954","8.28","0.86","602","493.73","28.49","106.55","18.65","11.68","86.46","36.93"
16년09월(3Q),"21,700","15,758","2,582","585","447","-3,304","20,652","11.46","1.05","480","497.86","-12.83","-6.84","22.65","9.50","-24.94","44.18"
16년06월(2Q),"23,300","15,325","2,520","542","390","1,682","20,146","11.35","1.16","415","456.50","-5.58","-39.76","21.52","8.43","-42.19","44.18"
16년03월(1Q),"21,650","14,843","3,033","773","566","1,478","19,625","9.19","1.10","677","417.90","43.83","0.39","25.48","14.12","9.56","42.58"
15년12월(4Q),"21,800","14,476","2,645","307","277","-1,794","19,164","9.49","1.14","323","372.15","12.37","-9.85","11.60","6.85","14.87","33.41"
15년09월(3Q),"29,200","14,255","2,962","628","491","-880","18,905","12.95","1.54","639","401.91","42.99","44.62","21.20","13.93","68.07","37.95"
15년06월(2Q),"27,700","13,793","2,668","900","672","191","18,213","13.87","1.52","717","406.72","45.68","247.57","33.73","16.19","257.85","54.01"
15년03월(1Q),"17,300","12,993","2,109","770","586","869","17,639","11.69","0.98","618","361.29","34.14","356.05","36.51","14.38","346.80","59.68"
14년12월(4Q),"11,950","12,501","2,354","340","217","-1,149","17,145","11.95","0.70","281","327.05","32.34","104.10","14.46","6.69","493.01","35.71"
14년09월(3Q),"11,350","12,269","2,071","434","333","8","16,862","14.81","0.67","380","362.09","16.29","34.04","20.96","9.24","51.16","45.68"
14년06월(2Q),"11,600","11,909","1,832","259","181","-1,361","16,452","18.19","0.71","200","406.03","-17.57","102.61","14.14","4.96","54.13","38.58"
14년03월(1Q),"14,300","11,776","1,572","169","118","453","16,287","25.21","0.88","138","415.41","-9.63","-12.74","10.74","3.44","-33.70","38.15"
13년12월(4Q),"15,150","11,761","1,779","167","66","-135","16,284","23.76","0.93","47","312.32","2.02","49.50","9.38","1.18","-87.86","34.98"
13년09월(3Q),"13,800","11,655","1,781","324","219","165","16,206","14.07","0.85","252","474.26","2.06","-7.32","18.18","6.32","-22.70","41.62"
13년06월(2Q),"16,450","11,464","2,222","128","94","-51","16,022","15.60","1.03","130","473.34","22.77","-22.32","5.75","3.29","-31.43","24.22"
13년03월(1Q),"17,750","11,728","1,740","194","161","2,170","16,003","15.93","1.11","209","304.45","-24.10","-53.50","11.12","5.30","-62.66","36.05"
12년12월(4Q),"15,750","11,442","1,744","112","189","-1,790","15,916","10.76","0.99","390","323.74","","","6.40","","","28.09"
12년09월(3Q),"17,450","4,469","429","53","59","18","10,165","27.28","1.72","131","31.36","11.81","24.62","12.29","5.33","10.56","27.38"
12년06월(2Q),"12,250","4,347","510","65","128","116","9,967","19.53","1.23","285","31.80","35.98","119.31","12.71","11.96","-13.96","20.52"
12년03월(1Q),"13,150","4,220","445","46","57","59","9,684","19.52","1.36","127","34.47","9.95","48.27","10.29","5.42","229.80","20.11"
11년12월(4Q),"10,300","10,778","","","","","14,547","","0.71","","292.92","","","","","",""
11년09월(3Q),"9,380","4,175","384","42","53","49","9,582","8.03","0.98","119","32.15","-4.80","40.23","11.03","5.13","47.27","21.45"
11년06월(2Q),"7,840","4,123","375","30","149","48","9,467","6.94","0.83","332","33.70","-0.67","-24.44","7.88","14.71","4.68","18.38"
11년03월(1Q),"9,410","3,974","405","31","17","79","9,136","8.44","1.03","39","32.49","26.59","1.52","7.63","1.74","-38.32","20.48"
10년12월(4Q),"8,550","9,743","","","","","13,224","","0.65","","338.36","","","","","",""
10년09월(3Q),"8,070","","403","30","36","-45","","","","80","","","","7.49","","","17.75"
10년06월(2Q),"7,480","","377","39","142","-4","","","","317","","","","10.36","","","21.96"
10년03월(1Q),"7,410","","320","30","28","87","","","","63","","","","9.51","","","23.06"
09년12월(4Q),"7,500","4,353","373","32","113","7","9,979","7.62","0.75","253","30.59","12.60","29.04","8.58","10.57","-19.32","19.16"
09년09월(3Q),"8,380","4,224","306","36","131","-60","9,692","8.02","0.86","291","15.15","9.18","13.56","11.66","12.54","-71.71","23.10"
09년06월(2Q),"7,260","4,114","279","33","116","29","9,448","4.07","0.77","259","16.53","5.27","46.48","11.89","11.68","18.31","26.86"
09년03월(1Q),"6,400","3,840","244","26","82","-13","8,835","3.66","0.72","182","17.01","-2.09","34.87","10.48","8.58","-30.41","26.76"
08년12월(4Q),"4,270","3,769","332","25","141","-453","8,677","2.31","0.49","313","27.84","27.34","22.94","7.49","15.05","17.40","20.11"
08년09월(3Q),"4,850","3,699","280","31","462","550","8,405","2.66","0.58","1,030","21.88","32.58","17.53","11.21","53.19","198.47","26.86"
08년06월(2Q),"6,650","3,248","265","23","95","9","7,477","6.11","0.89","219","24.43","30.54","11.89","8.55","12.11","-54.98","24.15"
08년03월(1Q),"8,500","3,012","249","19","105","-53","7,487","6.26","1.14","261","26.45","48.95","143.36","7.61","13.97","44.55","23.21"
07년12월(4Q),"10,000","2,997","260","20","107","13","7,492","7.82","1.33","267","37.91","25.69","25.50","7.76","14.51","81.60","23.35"
07년09월(3Q),"12,100","2,884","211","27","138","18","7,211","10.44","1.68","345","18.24","18.04","81.61","12.64","20.29","163.56","27.92"
07년06월(2Q),"10,800","2,554","203","20","194","83","6,386","11.43","1.69","486","17.72","22.31","55.44","9.97","31.72","88.32","26.04"
07년03월(1Q),"8,010","2,349","167","8","72","-20","5,871","11.18","1.36","181","18.54","14.50","22.01","4.66","12.42","-12.14","24.61"
06년12월(4Q),"6,690","2,307","207","16","59","1","5,768","9.02","1.16","147","18.27","13.45","-2.36","7.77","10.36","-33.08","22.78"
06년09월(3Q),"6,160","2,231","179","15","52","21","5,577","7.57","1.10","131","18.29","14.60","133.40","8.22","9.40","-33.16","22.84"
06년06월(2Q),"5,860","2,226","166","13","103","85","5,564","6.67","1.05","258","18.23","-5.81","-15.34","7.85","18.98","293.67","24.97"
06년03월(1Q),"5,300","2,126","146","6","82","-45","5,314","7.72","1.00","206","19.58","53.70","","4.37","16.01","175.43","24.31"
05년12월(4Q),"5,800","1,988","183","16","88","127","4,970","10.44","1.17","220","22.87","9.57","338.52","9.03","18.14","","22.67"
05년09월(3Q),"3,150","1,885","156","6","78","16","4,713","9.73","0.67","196","23.78","18.42","872.59","4.03","17.02","635.63","19.19"
05년06월(2Q),"1,960","1,796","176","15","26","-22","4,490","12.69","0.44","66","24.15","13.66","-34.49","8.73","5.88","-16.93","21.95"
05년03월(1Q),"1,890","1,771","95","-7","30","1","4,429","11.26","0.43","75","17.34","19.96","","-7.81","6.87","","16.33"
04년12월(4Q),"1,490","1,710","167","4","-5","76","4,434","31.14","0.34","-12","19.47","-2.03","","2.26","-1.16","","15.51"
04년09월(3Q),"1,400","1,710","132","1","11","-4","4,435","103.79","0.32","27","10.32","104.12","","0.49","2.51","-70.72","18.40"
04년06월(2Q),"1,330","1,687","155","23","32","41","4,377","17.10","0.30","79","9.54","10.93","70.03","15.14","7.51","9.49","28.49"
04년03월(1Q),"2,140","1,674","79","-21","-18","-19","4,345","30.16","0.49","-45","6.59","-0.07","","-26.16","-4.30","","9.25"
03년12월(4Q),"2,040","1,693","170","-5","-19","-48","4,392","19.59","0.46","-47","9.26","49.44","","-2.66","-4.46","","13.35"
