결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"6,060","6,103","1,882","91","60","282","6,824","55.07","0.89","57","51.74","1.24","23.61","4.85","3.87","41.74","18.88"
19년06월(2Q),"6,270","6,183","1,894","36","-6","102","6,877","67.16","0.91","-9","47.41","-1.98","-66.82","1.88","-0.60","","16.23"
19년03월(1Q),"6,190","6,193","1,952","74","116","137","6,850","32.11","0.90","108","47.97","-3.57","-34.01","3.81","7.35","12.17","18.85"
18년12월(4Q),"6,700","6,168","1,816","-38","-48","389","6,809","37.01","0.98","-46","34.61","-7.28","","-2.07","-3.01","","14.03"
18년09월(3Q),"7,280","6,605","1,859","74","40","","7,195","27.80","1.01","40","27.58","-7.63","-36.79","3.97","2.52","-66.95","18.51"
18년06월(2Q),"7,750","6,652","1,932","107","98","117","7,194","22.61","1.08","90","25.18","-5.59","-1.70","5.54","5.71","-23.84","19.50"
18년03월(1Q),"7,960","6,669","2,024","113","102","135","7,141","21.45","1.11","97","27.49","-3.80","-7.16","5.57","6.04","-23.56","19.20"
17년12월(4Q),"8,200","6,769","1,958","108","34","84","7,222","20.46","1.14","35","26.61","-3.80","-1.61","5.50","2.17","-76.83","18.67"
17년09월(3Q),"8,300","6,748","2,013","117","123","164","7,186","16.07","1.16","121","27.00","-1.20","2.65","5.80","7.55","47.71","19.66"
17년06월(2Q),"8,160","6,761","2,047","109","126","263","7,161","17.09","1.14","119","27.46","0.18","0.70","5.32","7.52","99.48","20.20"
17년03월(1Q),"8,050","6,587","2,104","121","133","419","7,012","19.25","1.15","126","29.78","0.62","25.12","5.77","8.05","8.19","20.62"
16년12월(4Q),"8,130","6,628","2,036","110","154","299","7,017","19.89","1.16","151","27.96","1.32","1.45","5.38","9.70","37.93","19.25"
