결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"104,000","65,446","21,635","2,230","1,783","2,510","150,981","7.65","0.69","4,157","97.56","-12.19","8.52","10.31","11.15","-11.19","16.77"
19년06월(2Q),"115,000","63,821","24,676","2,977","1,460","-2,347","147,239","8.15","0.78","3,522","104.94","-16.55","32.35","12.07","9.68","-36.70","16.92"
19년03월(1Q),"96,400","62,349","23,221","2,409","2,364","3,975","143,712","5.97","0.67","5,727","113.99","-18.12","-2.96","10.37","16.17","-9.37","17.14"
18년12월(4Q),"102,500","60,502","27,276","1,667","145","2,772","139,638","6.12","0.73","182","112.12","-17.11","81.96","6.11","0.52","","10.77"
18년09월(3Q),"82,600","60,669","24,638","2,055","1,873","4,044","140,593","5.31","0.59","4,681","116.32","-28.11","4.16","8.34","13.55","-37.38","13.90"
18년06월(2Q),"76,500","58,773","29,570","2,250","2,258","964","135,703","4.17","0.56","5,564","134.72","-4.81","57.28","7.61","16.74","110.20","12.52"
18년03월(1Q),"74,400","56,515","28,361","2,482","2,505","3,265","130,161","4.82","0.57","6,319","142.23","12.93","117.79","8.75","19.34","75.46","14.58"
17년12월(4Q),"82,400","56,943","32,907","916","-418","4,794","131,198","6.48","0.63","-1,016","135.37","27.60","48.25","2.78","-3.09","","7.91"
17년09월(3Q),"80,100","57,392","34,272","1,973","2,959","-3,548","132,304","5.57","0.61","7,475","146.33","39.47","51.00","5.76","23.20","180.95","10.21"
17년06월(2Q),"89,000","53,875","31,063","1,430","1,045","93","125,451","9.30","0.71","2,647","145.13","21.16","5.04","4.60","8.55","-10.66","10.23"
17년03월(1Q),"80,900","52,482","25,114","1,140","1,493","3,037","122,190","8.18","0.66","3,601","144.13","11.43","25.57","4.54","11.92","514.48","10.66"
16년12월(4Q),"87,100","51,454","25,789","618","333","1,555","119,454","12.67","0.73","663","140.83","-4.44","-14.22","2.40","2.23","75.05","7.96"
16년09월(3Q),"82,900","51,429","24,574","1,307","1,091","-1,510","118,832","12.58","0.70","2,661","136.94","2.42","92.10","5.32","9.04","46.78","11.20"
16년06월(2Q),"76,000","50,533","25,638","1,362","1,198","-283","116,527","13.24","0.65","2,963","144.95","6.93","115.93","5.31","10.29","60.89","10.69"
16년03월(1Q),"90,900","49,424","22,537","908","310","1,709","113,723","19.68","0.80","586","149.52","11.67","32.19","4.03","2.07","-55.71","9.83"
15년12월(4Q),"67,100","48,058","26,986","720","145","5,286","112,559","12.53","0.60","379","151.05","5.62","","2.67","1.35","","7.83"
15년09월(3Q),"67,100","45,901","23,992","680","727","-2,920","112,659","","0.60","1,813","141.96","14.78","","2.83","6.45","","7.94"
15년06월(2Q),"82,000","45,663","23,977","631","737","1,265","112,041","","0.73","1,842","139.89","-3.91","-27.63","2.63","6.62","32.69","8.03"
15년03월(1Q),"64,600","45,101","20,182","687","560","217","110,613","","0.58","1,323","132.88","-6.32","25.72","3.40","4.81","118.67","9.05"
14년12월(4Q),"65,800","44,653","25,549","-2,226","-3,580","1,502","109,537","","0.60","-9,341","137.31","4.74","","-8.71","-32.59","","-3.36"
14년09월(3Q),"75,500","48,592","20,904","-1,894","-1,677","1,225","119,784","","0.63","-4,414","125.36","-13.55","","-9.06","-14.47","","-3.46"
14년06월(2Q),"84,300","50,282","24,951","871","579","1,523","124,229","","0.68","1,388","124.55","0.87","-22.01","3.49","4.50","-24.52","7.98"
14년03월(1Q),"86,700","48,910","21,543","546","273","-3,933","122,560","","0.71","605","125.16","-14.38","-55.94","2.54","1.98","-80.11","7.22"
13년12월(4Q),"94,100","48,703","24,393","-3,195","-2,986","6,955","122,126","","0.77","-7,768","121.40","-18.87","","-13.10","-24.68","","-8.63"
13년09월(3Q),"97,000","51,596","24,180","1,235","899","-4,751","129,676","9.69","0.75","2,244","110.81","-11.32","-9.66","5.11","6.97","-26.57","9.87"
13년06월(2Q),"86,800","50,886","24,735","1,117","770","3,351","127,948","8.02","0.68","1,839","114.08","0.19","-10.64","4.52","5.79","104.41","8.87"
13년03월(1Q),"91,700","50,147","25,161","1,240","1,214","-5,208","126,189","9.28","0.73","3,042","120.32","22.66","30.95","4.93","9.73","-7.59","10.38"
12년12월(4Q),"87,000","49,185","30,065","1,296","1,122","7,688","123,800","8.59","0.70","2,886","123.77","27.55","35.19","4.31","9.42","2,317.86","9.72"
12년09월(3Q),"94,900","48,204","27,268","1,367","1,207","-577","121,273","12.88","0.78","3,056","120.91","34.25","-29.20","5.01","10.20","-0.37","9.63"
12년06월(2Q),"90,200","47,270","24,687","1,250","388","-226","118,479","12.23","0.76","900","119.11","26.34","43.11","5.06","3.05","-76.26","10.02"
12년03월(1Q),"122,500","46,894","20,513","947","1,290","1,284","117,630","11.93","1.04","3,292","123.38","24.64","54.94","4.61","11.35","31.79","11.31"
11년12월(4Q),"89,800","46,374","23,571","959","-6","6,786","114,427","9.48","0.78","119","132.13","7.14","19.71","4.07","0.42","-85.07","9.18"
11년09월(3Q),"96,500","45,785","20,312","1,931","1,216","-1,646","115,342","9.50","0.84","3,067","131.03","17.47","146.92","9.51","10.78","71.00","15.31"
11년06월(2Q),"128,500","44,467","19,541","874","1,578","-1,537","112,293","14.47","1.14","3,789","130.66","5.88","-36.66","4.47","13.60","21.09","10.88"
11년03월(1Q),"107,000","43,737","16,458","611","1,010","1,408","110,669","13.02","0.97","2,498","131.16","-1.03","-33.12","3.71","9.13","-14.54","11.52"
10년12월(4Q),"117,500","42,401","22,000","801","377","4,655","108,237","13.59","1.09","799","129.78","","","3.64","","","9.91"
10년09월(3Q),"84,400","","17,292","782","737","-3,330","","","","1,794","","","","4.52","","","10.73"
10년06월(2Q),"63,700","","18,455","1,379","1,275","2,080","","","","3,129","","","","7.47","","","13.77"
10년03월(1Q),"75,000","","16,629","913","1,190","2,604","","","","2,923","","","","5.49","","","13.23"
09년12월(4Q),"83,200","37,941","19,717","1,311","906","-2,933","98,292","9.36","0.85","2,347","119.89","15.27","1,053.75","6.65","10.10","","11.95"
09년09월(3Q),"72,300","33,807","14,844","568","474","-1,045","87,583","68.55","0.83","1,228","134.03","-1.93","-65.01","3.82","5.63","-66.80","9.16"
09년06월(2Q),"61,800","33,568","15,404","1,428","1,141","4,295","86,963","17.53","0.71","2,957","133.76","1.09","4.98","9.27","13.74","-3.84","14.86"
09년03월(1Q),"52,500","32,873","12,783","999","911","1,755","85,162","14.41","0.62","2,359","132.02","11.72","25.39","7.81","11.25","75.35","13.65"
08년12월(4Q),"44,500","31,906","17,106","114","-2,119","3,236","82,659","16.93","0.54","-5,489","123.68","4.31","-92.38","0.66","-26.68","","7.82"
08년09월(3Q),"71,900","31,620","15,136","1,622","1,427","2,397","81,918","5.78","0.88","3,698","114.93","34.44","55.82","10.72","18.40","54.81","15.35"
08년06월(2Q),"107,000","30,421","15,238","1,361","1,187","-3,037","78,810","9.61","1.36","3,075","106.97","27.00","10.70","8.93","15.93","9.21","14.16"
08년03월(1Q),"126,500","29,202","11,443","797","519","-3,352","75,652","11.63","1.67","1,345","101.60","17.49","31.11","6.96","7.08","-43.46","15.13"
07년12월(4Q),"179,000","29,514","16,400","1,492","1,670","-54","76,462","15.03","2.34","4,327","91.42","33.40","67.46","9.09","23.41","485.42","15.54"
07년09월(3Q),"169,500","27,561","11,259","1,041","922","-816","71,402","20.37","2.37","2,388","87.85","-0.57","27.09","9.25","13.61","-1.39","15.49"
