결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"30,600","38,902","19,475","-2,563","-2,964","7,659","36,294","12.83","0.84","-2,765","200.35","-11.37","","-13.16","-29.35","","-10.10"
19년06월(2Q),"32,700","41,881","21,504","1,948","1,453","2,453","39,073","15.34","0.84","1,356","184.09","-7.54","-15.08","9.06","14.13","-38.10","8.16"
19년03월(1Q),"27,950","40,415","20,721","1,996","1,952","11,300","37,706","9.43","0.74","1,821","194.16","-8.16","-33.15","9.63","19.81","-12.45","12.64"
18년12월(4Q),"34,150","38,402","28,652","3,198","2,114","2,842","35,828","10.61","0.95","1,974","210.36","14.93","","11.16","22.54","","1.83"
18년09월(3Q),"34,650","36,548","21,973","1,770","-3,239","-495","34,261","","1.01","-3,019","215.94","-9.23","-9.67","8.05","-33.96","","7.24"
18년06월(2Q),"27,000","35,188","23,257","2,294","2,062","531","36,887","","0.73","2,190","221.36","-32.74","-65.48","9.87","24.45","-88.27","12.11"
18년03월(1Q),"27,600","33,194","22,561","2,986","2,263","4,374","34,774","4.20","0.79","2,079","234.07","-17.37","33.74","13.24","24.94","-40.33","11.45"
17년12월(4Q),"13,900","29,907","24,931","-3,510","-9,174","-3,725","31,823","1.86","0.44","-8,645","282.75","-7.16","","-14.08","-94.67","","-7.30"
17년09월(3Q),"44,800","38,706","24,206","1,959","749","-5,146","40,861","67.27","0.55","727","223.75","-19.84","","8.09","6.56","","14.93"
17년06월(2Q),"44,800","38,038","34,576","6,647","12,547","-3,797","49,440","","0.45","18,674","248.01","0.23","","19.23","181.37","","30.66"
17년03월(1Q),"44,800","8,268","27,305","2,233","2,336","2,469","18,670","","1.20","3,485","1,556.74","-25.49","44.82","8.18","81.23","-54.66","11.16"
16년12월(4Q),"4,480","6,594","26,852","-11,455","-15,450","453","15,660","","1.43","-67,775","2,184.71","-36.85","","-42.66","-4,275.30","","-34.90"
16년09월(3Q),"4,480","-10,591","30,196","-1,869","-2,838","-2,426","-34,912","","","-12,825","","-7.13","","-6.19","","","3.54"
16년06월(2Q),"4,230","-7,763","34,498","-3,526","-11,462","3,899","-21,494","","","-52,271","","-12.89","","-10.22","-1,499.15","","-1.54"
16년03월(1Q),"5,070","7,580","36,645","1,542","1,855","-7,236","49,388","","0.51","7,686","2,415.41","-7.92","","4.21","66.14","","6.90"
15년12월(4Q),"5,070","6,189","42,519","-3,208","-2,532","-3,226","43,577","","0.58","-11,141","2,950.77","28.10","","-7.55","-62.56","","-8.27"
15년09월(3Q),"6,370","10,238","32,516","-6,462","-11,498","-5,392","87,519","","0.36","-76,859","1,799.04","-22.92","","-19.87","-244.47","","-10.28"
15년06월(2Q),"13,300","22,484","39,605","-5,821","-4,308","8,067","168,018","","0.40","-29,230","776.32","0.05","","-14.70","-48.05","","-11.92"
15년03월(1Q),"18,100","45,649","39,796","-5,754","-3,754","-7,879","322,643","","0.28","-22,902","373.53","-2.10","","-14.46","-38.94","","-10.50"
14년12월(4Q),"18,650","20,268","33,193","-8,812","-9,338","2,970","151,867","","0.61","-60,454","775.06","-7.26","","-26.55","-99.89","","-19.01"
14년09월(3Q),"20,300","48,083","42,186","1,328","103","3,997","336,293","","0.30","2,379","313.42","15.30","14.68","3.15","2.86","-61.35","7.85"
14년06월(2Q),"25,700","47,754","39,586","1,027","76","-8,397","333,032","","0.39","1,155","309.12","-3.16","-19.01","2.59","1.39","-68.07","5.70"
14년03월(1Q),"32,000","47,900","40,651","806","632","-4,172","334,014","","0.48","5,083","294.82","24.74","19.84","1.98","7.56","57.69","5.03"
13년12월(4Q),"35,000","29,287","35,793","-13,199","-11,154","6,235","208,217","","0.84","-72,849","472.82","6.60","","-36.88","-109.98","","-21.27"
13년09월(3Q),"34,600","47,113","36,587","1,158","936","3,032","325,723","","0.53","6,154","294.39","15.39","-2.40","3.17","7.68","62.37","7.36"
13년06월(2Q),"25,250","46,093","40,879","1,268","525","-8,612","319,413","","0.40","3,616","297.09","3.48","-10.34","3.10","4.58","-61.14","6.86"
13년03월(1Q),"27,500","45,652","32,589","673","489","-12,634","315,879","","0.44","3,224","278.97","6.34","-52.53","2.06","4.44","-45.28","5.81"
12년12월(4Q),"27,150","38,659","33,577","-4,738","-5,236","-1,560","268,916","","0.50","-34,585","301.23","-7.08","","-14.11","-47.19","","-6.85"
12년09월(3Q),"25,950","46,592","31,706","1,187","641","-11,240","321,458","8.28","0.40","3,790","242.16","-4.22","-52.88","3.74","4.77","-78.28","9.16"
12년06월(2Q),"26,200","45,988","39,505","1,414","964","9,756","317,943","4.47","0.41","9,306","242.97","9.27","-53.10","3.58","11.95","0.80","7.33"
12년03월(1Q),"30,300","44,989","30,646","1,417","842","-6,916","309,146","5.18","0.49","5,891","270.69","-7.80","-59.05","4.62","7.87","-64.65","9.91"
11년12월(4Q),"24,300","42,684","36,137","678","-860","2,937","293,359","3.03","0.41","-3,314","287.28","-18.27","-89.31","1.88","-4.44","","5.03"
11년09월(3Q),"22,800","44,938","33,105","2,519","2,394","-4,606","307,159","1.48","0.37","17,452","283.34","1.90","-41.16","7.61","23.46","-13.18","12.68"
11년06월(2Q),"45,250","42,947","36,153","3,015","1,428","-7,834","292,117","2.84","0.77","9,232","275.80","15.80","23.64","8.34","12.92","-16.98","11.95"
11년03월(1Q),"34,050","41,625","33,239","3,461","2,631","9,527","283,743","2.09","0.60","16,665","289.68","14.81","75.07","10.41","24.48","86.31","15.87"
10년12월(4Q),"36,350","38,747","44,215","6,336","5,114","-6,780","264,970","2.46","0.69","33,650","310.24","","","14.33","","","21.28"
10년09월(3Q),"27,250","","32,487","4,280","3,179","9,089","","","","20,101","","","","13.18","","","16.41"
10년06월(2Q),"18,750","","31,219","2,439","1,384","-1,297","","","","11,121","","","","7.81","","","11.32"
10년03월(1Q),"21,700","","28,952","1,977","1,430","-3,109","","","","8,945","","","","6.83","","","10.87"
09년12월(4Q),"17,500","27,439","27,901","-1,104","-2,279","1,233","185,867","4.90","0.47","-15,271","438.44","-21.13","","-3.96","-35.06","","-1.16"
09년09월(3Q),"17,200","24,557","30,972","1,587","1,913","-9,496","166,559","2.20","0.52","12,821","508.31","16.56","48.27","5.12","32.29","","7.55"
09년06월(2Q),"20,000","22,843","32,274","1,728","2,069","-1,760","155,075","4.84","0.64","13,866","614.80","22.92","-8.84","5.35","37.86","79.48","7.52"
09년03월(1Q),"21,450","20,888","29,416","1,527","963","-2,773","141,977","7.38","0.76","6,456","722.69","38.48","-8.92","5.19","19.49","22.96","7.61"
08년12월(4Q),"15,350","18,649","35,375","3,645","901","-6,401","126,974","5.76","0.60","6,037","749.80","62.63","245.72","10.30","19.59","66.93","12.34"
08년09월(3Q),"29,200","18,136","26,572","1,070","-849","-4,025","123,533","13.39","1.18","-5,691","746.17","53.67","41.05","4.03","-27.84","","6.92"
08년06월(2Q),"40,900","6,274","26,256","1,895","1,153","5,290","44,053","8.43","4.64","7,726","1,573.19","52.27","151.89","7.22","50.30","12.62","10.23"
08년03월(1Q),"37,750","12,064","21,241","1,676","784","1,937","82,847","8.06","2.28","5,250","675.60","43.90","233.57","7.89","21.06","52.84","10.95"
07년12월(4Q),"51,600","17,700","21,752","1,054","540","1,874","120,613","11.95","2.14","3,616","368.20","44.45","396.10","4.85","11.65","-26.69","8.45"
07년09월(3Q),"57,900","19,357","17,291","759","1,146","5,672","131,715","12.64","2.20","7,679","313.02","19.96","","4.39","24.96","","8.26"
07년06월(2Q),"52,300","17,373","17,243","752","1,024","3,145","118,418","24.86","2.21","6,860","306.55","36.32","909.38","4.36","25.13","1.95","7.91"
