결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"22,900","26,697","33,829","964","-2,513","3,756","26,400","","0.87","-2,638","922.48","-3.84","-76.01","2.85","-39.36","","14.05"
19년06월(2Q),"28,950","27,465","31,210","-986","-3,963","6,414","27,223","","1.06","-4,133","884.40","0.49","","-3.16","-58.38","","9.49"
19년03월(1Q),"31,850","29,549","31,389","1,406","-618","7,865","29,408","","1.08","-649","819.07","1.19","-15.49","4.48","-8.71","","15.73"
18년12월(4Q),"33,050","30,318","32,947","54","-1,282","6,731","30,205","","1.09","-1,357","743.72","6.04","-97.54","0.16","-16.37","","10.99"
18년09월(3Q),"28,100","36,032","35,179","4,018","2,573","6,469","36,115","8.54","0.78","2,619","607.77","9.46","13.04","11.42","30.07","335.89","21.23"
18년06월(2Q),"28,250","33,513","31,057","667","-3,047","6,982","33,557","22.21","0.84","-3,159","654.46","6.90","-61.40","2.15","-36.08","","12.92"
18년03월(1Q),"33,800","36,355","31,020","1,663","-100","7,745","36,497","14.57","0.93","-107","595.00","8.23","-13.14","5.36","-1.16","","16.33"
17년12월(4Q),"33,850","37,511","31,071","2,200","3,814","6,343","37,689","3.97","0.90","3,938","557.10","6.07","23.34","7.08","46.34","","15.16"
17년09월(3Q),"30,800","30,382","32,139","3,555","616","4,989","30,292","","1.02","601","729.20","3.08","-22.72","11.06","8.00","-90.60","21.32"
17년06월(2Q),"38,700","29,826","29,052","1,728","-2,003","8,268","29,748","14.86","1.30","-2,111","735.52","3.11","8.54","5.95","-29.13","","16.28"
17년03월(1Q),"31,550","28,314","28,660","1,915","5,592","8,467","28,220","14.86","1.12","6,747","744.47","-0.03","-40.76","6.68","99.63","","16.47"
16년12월(4Q),"27,350","18,744","29,292","1,783","-6,419","4,724","22,149","","1.16","-8,084","1,178.12","0.49","-40.81","6.09","-128.20","","16.49"
16년09월(3Q),"34,950","23,632","31,179","4,600","5,108","6,552","28,295","11.22","1.16","6,392","910.09","4.89","34.71","14.75","96.89","","24.06"
16년06월(2Q),"25,950","20,637","28,177","1,592","-2,508","9,067","24,480","","1.00","-3,181","1,082.16","1.14","216.18","5.65","-48.85","","16.39"
16년03월(1Q),"31,000","23,098","28,670","3,233","-1,749","7,719","27,605","","1.06","-2,234","917.64","-0.15","70.19","11.28","-31.00","","20.98"
15년12월(4Q),"27,700","24,990","29,150","3,013","1,571","9,990","30,030","","0.87","1,949","867.59","-1.19","96.77","10.34","28.72","","20.83"
15년09월(3Q),"31,350","20,422","29,726","3,415","-5,075","3,941","24,265","","1.21","-6,414","1,050.61","-6.08","41.84","11.49","-93.45","","20.93"
15년06월(2Q),"40,500","25,488","27,859","504","-796","7,828","30,647","","1.24","-991","798.40","-3.85","","1.81","-12.51","","12.03"
15년03월(1Q),"48,550","27,127","28,712","1,899","-1,331","5,521","32,718","","1.40","-1,897","756.94","-0.89","786.33","6.62","-22.39","","16.12"
14년12월(4Q),"47,450","22,012","29,502","1,531","-4,270","5,288","30,843","","1.37","-6,369","966.06","-1.05","759.53","5.19","-75.98","","15.32"
14년09월(3Q),"36,000","25,647","31,652","2,408","-3,920","4,786","36,217","","0.89","-5,753","809.13","-0.57","50.41","7.61","-58.99","","16.36"
14년06월(2Q),"33,400","29,418","28,975","-200","3,618","6,079","43,611","3.28","0.68","5,024","696.87","2.08","","-0.69","51.16","","8.69"
14년03월(1Q),"38,550","25,800","28,969","214","-1,558","2,482","36,750","","0.94","-2,273","804.66","1.81","","0.74","-23.99","","10.31"
13년12월(4Q),"31,200","27,402","29,815","178","-569","5,923","39,045","","0.71","-834","736.45","2.73","","0.60","-8.63","","9.87"
13년09월(3Q),"37,750","26,762","31,833","1,601","3,354","5,531","39,182","","0.86","6,804","749.72","-3.36","-43.26","5.03","84.12","67.15","13.67"
13년06월(2Q),"30,750","24,368","28,384","-508","-3,587","5,753","26,360","","1.24","-4,306","887.01","-9.81","","-1.79","-63.85","","8.26"
13년03월(1Q),"40,900","26,450","28,455","-1,466","-3,034","2,287","28,375","913.81","1.53","-3,642","797.22","-5.10","","-5.15","-48.73","","4.61"
12년12월(4Q),"45,300","29,044","29,024","-491","1,402","5,326","31,550","16.21","1.52","1,702","690.99","-8.36","","-1.69","21.83","151.94","6.93"
12년09월(3Q),"47,550","28,761","32,940","2,821","3,450","6,321","31,589","26.02","1.60","4,071","686.01","-0.57","17.55","8.56","57.49","","16.59"
12년06월(2Q),"50,300","24,574","31,470","944","-1,646","8,747","26,627","","2.00","-2,054","828.98","6.88","","3.00","-30.05","","12.20"
12년03월(1Q),"50,000","26,943","29,983","-989","-642","2,661","29,625","","1.79","-753","747.14","6.27","","-3.30","-10.31","","6.64"
11년12월(4Q),"43,500","27,690","31,672","695","445","4,540","30,390","","1.52","676","708.55","7.74","-40.58","2.19","9.19","279.92","12.43"
11년09월(3Q),"44,200","29,821","33,127","2,400","-5,363","6,080","30,002","","1.56","-6,505","622.35","4.09","-46.30","7.24","-79.90","","16.70"
11년06월(2Q),"69,700","35,367","29,444","-197","211","6,865","36,679","7.55","2.02","171","493.72","1.99","","-0.67","1.90","","10.21"
11년03월(1Q),"65,800","35,499","28,214","1,629","2,709","2,604","36,786","9.75","1.90","3,025","464.66","7.24","-41.19","5.77","35.13","14.52","16.77"
10년12월(4Q),"69,600","32,773","29,396","1,169","244","8,892","33,685","10.90","2.19","178","510.57","","","3.98","","","16.33"
10년09월(3Q),"77,600","","31,826","4,469","5,507","6,419","","","","6,422","","","","14.04","","","24.75"
10년06월(2Q),"82,000","","28,869","3,950","-1,967","10,352","","","","-2,464","","","","13.68","","","24.80"
10년03월(1Q),"66,500","","26,308","2,770","2,455","6,552","","","","2,642","","","","10.53","","","22.91"
09년12월(4Q),"54,900","30,571","25,783","1,540","849","3,550","37,577","","1.55","1,022","453.45","-4.92","580.86","5.97","11.43","","17.57"
09년09월(3Q),"48,000","28,820","24,766","1,001","2,640","-492","35,470","","1.44","3,177","465.16","-10.26","","4.04","38.52","","17.56"
09년06월(2Q),"35,600","26,009","20,745","-1,273","785","1,524","32,088","","1.18","945","534.00","-16.23","","-6.14","12.69","","8.88"
