결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"22,100","9,556","2,759","441","443","983","37,726","5.10","0.59","1,649","256.29","-19.99","22.27","15.99","18.34","90.19","20.38"
19년06월(2Q),"26,950","8,733","2,595","342","185","947","34,422","7.60","0.78","728","261.99","-25.65","-10.23","13.19","8.60","-49.24","17.76"
19년03월(1Q),"21,150","8,453","2,620","419","299","734","33,494","4.97","0.63","1,186","265.05","-14.59","34.22","15.98","14.62","182.69","20.31"
18년12월(4Q),"21,750","8,019","3,341","383","182","721","31,811","6.24","0.68","767","268.61","-25.43","441.03","11.47","9.87","-37.53","16.13"
18년09월(3Q),"24,150","7,757","3,448","361","241","770","30,555","6.12","0.79","867","269.05","-13.99","11.87","10.47","11.47","-57.20","13.58"
18년06월(2Q),"22,350","7,573","3,490","381","364","352","29,913","4.38","0.75","1,434","276.70","-13.12","29.20","10.92","20.06","46.31","14.58"
18년03월(1Q),"27,050","6,901","3,068","312","83","764","27,286","5.81","0.99","419","286.13","-1.08","-2.56","10.17","6.17","-55.95","14.89"
17년12월(4Q),"22,850","6,878","4,481","71","155","446","27,104","4.41","0.84","1,227","276.08","180.99","-55.35","1.58","18.00","169.95","7.80"
17년09월(3Q),"34,650","7,156","4,008","323","430","621","27,433","7.85","1.26","2,026","299.40","202.82","276.09","8.05","30.79","607.16","13.46"
17년06월(2Q),"36,700","6,635","4,017","295","211","650","25,216","13.73","1.46","980","307.69","200.38","250.99","7.34","15.99","345.16","13.03"
17년03월(1Q),"23,250","6,326","3,101","320","295","556","23,855","12.15","0.97","952","253.92","170.27","185.51","10.32","15.65","268.11","16.00"
16년12월(4Q),"17,200","6,260","1,595","159","111","567","24,845","14.10","0.69","455","252.14","31.49","6.06","9.95","7.72","98.23","13.04"
16년09월(3Q),"21,000","5,513","1,324","86","74","150","22,287","21.11","0.94","286","212.12","3.12","-47.76","6.48","5.02","-37.22","9.93"
16년06월(2Q),"17,150","5,775","1,337","84","57","237","23,377","14.73","0.73","220","188.50","-2.06","-61.26","6.29","3.80","-22.88","9.50"
16년03월(1Q),"16,950","5,673","1,147","112","66","253","22,971","13.78","0.74","259","170.89","-21.14","-65.94","9.77","4.50","-58.47","14.14"
15년12월(4Q),"19,000","5,694","1,213","150","52","114","23,067","11.92","0.82","229","166.60","-23.67","-42.08","12.34","3.97","99.78","14.60"
15년09월(3Q),"20,900","5,715","1,284","164","114","318","23,136","14.13","0.90","456","163.20","-13.40","-31.85","12.79","8.17","-16.58","16.58"
15년06월(2Q),"22,150","5,322","1,366","217","74","315","21,550","14.11","1.03","286","157.31","-5.32","-9.01","15.89","5.38","-83.45","19.12"
15년03월(1Q),"22,700","5,164","1,455","329","155","636","20,917","7.57","1.09","623","165.52","12.81","34.35","22.63","12.12","7.78","26.15"
14년12월(4Q),"23,400","4,989","1,589","258","29","313","20,210","7.91","1.16","115","160.72","","","16.26","2.32","","18.86"
14년09월(3Q),"24,900","4,784","1,482","241","134","494","19,370","8.51","1.29","547","158.30","8.55","-10.66","16.25","11.66","58.06","15.65"
14년06월(2Q),"23,450","4,496","1,442","238","417","401","18,192","8.01","1.29","1,725","172.76","3.89","-9.05","16.54","","","18.76"
14년03월(1Q),"22,050","4,232","1,290","245","138","543","17,667","","1.25","577","189.31","-1.07","-11.64","19.00","13.39","-99.76","21.14"
13년12월(4Q),"25,750","4,035","1,297","205","-475","632","16,846","0.79","1.53","-2,188","202.79","-0.49","","15.77","-54.30","","24.06"
13년09월(3Q),"42,000","2,958","1,365","270","40","2,473","25,254","0.89","1.66","345","346.04","10.64","","19.75","5.30","","21.32"
13년06월(2Q),"63,600","3,137","1,388","262","-60","-847","26,785","1.08","2.37","-510","353.46","-10.93","","18.89","-8.03","","21.99"
13년03월(1Q),"6,900","2,815","1,304","277","4,332","-152","24,034","0.43","2.84","236,383","402.93","-29.90","","21.28","3,136.08","","24.10"
12년12월(4Q),"5,430","-1,710","1,304","-8","-1,197","1,001","-114,616","","","-98,863","","-41.68","","-0.65","","","1.27"
12년09월(3Q),"4,140","-918","1,234","-393","-740","-927","-77,193","0.06","","-62,217","","-25.84","","-31.83","","","-24.16"
12년06월(2Q),"7,080","-120","1,559","-292","-252","-643","-10,089","","","-21,192","","-4.92","","-18.75","","","-14.26"
12년03월(1Q),"23,150","443","1,860","-403","-314","974","17,495","","13.10","-26,943","3,705.51","-27.15","","-21.67","-262.10","","-15.00"
11년12월(4Q),"32,000","1,007","1,927","473","9,201","-965","64,922","","4.88","956,028","1,613.23","-63.42","","24.56","","","25.25"
11년09월(3Q),"8,900","-16,007","1,788","380","-12,875","256","-8,142,085","","","-6,626,615","","-65.11","","21.28","","","23.95"
11년06월(2Q),"6,190","-2,555","1,741","189","-4,752","287","-1,219,164","","","-2,446,842","","-69.94","","10.86","","","12.15"
11년03월(1Q),"9,540","2,221","2,553","-2,425","-3,121","-31","1,241,177","","0.37","-1,608,212","1,010.65","-56.04","","-95.00","-346.90","","-91.89"
10년12월(4Q),"26,150","5,439","5,267","-786","-1,768","-776","2,896,721","","0.43","-1,099,476","410.12","-7.48","","-14.92","-124.74","","-11.34"
10년09월(3Q),"47,500","6,338","5,123","-550","-1,042","-373","4,257,980","","0.50","-684,839","352.07","-8.56","","-10.73","-61.99","","-9.53"
10년06월(2Q),"48,250","7,656","5,792","-12","62","462","5,129,997","","0.42","37,238","273.88","4.46","","-0.21","3.18","","1.64"
10년03월(1Q),"63,000","7,124","5,807","-169","-424","744","4,962,465","","0.57","-280,183","270.77","-12.00","","-2.91","-24.39","","-1.98"
09년12월(4Q),"41,000","7,168","5,693","-706","-139","-593","5,933,495","","0.31","-98,957","294.02","","","-12.40","","","-11.15"
09년09월(3Q),"50,400","","5,603","-917","-1,528","51","","","","-1,072,710","","","","-16.36","","","-16.99"
09년06월(2Q),"61,800","","5,544","-1,898","-2,083","-3,323","","","","-1,462,085","","","","-34.23","","","-23.43"
09년03월(1Q),"58,500","","6,598","-1,471","-2,099","-2,891","","","","-1,470,374","","","","-22.30","","","-19.49"
08년12월(4Q),"66,000","11,538","9,073","470","-151","451","9,147,017","1.14","0.32","-105,996","119.96","49.87","-57.68","5.18","-5.51","","5.80"
08년09월(3Q),"150,500","10,445","8,957","1,917","1,641","1,907","8,225,276","2.15","0.82","1,148,942","117.93","69.93","125.18","21.40","64.04","33.94","22.01"
08년06월(2Q),"176,000","10,057","8,240","1,644","1,364","1,838","7,562,020","2.77","1.04","955,177","124.76","72.17","87.17","19.96","57.57","-5.60","20.64"
08년03월(1Q),"186,000","8,904","6,844","1,124","824","1,550","6,755,230","2.88","1.23","576,830","128.40","90.01","139.26","16.43","36.70","28.85","17.29"
07년12월(4Q),"165,000","9,057","6,054","1,110","637","1,064","6,545,324","2.68","1.12","445,658","122.81","84.98","141.58","18.33","28.75","8.15","19.30"
07년09월(3Q),"229,000","8,655","5,271","851","1,214","1,150","6,081,025","3.78","1.68","857,791","126.68","86.30","474.66","16.15","60.44","847.69","17.05"
