결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"10,450","9,231","6,040","55","210","-665","9,224","","1.13","581","190.17","-9.63","197.63","0.91","18.67","","5.69"
19년06월(2Q),"6,820","-188","6,747","46","-337","-891","-4,909","","","-8,734","","6.53","","0.68","","","4.77"
19년03월(1Q),"8,080","137","6,119","-91","-476","253","3,486","","7.73","-12,294","18,603.07","-0.83","","-1.49","-513.78","","2.63"
18년12월(4Q),"6,420","609","6,264","-397","241","71","15,686","","1.36","6,280","4,120.01","5.49","","-6.34","164.80","","-1.92"
18년09월(3Q),"9,150","577","6,684","18","-319","-300","14,843","","2.05","-8,296","4,489.30","0.64","-80.72","0.28","-175.38","","4.50"
18년06월(2Q),"7,880","904","6,334","-87","-600","123","23,027","","1.14","-15,718","2,862.59","-5.76","","-1.37","-232.07","","2.63"
18년03월(1Q),"11,300","1,189","6,169","-190","-505","24","58,634","","0.64","-25,218","2,181.75","-7.40","","-3.09","-152.17","","1.05"
17년12월(4Q),"7,420","1,497","5,938","-480","-1,088","1,119","74,053","","0.33","-54,477","1,673.42","-2.40","","-8.09","-397.29","","2.74"
17년09월(3Q),"7,460","733","6,641","96","-329","928","35,756","","0.70","-16,464","3,672.77","10.27","-67.61","1.44","-147.95","","7.77"
17년06월(2Q),"12,900","1,085","6,720","28","-402","-43","53,381","","0.81","-20,180","2,485.32","15.17","-95.55","0.42","-128.65","","5.82"
17년03월(1Q),"12,350","1,460","6,662","239","212","-173","72,218","","0.57","10,596","1,799.64","24.80","-35.46","3.58","63.05","","8.86"
16년12월(4Q),"14,550","1,263","6,084","136","-877","515","62,342","","0.78","-43,886","2,136.01","15.26","37.28","2.24","-208.57","","8.81"
16년09월(3Q),"14,850","2,136","6,022","295","139","854","106,104","1.98","0.47","6,878","1,264.04","2.98","-25.55","4.90","26.60","-63.25","10.99"
16년06월(2Q),"16,600","2,029","5,835","635","251","1,308","100,858","1.76","0.55","18,846","1,305.21","0.35","123.34","10.88","52.85","","17.33"
16년03월(1Q),"2,500","1,799","5,338","370","-240","497","403,372","","0.24","-54,061","1,459.45","-14.81","6,465.06","6.92","-106.25","","13.97"
15년12월(4Q),"5,240","34","5,279","99","107","1,042","3,943","","51.61","25,869","84,510.24","-19.85","","1.88","","","11.15"
15년09월(3Q),"4,180","-8","5,848","397","78","862","-7,409","","","18,714","","-18.73","","6.78","233.83","","13.49"
15년06월(2Q),"3,830","348","5,815","284","-230","-311","71,917","","2.07","-50,785","8,797.42","-30.57","","4.89","-371.04","","11.15"
15년03월(1Q),"5,900","388","6,266","6","-436","-689","38,001","","6.03","-128,596","8,220.70","-22.52","","0.09","-509.90","","7.04"
14년12월(4Q),"1,405","695","6,586","-1,026","-681","-1,644","314,905","","0.75","-271,302","4,783.09","-10.13","","-15.58","-454.74","","0.59"
14년09월(3Q),"1,725","825","7,196","-149","-11,218","252","349,648","","0.83","-4,820,490","4,338.17","-14.39","","-2.08","-728.24","","5.32"
14년06월(2Q),"1,740","11,957","8,375","-138","-280","466","5,133,113","","0.06","-121,842","306.82","-2.99","","-1.64","-9.32","","4.83"
14년03월(1Q),"3,810","12,599","8,087","-288","-633","607","5,823,475","","0.11","-311,632","306.86","-12.85","","-3.56","-21.20","","2.87"
13년12월(4Q),"2,685","13,267","7,329","116","-404","-187","6,152,587","","0.07","-199,013","295.07","-13.09","-56.45","1.59","-12.94","","6.97"
13년09월(3Q),"2,670","13,479","8,406","-147","-186","479","6,365,395","","0.07","-104,973","288.10","-16.11","","-1.75","-6.65","","4.29"
13년06월(2Q),"2,600","13,690","8,633","129","-373","930","6,374,282","","0.07","-192,821","288.13","-23.23","-51.95","1.50","-11.93","","7.35"
13년03월(1Q),"3,490","14,052","9,280","69","-442","-484","6,666,175","","0.09","-219,854","267.59","-4.76","","0.74","-13.18","","6.54"
12년12월(4Q),"3,950","14,727","8,433","267","46","202","6,893,290","","0.10","10,488","263.05","-14.53","","3.17","0.62","","9.01"
12년09월(3Q),"5,150","14,378","10,020","-181","-380","1,029","6,842,756","","0.13","-186,865","270.34","-5.44","","-1.81","-10.92","","3.98"
12년06월(2Q),"4,570","14,813","11,245","269","-271","1,713","7,056,720","","0.11","-132,483","263.63","-0.91","-40.07","2.39","-7.53","","7.89"
12년03월(1Q),"6,520","15,190","9,744","-185","-496","1,227","7,242,050","","0.15","-243,952","252.90","-9.64","","-1.90","-13.49","","3.74"
11년12월(4Q),"6,000","14,893","9,867","-231","-1,088","433","7,439,576","","0.14","-537,297","256.56","4.66","","-2.34","-28.27","","3.20"
11년09월(3Q),"6,070","15,938","10,596","-112","-1,027","594","7,980,197","","0.13","-507,370","241.93","4.93","","-1.06","-24.91","","4.23"
11년06월(2Q),"9,150","17,050","11,348","449","127","-412","8,529,338","","0.18","62,725","219.23","14.25","-42.82","3.96","2.97","","8.53"
11년03월(1Q),"9,840","17,150","10,784","108","-181","1,210","8,579,372","","0.19","-89,301","219.84","48.62","-65.20","1.00","-4.20","","6.06"
10년12월(4Q),"9,970","17,297","9,428","-162","-524","-1,174","8,654,930","","0.19","-259,308","204.74","","","-1.72","","","4.04"
10년09월(3Q),"10,300","","10,098","39","-30","-1,916","","","","-15,335","","","","0.39","","","5.63"
10년06월(2Q),"10,500","","9,932","785","-97","522","","","","-48,902","","","","7.91","","","12.99"
10년03월(1Q),"11,050","","7,256","310","327","635","","","","161,326","","","","4.28","","","10.08"
09년12월(4Q),"11,750","15,633","6,921","437","365","-160","7,832,999","6.43","0.25","180,497","185.43","-14.48","","6.32","9.46","","12.05"
09년09월(3Q),"8,650","15,252","6,457","358","595","-364","7,674,475","","0.19","395,376","186.01","-27.56","-35.81","5.55","16.55","","12.07"
09년06월(2Q),"10,350","13,504","6,049","-121","105","1,132","9,343,820","","0.16","71,217","198.95","-23.48","","-1.99","3.11","-9.28","4.49"
09년03월(1Q),"5,990","13,407","6,710","-599","-563","1,132","9,128,407","","0.09","-383,542","195.73","4.33","","-8.93","-16.56","","-2.84"
08년12월(4Q),"7,130","13,808","8,092","-1,044","-1,300","747","9,401,477","","0.11","-885,414","179.74","40.12","","-12.90","-45.11","","-7.11"
08년09월(3Q),"10,900","9,256","8,913","558","-998","-467","6,301,891","2.54","0.24","-679,166","243.53","58.24","","6.26","-42.18","","13.06"
08년06월(2Q),"13,100","9,662","7,905","598","115","-177","6,578,651","1.51","0.28","78,498","186.99","33.29","558.04","7.56","4.83","","13.56"
08년03월(1Q),"10,900","9,417","6,432","198","1,266","468","6,576,581","1.38","0.23","884,234","185.51","21.38","510.37","3.08","53.06","","9.31"
07년12월(4Q),"15,300","9,672","5,775","-208","504","484","6,754,359","9.82","0.32","352,132","174.78","4.39","","-3.60","22.71","","4.03"
07년09월(3Q),"19,900","8,090","5,633","-61","-93","-618","5,650,019","","0.50","-65,160","211.90","-0.11","","-1.08","-4.58","","4.84"
07년06월(2Q),"14,100","8,190","5,931","91","-90","234","5,751,888","","0.35","-62,975","199.28","6.46","308.34","1.53","-4.37","","7.13"
07년03월(1Q),"9,470","8,323","5,299","33","-7","-213","5,835,515","","0.23","-4,689","191.67","4.76","","0.61","-0.32","","6.58"
06년12월(4Q),"9,000","8,550","5,533","-22","-143","-245","5,992,880","","0.21","-99,740","181.84","-2.49","","-0.39","-6.62","","4.32"
06년09월(3Q),"9,320","8,698","5,639","10","7","-25","6,096,119","","0.22","4,839","171.50","0.55","","0.18","0.32","","5.95"
06년06월(2Q),"7,350","8,526","5,571","22","-35","49","5,972,183","","0.17","-24,582","173.50","-13.27","-93.87","0.40","-1.65","","6.20"
06년03월(1Q),"9,000","8,550","5,058","-198","-48","-625","5,991,875","","0.21","-33,449","167.41","-19.05","","-3.91","-2.22","","3.00"
05년12월(4Q),"10,200","8,722","5,674","-251","-38","295","6,115,581","17.81","0.23","-21,050","172.67","-8.94","","-4.42","-1.73","","1.86"
05년09월(3Q),"13,000","8,916","5,608","-147","-322","-526","4,768,418","6.07","0.38","-171,600","166.88","-3.38","","-2.63","-14.32","","3.21"
05년06월(2Q),"11,600","9,078","6,423","363","234","207","4,849,516","3.24","0.34","124,865","161.22","13.34","-43.84","5.65","10.53","-42.08","10.71"
05년03월(1Q),"13,050","8,725","6,248","372","276","574","4,931,691","3.00","0.37","155,532","166.47","32.11","-12.56","5.96","12.74","-32.99","11.28"
04년12월(4Q),"12,700","8,609","6,231","390","378","698","4,864,867","2.61","0.37","212,785","160.81","35.56","36.29","6.26","18.05","7,159.48","12.08"
04년09월(3Q),"10,050","8,127","5,804","399","57","585","4,658,773","3.33","0.30","32,508","170.00","33.90","30.84","6.87","2.81","26.98","12.39"
04년06월(2Q),"6,500","8,057","5,667","646","377","1,462","4,615,911","2.42","0.20","215,578","169.40","28.99","60.78","11.40","19.02","101.08","17.66"
04년03월(1Q),"7,880","7,798","4,730","426","406","131","4,465,786","3.59","0.25","232,117","175.47","10.83","6.28","9.00","21.24","2,980.92","15.54"
03년12월(4Q),"7,620","7,489","4,596","286","8","1,379","4,283,404","7.46","0.25","2,931","185.24","6.97","-11.00","6.23","0.42","","12.59"
03년09월(3Q),"3,945","7,683","4,335","305","74","-148","2,669,862","4.21","0.21","25,601","183.46","7.93","-17.22","7.03","3.85","424.88","12.55"
03년06월(2Q),"3,220","7,610","4,393","402","309","236","2,644,483","4.23","0.17","107,209","183.34","19.62","49.02","9.15","16.57","33.18","14.27"
03년03월(1Q),"2,630","7,289","4,268","401","22","721","2,532,976","3.88","0.15","7,534","203.90","26.88","83.76","9.39","1.18","-73.71","15.27"
02년12월(4Q),"3,100","7,371","4,297","322","-5","","2,561,541","3.84","0.17","-1,316","196.64","8.56","8.78","7.49","-0.24","","14.08"
02년09월(3Q),"3,000","7,574","4,016","368","17","","2,125,082","2.93","0.20","4,878","196.61","13.94","51.51","9.17","0.92","-23.62","16.80"
02년06월(2Q),"3,395","7,572","3,673","270","287","","2,124,454","3.28","0.22","80,499","198.41","2.05","23.93","7.34","15.39","","14.23"
02년03월(1Q),"3,460","7,346","3,364","218","102","","2,060,969","34.13","0.24","28,653","211.30","-0.18","93.45","6.48","5.56","958.34","14.10"
01년12월(4Q),"3,055","7,337","3,958","296","107","","2,058,435","","0.21","30,050","206.97","15.82","19.41","7.47","5.88","","15.24"
01년09월(3Q),"2,330","7,231","3,525","243","23","","2,028,762","","0.16","6,386","224.22","-3.67","31.40","6.89","1.26","-70.22","14.70"
01년06월(2Q),"2,490","7,218","3,599","218","-181","","2,025,060","","0.17","-50,820","233.18","-12.15","-30.12","6.05","-9.63","","14.33"
01년03월(1Q),"2,000","7,822","3,370","113","10","","2,194,988","","0.13","2,707","219.05","-8.15","-38.60","3.34","0.50","-73.74","11.57"
00년12월(4Q),"2,390","7,658","3,417","248","-462","","2,148,742","","0.16","-260,748","207.86","","","7.25","-24.09","","14.85"
00년09월(3Q),"2,670","7,693","3,659","185","27","","6,032,792","2.92","0.06","21,439","218.25","","","5.05","1.43","","12.58"
00년06월(2Q),"3,050","7,648","4,097","311","122","","5,997,495","","0.07","95,582","211.60","","","7.60","6.39","","14.77"
00년03월(1Q),"3,725","7,601","3,669","184","13","","5,960,249","","0.09","10,312","220.60","","","5.00","0.69","","11.75"
