결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"6,300","43,415","18,567","1,546","533","-817","10,887","6.07","0.58","90","170.12","0.59","-19.28","8.32","3.35","-63.69","22.47"
19년06월(2Q),"6,220","42,437","22,000","2,972","1,728","2,268","10,606","5.20","0.59","562","176.24","2.61","8.83","13.51","21.98","18.43","25.52"
19년03월(1Q),"7,050","39,917","21,826","2,500","1,307","157","9,850","6.36","0.72","428","203.81","11.53","3.51","11.46","17.95","-14.99","23.69"
18년12월(4Q),"7,590","38,208","17,833","1,420","211","2,770","9,209","6.41","0.82","-42","188.66","8.19","-7.66","7.96","-1.83","","22.03"
18년09월(3Q),"9,800","35,612","18,458","1,915","887","2,962","9,072","8.50","1.08","248","209.81","16.49","33.04","10.37","11.02","-0.34","23.12"
18년06월(2Q),"9,640","35,217","21,441","2,731","1,428","1,681","8,934","8.35","1.08","475","213.40","20.91","27.18","12.74","21.94","63.13","23.70"
18년03월(1Q),"9,670","33,418","19,569","2,416","1,414","965","8,367","9.97","1.16","503","225.60","25.31","62.84","12.34","25.11","101.53","23.82"
17년12월(4Q),"8,690","31,732","16,484","1,538","615","2,539","7,662","12.14","1.13","-73","223.84","19.83","53.25","9.33","-3.13","","22.75"
17년09월(3Q),"8,210","37,598","15,845","1,439","772","1,076","11,044","","0.74","249","197.23","21.69","36.07","9.08","9.31","19.74","22.84"
17년06월(2Q),"8,450","35,434","17,734","2,147","836","363","10,343","","0.82","291","192.51","9.58","23.76","12.11","11.77","-69.75","24.57"
17년03월(1Q),"9,420","32,458","15,616","1,484","743","2,678","9,437","28.77","1.00","250","207.39","8.93","33.41","9.50","10.31","10.09","23.70"
16년12월(4Q),"8,820","34,484","13,755","1,003","-2,272","2,180","9,932","28.96","0.89","-1,092","190.77","-0.49","","7.30","-42.57","","22.69"
16년09월(3Q),"7,890","31,524","13,021","1,058","357","1,037","10,587","","0.75","208","204.32","-8.95","","8.12","7.68","","23.14"
16년06월(2Q),"6,810","33,179","16,183","1,735","2,278","1,482","11,071","","0.62","962","211.41","-0.24","126.90","10.72","36.33","2,954.09","23.75"
16년03월(1Q),"6,510","32,147","14,336","1,112","796","431","10,104","","0.64","227","250.46","-6.31","194.28","7.76","9.14","","22.83"
15년12월(4Q),"4,695","31,030","13,824","-1,939","-6,130","2,488","9,744","","0.48","-2,746","266.85","-30.02","","-14.02","-98.90","","18.07"
15년09월(3Q),"6,570","37,729","14,301","-155","-2,121","6","12,464","","0.53","-1,017","227.03","-20.15","","-1.08","-32.20","","19.21"
15년06월(2Q),"9,800","31,327","16,223","765","95","10","12,815","","0.76","31","280.49","-23.23","-47.44","4.71","1.00","-92.22","22.03"
