결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"11,200","3,110","137","-85","-92","-390","4,547","","2.46","-133","77.60","-31.30","","-62.22","-11.64","","17.24"
19년06월(2Q),"13,000","3,137","230","11","75","-124","4,586","177.49","2.83","109","59.73","1.18","-74.73","4.70","9.58","","42.96"
19년03월(1Q),"12,600","3,062","173","-11","-1","-59","4,488","","2.81","-1","67.18","2.85","","-6.55","-0.05","","35.72"
18년12월(4Q),"14,550","2,809","166","-25","-29","-14","4,353","","3.34","-46","80.38","-4.03","","-15.11","-6.56","","30.78"
18년09월(3Q),"15,600","647","200","4","1","-2","1,384","","11.27","3","406.33","18.76","-70.00","1.79","0.81","-87.16","40.61"
18년06월(2Q),"21,550","624","227","43","-1,104","-7","1,346","","14.49","-2,192","370.62","1.81","39.13","18.84","-359.08","","50.44"
18년03월(1Q),"15,600","1,728","168","9","3","44","3,537","203.91","3.99","7","135.85","31.22","112.54","5.21","0.74","2.01","43.05"
17년12월(4Q),"10,800","1,725","173","4","-14","-35","3,529","141.44","2.77","-30","132.97","43.58","15.23","2.18","-3.34","","43.30"
17년09월(3Q),"8,090","1,741","168","12","10","60","3,563","94.69","2.05","21","140.52","20.57","-15.06","7.10","2.43","-16.60","44.96"
17년06월(2Q),"8,170","1,699","223","31","34","-6","3,476","90.64","2.13","71","118.37","61.16","43.93","13.79","8.25","71.84","42.14"
17년03월(1Q),"7,380","1,665","128","4","3","45","3,405","128.69","1.96","6","122.70","21.41","","3.21","0.75","","51.86"
16년12월(4Q),"7,360","1,661","120","3","-11","-25","3,399","210.31","1.96","-21","118.03","8.80","-52.58","2.71","-2.51","","52.95"
16년09월(3Q),"9,350","1,678","139","14","12","37","3,432","","2.47","26","59.58","34.17","","10.08","3.00","","53.35"
16년06월(2Q),"12,200","1,666","139","21","20","1","3,407","","2.16","41","57.76","15.47","275.58","15.44","4.88","","56.16"
16년03월(1Q),"12,550","1,646","105","-6","-6","18","3,366","","2.25","-14","57.70","-6.02","","-5.49","-1.64","","53.52"
15년12월(4Q),"12,750","1,652","111","7","-251","-25","3,380","","2.28","-543","50.70","6.61","-15.16","6.23","-79.72","","53.53"
15년09월(3Q),"17,050","902","104","-5","-4","46","2,250","","4.57","-10","69.48","-12.53","","-4.54","-1.79","","51.58"
15년06월(2Q),"18,650","907","120","6","-253","-46","2,262","","4.97","-645","60.44","10.58","","4.75","-99.85","","50.58"
15년03월(1Q),"16,500","1,160","112","8","9","23","2,907","166.03","3.42","24","30.14","21.78","","6.71","3.31","","56.80"
14년12월(4Q),"13,950","1,151","104","8","6","-9","2,883","427.18","2.92","12","26.24","0.51","-3.05","7.82","1.70","","57.77"
14년09월(3Q),"13,350","1,148","119","12","15","34","2,877","","2.80","39","27.77","-5.25","-33.88","9.81","5.40","-40.50","52.95"
