결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"236,000","142,188","39,400","3,146","2,141","1,920","389,588","10.87","0.61","5,964","49.85","-7.24","-37.54","7.98","6.21","-53.00","13.35"
19년06월(2Q),"252,500","137,918","40,346","3,461","2,713","1,405","378,320","8.88","0.67","7,600","56.48","-6.83","-50.64","8.58","8.13","-53.10","13.73"
19년03월(1Q),"290,500","135,012","37,218","2,957","2,237","4,498","369,597","7.84","0.79","6,340","57.89","-9.74","-55.34","7.94","6.84","-58.76","13.26"
18년12월(4Q),"277,000","135,443","38,440","1,004","654","1,805","371,541","6.01","0.75","1,808","53.56","-4.73","-85.99","2.61","1.95","-86.88","7.77"
18년09월(3Q),"278,000","135,005","42,476","5,036","4,543","3,683","370,221","4.79","0.75","12,688","59.26","6.45","-34.27","11.86","13.91","-29.42","16.71"
18년06월(2Q),"348,000","131,185","43,302","7,013","5,790","3,626","359,271","5.49","0.97","16,205","58.54","12.38","10.93","16.20","18.56","7.80","20.62"
18년03월(1Q),"433,000","124,105","41,232","6,620","5,432","4,696","339,128","6.97","1.28","15,373","64.64","3.18","-18.75","16.06","18.24","-17.70","20.66"
17년12월(4Q),"368,000","122,548","40,350","7,165","4,967","10,108","335,215","5.62","1.10","13,777","59.54","9.90","-2.32","17.76","16.63","-18.45","23.24"
17년09월(3Q),"378,000","120,156","39,902","7,662","6,310","7,772","327,571","5.51","1.15","17,977","55.00","16.45","19.12","19.20","22.81","36.66","24.89"
17년06월(2Q),"344,000","104,243","38,533","6,322","5,155","5,870","303,054","5.40","1.14","15,033","64.64","11.98","-8.89","16.41","20.42","12.08","21.93"
17년03월(1Q),"370,500","98,339","39,960","8,148","6,414","7,541","285,857","5.96","1.30","18,679","70.19","48.85","72.05","20.39","26.73","84.96","25.45"
16년12월(4Q),"369,000","94,008","36,714","7,335","5,798","6,443","273,173","6.89","1.35","16,894","68.78","35.96","137.51","19.98","25.94","237.77","25.92"
16년09월(3Q),"298,000","85,247","34,266","6,432","4,514","6,771","247,732","7.15","1.20","13,155","68.00","12.91","32.75","18.77","21.60","87.78","24.43"
16년06월(2Q),"283,000","82,400","34,411","6,939","4,603","8,723","239,465","7.97","1.18","13,413","69.46","8.26","8.46","20.17","23.06","-0.11","25.89"
16년03월(1Q),"341,500","77,730","26,845","4,736","3,457","5,070","225,906","9.61","1.51","10,099","49.18","-4.11","166.07","17.64","18.14","186.70","21.85"
15년12월(4Q),"243,500","75,556","27,004","3,089","1,713","5,185","219,538","8.41","1.11","5,001","51.78","-22.74","451.17","11.44","9.18","","16.11"
15년09월(3Q),"270,000","74,400","30,347","4,845","2,394","6,452","216,141","12.09","1.25","7,005","52.38","-18.16","240.68","15.96","13.29","136.85","19.54"
15년06월(2Q),"289,000","70,742","31,786","6,398","4,602","6,475","205,483","15.81","1.41","13,428","56.26","-15.95","658.50","20.13","27.12","773.34","23.54"
15년03월(1Q),"203,500","65,639","27,996","1,780","1,198","7,844","190,608","31.84","1.07","3,523","57.02","-27.72","160.48","6.36","7.45","148.67","10.39"
14년12월(4Q),"160,000","64,690","34,954","560","-565","1,847","187,805","37.34","0.85","-1,627","59.57","-14.06","-56.45","1.60","-3.47","","5.09"
