결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"11,350","3,024","360","31","83","54","23,509","6.36","0.48","587","25.03","7.01","9.81","8.58","10.61","43.30","53.60"
19년06월(2Q),"11,550","2,941","392","36","52","-31","22,921","7.19","0.50","322","25.92","1.17","-44.82","9.31","5.94","-26.05","53.11"
19년03월(1Q),"12,100","2,890","377","17","31","78","22,602","7.03","0.54","244","32.33","2.28","-43.57","4.62","4.52","-43.09","51.16"
18년12월(4Q),"9,860","2,913","253","-62","49","116","22,764","5.18","0.43","631","25.75","8.30","","-24.30","11.83","","43.37"
18년09월(3Q),"13,550","2,846","336","28","57","-17","22,018","16.53","0.62","410","22.31","5.40","","8.36","7.91","359.63","54.39"
18년06월(2Q),"19,950","2,782","387","66","70","41","21,560","39.99","0.93","436","23.98","7.32","934.77","17.06","8.59","171.15","57.09"
18년03월(1Q),"34,650","2,717","368","31","63","91","21,165","52.15","0.55","429","27.88","-9.43","","8.37","8.54","540.95","52.52"
17년12월(4Q),"31,600","2,715","234","-100","-80","67","21,133","","0.50","-455","24.34","-26.83","","-42.80","-8.98","","30.15"
17년09월(3Q),"31,050","2,824","319","-13","19","-31","21,542","","0.49","89","17.51","-23.17","","-3.95","1.75","-37.05","48.02"
17년06월(2Q),"30,900","2,812","361","6","30","-20","21,438","","0.49","161","20.71","-8.95","-79.90","1.77","3.17","173.07","49.87"
17년03월(1Q),"31,600","2,761","407","-27","-4","74","21,239","","0.50","67","31.78","9.78","","-6.58","1.32","-13.93","52.40"
16년12월(4Q),"33,650","2,816","320","-82","-74","51","21,418","","0.53","-376","27.86","-77.04","","-25.54","-7.27","","44.66"
16년09월(3Q),"32,750","2,900","415","19","21","53","22,087","8.50","0.50","142","21.67","22.36","-16.57","4.62","2.70","74.45","55.24"
