결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"15,200","1,577","693","-22","-1","66","8,417","34.18","1.81","-2","136.04","-28.48","","-3.17","-0.10","","79.78"
19년06월(2Q),"19,700","1,590","706","-2","-8","-78","8,425","38.76","2.34","-36","141.40","-14.45","","-0.27","-2.03","","84.82"
19년03월(1Q),"23,100","1,622","923","91","83","129","8,479","33.78","2.72","430","119.39","-15.43","-3.53","9.90","24.29","4.82","80.39"
18년12월(4Q),"24,100","1,612","764","4","7","112","8,402","36.29","2.87","52","107.57","-22.33","-95.28","0.46","2.97","-79.68","82.76"
18년09월(3Q),"25,150","1,596","969","27","12","88","8,294","28.96","3.03","62","106.86","-2.31","-66.45","2.82","3.52","-80.04","69.18"
18년06월(2Q),"27,200","1,625","826","41","26","64","8,236","24.36","3.30","140","113.21","-1.88","-44.70","4.91","7.88","-56.52","82.34"
18년03월(1Q),"39,350","1,625","1,092","95","77","80","8,097","30.30","4.86","410","110.83","20.74","-13.92","8.68","22.91","-4.15","73.09"
17년12월(4Q),"30,500","1,644","983","75","50","125","8,196","23.17","3.72","256","113.20","66.51","95.73","7.59","14.52","69.75","73.86"
17년09월(3Q),"24,250","1,558","992","81","58","128","7,905","20.03","3.07","310","106.54","54.46","-2.27","8.21","18.30","-14.54","70.30"
17년06월(2Q),"31,650","1,250","841","73","60","98","7,606","25.05","4.16","322","87.43","55.00","99.86","8.71","21.27","71.62","76.42"
17년03월(1Q),"38,650","1,038","904","110","81","31","7,009","22.83","3.68","428","107.16","51.86","154.77","12.18","31.21","130.45","78.48"
16년12월(4Q),"28,950","1,027","591","38","25","61","6,983","21.77","2.77","151","104.94","11.63","123.31","6.46","10.97","897.02","94.89"
16년09월(3Q),"28,800","1,042","642","83","68","125","6,838","25.58","2.81","362","92.90","24.78","149.56","12.97","26.59","113.09","95.53"
16년06월(2Q),"27,700","1,011","543","37","33","51","6,485","33.07","2.85","188","87.92","9.43","-28.92","6.75","14.23","-13.88","94.81"
16년03월(1Q),"30,100","979","595","43","33","80","6,302","34.09","3.19","186","87.80","18.22","-30.90","7.26","14.20","-37.53","95.88"
15년12월(4Q),"33,700","997","529","17","2","-123","6,359","32.09","3.53","15","83.10","29.43","-61.86","3.23","1.12","-91.90","95.93"
15년09월(3Q),"38,350","1,050","515","33","30","258","6,349","29.33","4.03","170","76.75","9.47","-52.36","6.48","12.44","-25.68","96.29"
15년06월(2Q),"33,200","1,020","496","52","40","-72","6,177","23.78","3.59","218","65.12","36.10","142.07","10.40","16.47","82.22","95.63"
15년03월(1Q),"33,100","1,173","504","63","56","-93","5,962","26.51","3.70","297","90.82","24.76","108.58","12.42","22.79","7.56","96.09"
14년12월(4Q),"24,200","1,091","409","45","39","61","5,975","19.88","2.70","187","105.66","13.71","17.16","10.96","14.56","-9.20","94.83"
14년09월(3Q),"22,500","1,053","470","70","32","136","5,796","18.07","2.59","229","107.44","6.98","-2.58","14.90","18.61","-34.85","98.04"
14년06월(2Q),"23,700","944","364","21","18","-3","5,549","16.58","2.85","120","106.75","19.18","","5.85","10.05","89.21","98.78"
14년03월(1Q),"24,450","936","404","30","51","100","5,469","18.19","2.98","276","75.22","10.60","-37.46","7.43","23.36","19.47","99.05"
13년12월(4Q),"22,950","898","359","38","41","-76","5,516","17.97","2.78","206","69.68","4.74","-27.35","10.64","17.73","8.91","98.97"
13년09월(3Q),"24,200","864","439","72","62","146","5,296","19.33","3.05","351","89.43","8.04","-4.92","16.36","31.92","-0.64","99.14"
13년06월(2Q),"26,600","811","306","","8","52","4,947","21.19","3.59","63","89.66","2.90","","-0.05","5.93","-50.34","98.71"
13년03월(1Q),"28,200","820","365","48","42","33","4,902","20.87","3.84","231","79.07","9.98","-15.55","13.14","21.34","-11.00","98.94"
12년12월(4Q),"30,100","842","343","53","36","115","4,958","21.59","4.05","189","76.69","","","15.33","","","98.67"
12년09월(3Q),"25,300","809","392","76","65","44","4,712","22.99","3.58","344","68.24","7.84","24.30","19.50","33.49","25.31","100.00"
12년06월(2Q),"19,800","744","285","28","23","49","4,368","19.87","3.02","123","79.52","10.39","69.53","9.91","12.67","25.31","100.00"
