결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"7,500","91,562","4,531","1,715","1,377","-3,245","11,269","11.08","0.67","168","1,383.04","22.64","73.59","4.30","6.14","85.32","11.36"
19년06월(2Q),"8,180","87,879","5,585","2,618","2,194","-12,437","10,816","13.64","0.76","269","1,420.94","10.06","22.91","6.13","10.19","41.24","13.07"
19년03월(1Q),"7,330","84,791","4,929","1,420","1,682","462","10,438","14.06","0.70","206","1,413.40","0.34","-33.81","3.03","7.99","-25.15","10.51"
18년12월(4Q),"6,530","83,524","2,590","-141","277","-25,705","10,310","11.33","0.63","34","1,313.80","-39.82","","-0.40","1.35","-75.96","7.45"
18년09월(3Q),"8,470","82,688","3,694","988","765","-6,805","10,207","12.23","0.83","91","1,199.29","-17.08","-41.48","4.14","3.59","-53.89","15.48"
18년06월(2Q),"8,520","82,538","5,074","2,130","1,571","-22,404","10,192","10.55","0.84","190","1,140.64","14.40","21.84","5.23","7.65","-20.06","12.46"
18년03월(1Q),"9,220","80,806","4,912","2,146","2,007","6,158","9,890","10.76","0.93","275","1,074.81","25.14","49.57","6.34","10.35","69.78","14.50"
17년12월(4Q),"9,190","73,845","4,303","1,407","969","-10,723","10,904","12.15","0.82","143","1,127.25","834.79","","4.95","5.29","","15.15"
17년09월(3Q),"9,830","73,324","4,455","1,688","1,343","-27,546","10,826","19.45","0.89","197","1,011.60","39.79","79.91","7.59","7.40","34.74","20.04"
17년06월(2Q),"11,050","72,329","4,436","1,748","1,636","1,155","10,680","26.22","1.01","238","862.25","45.62","144.97","8.19","9.36","33.51","20.77"
17년03월(1Q),"9,040","66,612","3,925","1,435","1,102","-4,332","9,882","34.46","0.89","162","789.92","209.76","196.78","4.63","6.63","37.73","12.67"
16년12월(4Q),"7,240","66,658","460","-2,104","-1,567","69,023","9,889","61.72","0.72","-320","759.13","","","-11.17","-8.08","","2.44"
16년09월(3Q),"7,810","43,935","3,187","938","667","-13,529","13,201","73.28","0.58","146","730.98","45.63","14.62","3.41","4.54","-10.06","11.60"
16년06월(2Q),"7,790","43,924","3,046","714","656","5,868","13,198","63.17","0.58","178","765.19","-2.76","-53.55","4.45","5.57","-48.70","18.99"
16년03월(1Q),"8,270","43,393","1,267","483","402","-11,216","13,042","27.89","0.62","117","742.90","-58.08","-66.08","3.02","4.12","-63.94","7.93"
15년12월(4Q),"9,470","34,520","-3,575","-2,296","-1,103","-33,340","10,195","18.59","0.91","-338","723.17","","","21.44","-11.77","","33.39"
15년09월(3Q),"11,900","43,968","2,188","818","555","11,114","13,229","13.45","0.88","163","700.40","4.00","-41.08","3.36","5.10","-43.34","8.98"
15년06월(2Q),"15,250","43,050","3,132","1,537","1,184","-4,600","12,959","15.07","1.15","348","711.44","70.51","139.02","11.56","11.15","129.51","23.57"
15년03월(1Q),"12,950","41,979","3,023","1,425","1,110","-11,610","12,659","15.97","1.00","326","715.52","69.86","132.38","9.52","10.62","141.45","20.20"
14년12월(4Q),"9,830","41,743","2,266","63","98","-18,834","12,571","15.96","0.76","29","633.38","109.68","","24.64","0.94","","891.26"
