결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"4,325","23,702","4,623","329","250","-2,358","12,157","5.88","0.36","126","1,426.56","-8.45","112.37","3.53","4.31","195.00","43.56"
19년06월(2Q),"4,400","22,678","4,669","369","373","3,357","11,640","6.74","0.38","188","1,487.37","-10.04","43.33","4.21","6.78","169.91","45.25"
19년03월(1Q),"5,140","21,386","4,787","386","279","-1,223","10,988","9.63","0.47","141","1,555.09","-13.21","10.23","4.34","5.31","-13.29","45.26"
18년12월(4Q),"4,610","20,650","4,922","661","556","-3,264","10,616","8.34","0.43","281","1,577.53","-13.92","180.13","7.63","11.05","587.65","49.66"
18년09월(3Q),"5,140","19,580","5,050","155","85","-19","10,077","16.44","0.51","43","1,702.52","-15.05","55.58","1.69","1.75","-40.24","44.30"
18년06월(2Q),"5,550","19,188","5,190","258","138","1,964","9,879","16.03","0.56","70","1,748.67","-10.16","-22.59","2.44","2.85","-94.25","38.55"
18년03월(1Q),"5,030","19,651","5,515","350","287","-2,008","9,969","3.41","0.50","162","1,698.06","2.06","","3.69","5.72","3,850.10","46.15"
17년12월(4Q),"5,250","20,516","5,718","236","68","3,911","12,398","3.95","0.42","41","1,631.37","2.55","-54.89","2.58","1.32","-74.32","36.97"
17년09월(3Q),"4,995","20,694","5,945","100","119","1,987","12,505","3.45","0.40","72","1,582.75","5.94","","0.97","2.30","775.15","37.90"
17년06월(2Q),"5,260","20,634","5,777","333","2,017","5,041","12,468","3.80","0.42","1,213","1,570.59","1.39","-28.93","3.00","41.26","476.50","30.68"
17년03월(1Q),"5,900","18,482","5,404","-28","7","-1,044","11,175","15.27","0.53","4","1,438.23","-9.67","","-0.22","0.15","-94.81","23.07"
16년12월(4Q),"5,150","18,802","5,576","523","264","2,868","11,367","11.21","0.45","159","1,423.48","-13.22","-34.79","5.82","5.26","-55.17","34.90"
16년09월(3Q),"4,305","21,359","5,611","-9","14","2,255","12,905","6.54","0.33","8","1,235.19","-20.23","","-0.07","0.25","-91.63","25.37"
16년06월(2Q),"3,940","21,460","5,698","468","365","5,097","12,965","5.31","0.30","210","1,207.82","-11.19","","4.85","7.09","89.18","30.72"
16년03월(1Q),"4,895","19,677","5,983","186","137","3,283","11,410","7.48","0.43","79","1,294.40","-6.28","-48.88","1.64","2.87","-63.84","24.68"
15년12월(4Q),"5,050","18,573","6,425","802","615","23,466","10,771","6.33","0.47","354","1,365.57","0.77","124.24","8.32","13.35","57.32","31.26"
15년09월(3Q),"5,980","18,253","7,035","224","168","5,159","10,560","9.42","0.57","98","1,355.67","14.51","69.90","1.84","4.00","0.90","24.26"
15년06월(2Q),"8,950","15,399","6,416","-161","148","-5,075","11,546","11.07","0.63","111","1,589.13","4.64","","-1.51","3.67","-50.33","27.46"
15년03월(1Q),"11,200","16,932","6,384","363","292","-3,580","12,695","11.81","0.71","219","1,422.15","0.14","-43.55","3.55","7.33","-39.38","29.02"
14년12월(4Q),"8,580","14,981","6,376","357","301","6,655","11,232","7.63","0.62","225","1,547.51","2.32","423.43","3.74","8.35","472.51","29.41"
14년09월(3Q),"8,330","13,818","6,143","132","129","2,632","10,361","9.32","0.65","97","1,584.49","-5.67","-74.33","1.35","3.95","-64.41","24.74"
