결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년12월(4Q),"433,000","43,545","3,133","1,070","2,106","1,041","65,812","141.20","6.58","3,183","35.76","75.76","830.07","34.14","19.82","-33.62","42.16"
19년09월(3Q),"307,500","41,474","1,848","236","441","-319","62,682","65.72","4.91","667","39.49","82.87","125.61","12.77","4.28","","26.40"
19년06월(2Q),"320,000","41,031","781","-154","-134","-920","62,014","88.80","5.16","-203","42.00","-37.75","","-19.76","-1.31","","14.75"
19년03월(1Q),"319,500","41,165","1,254","-234","-385","300","62,215","90.99","5.14","-581","43.03","-4.33","","-18.66","-3.72","","-0.31"
18년12월(4Q),"386,500","41,555","1,783","115","3,173","324","62,805","114.11","6.15","4,795","43.92","7.19","-77.27","6.45","31.74","","24.24"
18년09월(3Q),"534,000","38,424","1,011","105","-270","-452","58,073","","9.20","-408","93.09","-20.70","-48.87","10.35","-2.80","","33.36"
18년06월(2Q),"417,000","38,700","1,254","237","-195","-105","58,490","","7.13","-295","92.55","98.41","","18.91","-2.01","","34.28"
18년03월(1Q),"487,000","38,876","1,310","100","-467","-96","58,757","","8.29","-705","86.52","21.73","193.36","7.63","-4.75","","19.25"
17년12월(4Q),"371,000","39,765","1,663","506","-101","1,218","60,099","","6.17","-153","80.64","57.57","","30.42","-1.01","","42.43"
17년09월(3Q),"337,500","39,912","1,275","205","-317","69","60,321","","5.60","-479","78.10","141.46","","16.06","-3.16","","29.14"
17년06월(2Q),"292,000","40,228","632","-85","-221","63","60,799","","4.80","-334","76.87","32.98","","-13.42","-2.19","","10.11"
17년03월(1Q),"173,000","40,437","1,076","34","-331","148","61,115","","2.83","-500","78.52","21.29","","3.17","-3.26","","16.45"
16년12월(4Q),"151,000","40,824","1,056","-7","-570","33","61,700","","2.45","-925","84.53","","","-0.67","","","15.85"
,"","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","",""
