결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"71,100","375,671","40,837","2,661","2,393","6,121","190,240","15.55","0.37","1,101","716.85","1.27","-31.34","3.19","2.52","-21.57","29.25"
19년06월(2Q),"83,600","356,659","40,659","4,057","3,244","30,673","180,851","17.15","0.46","1,547","745.34","1.17","-71.82","4.88","3.77","-70.71","29.42"
19년03월(1Q),"84,100","331,637","39,918","5,639","4,696","21,493","168,392","9.77","0.50","2,236","794.79","-0.99","1.99","6.90","5.92","14.72","33.97"
18년12월(4Q),"81,600","305,055","40,516","2,033","-547","17,750","155,062","9.81","0.53","-311","848.77","1.72","","2.62","-0.85","","30.10"
18년09월(3Q),"97,300","311,077","40,325","3,876","2,986","13,648","157,649","11.97","0.62","1,404","829.42","-2.89","-2.52","5.13","3.90","-12.33","33.26"
18년06월(2Q),"98,400","299,100","40,191","14,395","10,739","14,693","151,722","11.82","0.65","5,280","853.55","-2.35","165.04","15.86","15.01","177.56","24.26"
18년03월(1Q),"116,000","298,128","40,318","5,529","4,158","-26,530","150,880","23.44","0.77","1,950","850.41","-8.26","-30.80","7.04","5.43","-31.14","33.59"
17년12월(4Q),"124,500","311,216","39,829","-491","-806","30,837","157,347","21.35","0.79","-504","808.42","-4.50","","-0.64","-1.34","","29.38"
17년09월(3Q),"113,000","325,837","41,524","3,976","3,430","-3,669","164,886","17.85","0.69","1,601","763.89","-1.60","0.14","5.17","4.20","-34.07","29.75"
17년06월(2Q),"117,000","318,585","41,158","5,431","4,061","4,144","161,425","16.35","0.72","1,902","766.89","-2.56","24.42","7.32","5.25","15.47","29.27"
17년03월(1Q),"108,500","295,032","43,947","7,990","5,948","-15,230","149,805","15.72","0.72","2,831","809.76","5.80","42.58","8.71","8.31","-54.34","25.12"
16년12월(4Q),"112,500","283,084","41,707","-4,074","147","28,825","143,773","10.95","0.78","-5","834.89","-0.79","","-5.80","-0.01","","21.20"
16년09월(3Q),"105,500","309,078","42,199","3,971","5,143","-1,320","156,129","10.11","0.68","2,428","748.06","-0.46","55.40","4.87","6.86","78.56","25.09"
16년06월(2Q),"100,500","294,032","42,240","4,365","3,526","7,196","148,203","10.72","0.68","1,647","773.53","-3.48","13.77","5.96","4.99","-25.58","28.47"
16년03월(1Q),"117,500","271,847","41,536","5,604","12,683","13,643","137,191","11.82","0.86","6,200","819.05","-8.40","0.44","7.07","20.26","167.43","24.06"
15년12월(4Q),"110,000","237,217","42,042","-486","320","24,567","126,071","18.16","0.87","164","871.10","-7.45","","-0.78","0.55","-76.33","26.01"
15년09월(3Q),"98,900","237,076","42,393","2,555","2,712","16,934","123,557","15.02","0.80","1,360","855.01","-1.40","-17.69","3.57","4.68","-7.79","26.58"
