결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년12월(4Q),"194,500","67,252","27,827","3,262","2,589","2,151","84,616","20.44","2.30","3,262","34.14","0.02","26.28","11.72","15.62","46.15","17.94"
19년09월(3Q),"190,500","65,558","26,584","2,066","1,569","3,302","82,483","22.44","2.31","1,996","37.09","9.71","3.54","7.77","9.82","11.16","15.94"
19년06월(2Q),"215,000","63,704","27,761","2,587","1,936","2,708","80,125","25.94","2.68","2,450","38.16","12.29","8.85","9.32","12.44","3.55","16.91"
19년03월(1Q),"235,000","61,635","25,025","1,985","1,410","778","77,509","28.65","3.03","1,809","40.08","6.18","9.21","7.93","9.35","3.96","16.04"
18년12월(4Q),"204,000","61,486","27,821","2,583","1,774","2,359","77,335","25.08","2.64","2,232","30.34","12.79","25.06","9.28","11.67","11.45","16.13"
18년09월(3Q),"231,000","60,256","24,230","1,996","1,429","2,767","75,767","29.22","3.05","1,795","30.57","4.94","3.81","8.24","9.57","-4.72","16.12"
18년06월(2Q),"200,500","59,083","24,722","2,377","1,868","3,323","74,301","25.08","2.70","2,366","29.02","4.13","27.94","9.61","12.96","30.93","17.81"
18년03월(1Q),"255,500","57,097","23,569","1,818","1,316","3,516","71,791","34.37","3.56","1,740","30.93","9.65","23.67","7.71","9.70","50.09","16.33"
17년12월(4Q),"200,000","57,194","24,666","2,065","1,585","2,964","71,854","29.18","2.78","2,003","27.25","3.56","26.22","8.37","11.28","32.71","15.85"
17년09월(3Q),"168,500","55,922","23,089","1,923","1,491","2,749","70,273","26.49","2.40","1,884","29.69","15.38","12.70","8.33","10.89","50.30","16.45"
17년06월(2Q),"184,500","54,227","23,741","1,858","1,435","2,335","68,125","32.20","2.71","1,807","30.59","15.69","10.35","7.83","10.79","14.42","16.17"
17년03월(1Q),"133,500","52,509","21,495","1,470","907","300","65,955","24.26","2.02","1,160","29.05","23.18","18.05","6.84","7.01","-29.82","15.82"
16년12월(4Q),"139,500","52,911","23,819","1,636","1,320","2,683","66,457","23.27","2.10","1,509","29.31","13.17","-5.93","6.87","9.37","-10.79","15.94"
16년09월(3Q),"154,000","50,535","20,012","1,706","1,101","1,632","62,510","24.93","2.46","1,254","29.74","6.80","41.90","8.52","8.06","-3.29","18.00"
16년06월(2Q),"143,500","49,955","20,521","1,684","1,362","2,817","61,886","23.07","2.32","1,579","28.82","4.73","2.86","8.20","10.34","2.36","17.68"
16년03월(1Q),"175,000","48,653","17,450","1,245","1,361","-904","60,391","28.30","2.90","1,652","28.36","-8.90","-4.51","7.13","11.05","44.63","18.05"
15년12월(4Q),"254,000","47,769","21,048","1,739","1,413","2,794","59,324","44.77","4.28","1,692","32.55","-2.97","-6.87","8.26","11.67","0.79","17.06"
15년09월(3Q),"288,000","45,587","18,737","1,202","1,095","2,380","56,732","50.88","5.08","1,296","33.72","3.96","-8.57","6.42","9.26","10.15","16.10"
15년06월(2Q),"259,500","43,914","19,595","1,637","1,257","2,949","55,321","46.83","4.69","1,543","34.04","-4.85","-5.26","8.35","11.33","-0.54","17.15"
15년03월(1Q),"267,500","42,557","19,155","1,304","933","525","53,652","48.20","4.99","1,142","35.01","2.61","27.38","6.81","8.56","22.99","15.45"
14년12월(4Q),"293,500","42,140","21,691","1,868","1,351","1,704","53,166","55.00","5.52","1,679","31.61","6.05","38.61","8.61","12.78","58.14","16.88"
14년09월(3Q),"309,500","41,155","18,024","1,315","973","2,420","51,965","65.92","6.00","1,177","35.46","2.43","-9.27","7.30","9.17","-0.34","17.04"
