결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년12월(4Q),"55,800","2,628,804","598,848","71,603","52,270","197,171","37,528","17.63","1.49","770","34.12","1.05","-33.70","11.96","8.20","-33.83","35.62"
19년09월(3Q),"49,050","2,634,422","620,035","77,779","62,877","138,266","37,600","13.73","1.30","899","34.14","-5.28","-55.74","12.54","9.67","-49.24","35.50"
19년06월(2Q),"47,000","2,577,470","561,271","65,971","51,806","65,949","36,789","10.48","1.28","746","33.05","-4.03","-55.63","11.75","8.18","-50.28","35.96"
19년03월(1Q),"44,650","2,532,152","523,855","62,333","50,436","52,443","36,142","8.54","1.24","752","36.27","-13.50","-60.15","11.90","8.41","-52.49","37.49"
18년12월(4Q),"38,700","2,477,532","592,651","108,006","84,622","224,281","35,342","6.42","1.10","1,163","36.97","-10.18","-28.69","18.22","14.04","-28.58","42.60"
18년09월(3Q),"46,450","2,421,032","654,600","175,749","131,507","155,497","32,685","7.17","1.42","1,771","39.28","5.50","20.93","26.85","22.54","19.07","46.24"
18년06월(2Q),"46,650","2,331,248","584,827","148,690","110,434","134,378","31,483","7.53","1.48","1,500","36.70","-4.13","5.70","25.42","19.90","6.28","46.52"
18년03월(1Q),"2,461,000","2,232,599","605,637","156,422","116,885","156,164","30,146","8.06","1.63","1,583","39.96","19.82","58.03","25.83","21.96","70.33","47.31"
17년12월(4Q),"2,548,000","2,144,914","659,784","151,470","122,551","216,915","28,971","9.40","1.76","1,629","40.68","23.71","64.27","22.96","23.41","89.76","45.84"
17년09월(3Q),"2,564,000","2,106,913","620,489","145,332","111,934","174,471","28,305","11.03","1.81","1,487","40.76","29.77","179.48","23.42","22.24","174.39","46.81"
17년06월(2Q),"2,377,000","2,007,057","610,005","140,665","110,539","124,262","26,828","12.81","1.77","1,411","38.31","19.76","72.72","23.06","22.93","99.30","46.89"
17년03월(1Q),"2,060,000","1,898,180","505,475","98,984","76,844","105,973","24,184","13.58","1.70","929","39.20","1.54","48.27","19.58","16.21","47.57","44.30"
16년12월(4Q),"1,802,000","1,929,630","533,317","92,208","70,880","109,859","24,340","13.18","1.48","858","35.87","0.03","50.11","17.29","15.38","125.16","42.09"
16년09월(3Q),"1,598,000","1,795,364","478,156","52,001","45,379","143,366","22,708","14.17","1.41","542","36.17","-7.48","-29.67","10.88","10.11","-13.11","38.49"
16년06월(2Q),"1,425,000","1,818,425","509,371","81,440","58,474","133,448","22,806","12.19","1.25","708","34.16","4.94","18.06","15.99","13.40","7.04","41.87"
16년03월(1Q),"1,312,000","1,783,262","497,823","66,758","52,528","87,183","22,106","11.43","1.19","630","35.28","5.65","11.65","13.41","12.20","18.51","38.99"
15년12월(4Q),"1,260,000","1,790,598","533,155","61,428","32,235","123,564","21,903","11.47","1.15","381","35.25","1.11","16.15","11.52","7.47","-38.66","36.30"
15년09월(3Q),"1,134,000","1,807,286","516,826","73,934","54,586","118,738","21,647","9.30","1.05","624","36.43","8.93","82.08","14.31","12.40","28.31","38.84"
15년06월(2Q),"1,268,000","1,739,366","485,375","68,979","57,523","107,096","20,873","11.02","1.21","661","33.20","-7.29","-4.03","14.21","13.67","-8.90","40.34"
15년03월(1Q),"1,441,000","1,676,193","471,179","59,794","46,258","51,220","20,143","12.19","1.43","531","35.58","-12.22","-29.56","12.69","11.17","-39.62","38.55"
