결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년12월(4Q),"7,270","52,489","21,571","-2,150","-3,201","-3,564","9,864","","0.74","-505","159.10","58.16","","-9.96","-22.98","","-2.86"
19년09월(3Q),"7,880","58,394","19,646","-3,120","-5,832","511","10,798","","0.73","-921","162.12","49.54","","-15.88","-38.12","","0.99"
19년06월(2Q),"8,160","63,527","17,704","-563","-3,094","-9,536","11,608","","0.70","-498","130.56","31.47","","-3.18","-19.29","","2.33"
19년03월(1Q),"8,260","66,678","14,575","-333","-1,026","5,777","12,115","","0.68","-157","119.93","17.46","","-2.29","-5.89","","4.28"
18년12월(4Q),"7,410","67,463","13,639","-1,337","-1,057","-4,218","12,234","","0.61","-156","111.72","-3.45","","-9.80","-5.75","","-1.64"
18년09월(3Q),"8,080","69,232","13,138","-1,272","-802","-1,390","10,962","","0.74","-134","102.18","-25.01","","-9.69","-4.88","","-4.86"
18년06월(2Q),"7,140","69,458","13,466","-1,006","-1,427","5,047","11,005","","0.65","-251","104.97","-41.45","","-7.47","-9.28","","2.82"
18년03월(1Q),"7,720","57,192","12,408","-478","-595","2,216","13,413","","0.58","-138","146.04","-49.08","","-3.85","-4.09","","3.56"
17년12월(4Q),"7,330","57,975","14,126","-5,959","-4,456","-5,410","15,873","","0.41","-1,064","138.35","-40.78","","-42.18","-30.04","","-36.41"
17년09월(3Q),"11,200","62,845","17,519","236","234","6,396","17,033","124.72","0.58","65","116.25","-36.93","-71.89","1.35","1.76","-86.12","8.03"
17년06월(2Q),"12,450","63,096","22,997","206","227","3,831","17,082","30.16","0.64","67","136.90","-15.48","","0.90","1.83","","4.91"
17년03월(1Q),"11,200","61,943","24,370","274","587","584","18,338","","0.54","149","149.11","-3.68","347.51","1.13","3.74","127.32","4.53"
16년12월(4Q),"9,250","62,753","23,855","464","-709","-1,981","18,545","","0.44","-256","174.37","-26.12","55.08","1.94","-5.79","","6.16"
16년09월(3Q),"9,370","51,042","27,778","841","1,286","-4,647","23,944","","0.35","513","222.78","14.01","","3.03","10.49","","7.41"
16년06월(2Q),"9,160","48,144","27,208","-2,838","-2,124","944","22,795","","0.31","-732","263.48","89.01","","-10.43","-14.95","","0.70"
16년03월(1Q),"11,050","51,555","25,301","61","159","-9,864","24,035","","0.35","66","254.28","-3.06","-76.65","0.24","1.42","43.90","4.08"
15년12월(4Q),"10,850","42,657","32,287","299","-429","1,186","20,524","","0.40","-162","305.59","4.90","-70.60","0.93","-3.83","","4.72"
15년09월(3Q),"12,300","43,674","24,364","-100","-250","-4,453","20,914","","0.45","-86","318.04","-25.34","","-0.41","-2.02","","8.34"
15년06월(2Q),"17,050","43,801","14,395","-15,481","-11,550","2,913","20,959","","0.62","-4,548","264.86","-53.66","","-107.54","-93.74","","-100.37"
15년03월(1Q),"18,050","55,340","26,099","263","109","6,557","25,505","8.10","0.54","46","189.08","-23.93","","1.01","0.84","","4.89"
14년12월(4Q),"19,950","55,732","30,778","1,017","414","-8,065","25,647","25.98","0.60","170","207.23","-13.85","","3.30","3.03","","8.70"
14년09월(3Q),"25,250","58,534","32,635","1,815","1,724","4,452","25,490","91.00","0.76","680","194.96","-8.73","-11.76","5.56","12.05","2.38","10.04"
14년06월(2Q),"27,050","56,508","31,067","2,623","2,060","5,229","24,851","105.31","0.83","812","225.62","-18.21","-8.34","8.44","14.81","-4.37","12.68"
14년03월(1Q),"31,850","54,710","34,311","-3,625","-2,724","-6,190","24,144","104.33","1.01","-1,073","226.11","-11.75","","-10.56","-19.26","","-6.61"
13년12월(4Q),"38,050","58,458","35,727","-178","-523","4,531","25,622","11.70","1.14","-206","198.11","0.94","","-0.50","-3.56","","8.50"
13년09월(3Q),"43,000","58,898","35,756","2,057","1,686","2,834","25,794","11.03","1.28","665","198.33","-11.90","-36.72","5.75","11.61","-39.20","11.42"
13년06월(2Q),"35,800","57,330","37,982","2,861","2,154","5,192","25,177","8.03","1.09","849","195.45","13.30","-0.72","7.53","15.32","11.51","12.42"
13년03월(1Q),"34,800","55,109","38,879","4,402","3,005","-6,654","24,302","8.01","1.10","1,184","200.19","9.86","34.04","11.32","22.27","18.90","15.76"
12년12월(4Q),"38,550","52,829","35,395","2,639","732","-12,143","23,409","9.41","1.26","288","214.88","7.14","28.34","7.46","5.56","-58.60","12.99"
12년09월(3Q),"37,700","52,514","40,587","3,251","2,773","-62","23,285","8.14","1.24","1,093","200.44","19.01","68.92","8.01","21.70","149.90","14.02"
12년06월(2Q),"37,300","49,734","33,523","2,882","1,931","-7,430","22,190","9.88","1.29","761","217.96","6.02","-6.02","8.60","15.83","-26.58","12.83"
12년03월(1Q),"37,750","47,901","35,389","3,284","2,527","7,700","18,877","9.13","1.53","996","229.05","0.66","-13.09","9.28","21.43","-15.87","13.45"
11년12월(4Q),"27,900","46,440","33,037","2,056","1,765","3,230","20,897","6.37","1.02","697","253.44","-8.22","-35.61","6.22","15.22","-24.87","11.47"
11년09월(3Q),"27,750","46,521","34,103","1,925","1,110","-4,210","20,934","5.93","1.02","437","290.12","6.20","-36.33","5.64","9.64","-61.09","10.91"
