결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"35,350","48,707","2,959","1,198","889","-10,175","54,544","9.30","0.65","996","769.33","17.29","29.77","7.88","7.37","38.46","19.45"
19년06월(2Q),"39,100","47,836","3,067","1,340","962","-14,463","53,568","11.09","0.73","1,078","791.56","-1.04","1.59","8.61","8.14","-3.80","19.71"
19년03월(1Q),"33,300","46,768","3,106","1,496","1,172","-3,709","52,372","9.33","0.64","1,312","756.00","-14.35","-16.93","6.88","10.04","-11.61","14.27"
18년12월(4Q),"31,500","46,621","2,094","538","372","-2,482","52,207","8.42","0.60","417","722.17","-13.13","-34.31","3.68","3.20","-38.91","14.34"
18년09월(3Q),"32,650","46,431","2,522","923","642","-11,489","51,994","8.15","0.63","719","733.46","-7.02","-20.19","9.61","5.56","-26.96","26.27"
18년06월(2Q),"34,750","45,961","3,100","1,319","1,000","-5,127","51,469","8.13","0.68","1,120","737.60","30.85","49.78","11.29","8.83","49.52","26.53"
18년03월(1Q),"39,350","44,626","3,626","1,801","1,326","3,896","49,973","10.09","0.79","1,485","800.72","66.49","141.25","13.84","11.96","115.16","27.87"
17년12월(4Q),"36,600","44,116","2,410","819","611","4,396","49,380","11.75","0.74","683","760.19","48.03","408.89","7.02","5.57","112.50","20.65"
17년09월(3Q),"34,550","43,410","2,713","1,157","874","-12,956","48,620","12.39","0.71","985","756.97","32.02","76.98","11.12","8.18","56.14","26.07"
17년06월(2Q),"41,300","42,538","2,369","881","667","-10,318","47,636","17.12","0.87","749","732.52","7.65","29.53","10.82","6.36","13.21","29.11"
17년03월(1Q),"33,650","41,684","2,178","747","558","10,988","46,679","14.59","0.72","690","708.21","5.81","19.98","5.10","5.59","17.88","14.88"
16년12월(4Q),"31,700","38,270","1,628","161","255","9,424","48,298","13.98","0.64","321","768.31","-13.97","-47.41","1.87","2.78","15.01","18.92"
16년09월(3Q),"34,600","34,974","2,055","654","500","3,532","49,012","15.56","0.68","631","851.14","0.90","9.34","6.09","5.74","10.77","19.14"
16년06월(2Q),"35,300","34,732","2,200","680","524","-2,206","48,706","16.34","0.70","662","881.93","-35.35","-60.98","7.19","6.10","-57.87","23.26"
16년03월(1Q),"39,950","34,036","2,059","622","464","3,919","47,828","12.90","0.81","585","864.16","-21.60","-44.47","4.02","5.36","-44.35","13.30"
15년12월(4Q),"41,750","35,238","1,893","306","221","4,129","48,352","11.67","0.84","279","779.57","1.81","-35.27","5.74","2.48","-39.99","35.50"
