결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"223,000","145,021","49,447","2,270","1,684","1,617","315,693","14.83","0.71","3,319","487.87","5.16","-30.02","3.83","4.75","-29.89","71.57"
19년06월(2Q),"268,000","137,907","49,560","2,773","2,053","8,173","301,653","16.29","0.89","4,042","504.56","4.33","-45.55","4.66","6.14","-45.40","69.88"
19년03월(1Q),"301,000","128,867","46,990","3,127","2,319","-7,491","283,778","15.19","1.06","4,569","530.79","1.80","-23.57","5.63","7.33","-22.90","74.45"
18년12월(4Q),"269,000","123,830","46,661","2,114","1,576","17,744","273,846","12.71","0.98","3,107","541.33","3.70","59.47","3.95","5.13","318.99","80.10"
18년09월(3Q),"284,000","121,722","47,021","3,244","2,403","5,963","269,693","15.10","1.05","4,735","545.05","-1.56","7.49","5.83","8.06","6.36","69.33"
18년06월(2Q),"264,000","116,332","47,504","5,093","3,750","7,416","259,038","14.25","1.02","7,403","561.46","-0.05","29.04","8.71","12.98","28.92","69.45"
18년03월(1Q),"270,500","114,817","46,160","4,092","3,004","-9,861","256,051","16.04","1.06","5,926","566.09","-0.50","-4.51","7.52","10.22","-40.04","73.93"
17년12월(4Q),"267,000","120,083","44,997","1,326","380","9,406","266,474","12.82","1.00","741","533.02","-2.57","-6.30","2.58","1.23","-60.21","72.78"
17년09월(3Q),"280,000","124,297","47,768","3,018","2,259","4,261","274,793","12.76","1.02","4,452","487.56","0.72","-0.65","5.41","7.32","-7.28","69.26"
17년06월(2Q),"281,500","122,118","47,527","3,947","2,909","11,886","270,501","12.63","1.04","5,742","488.00","-0.33","50.53","7.12","9.85","20.91","67.65"
17년03월(1Q),"268,000","114,033","46,391","4,285","5,005","394","254,517","12.58","1.05","9,884","509.30","2.28","17.82","7.44","17.87","77.98","65.40"
16년12월(4Q),"268,500","110,082","46,185","1,415","952","3,714","246,689","15.82","1.09","1,863","519.70","-0.19","16.67","2.65","3.27","32.80","66.11"
16년09월(3Q),"279,500","120,549","47,425","3,038","2,432","1,561","267,428","16.93","1.05","4,801","464.49","2.69","24.97","5.45","8.28","28.80","70.68"
16년06월(2Q),"263,500","114,413","47,686","2,622","2,407","7,066","255,288","17.07","1.03","4,749","482.96","2.50","-18.87","4.79","8.75","-2.77","69.85"
16년03월(1Q),"295,000","105,480","45,356","3,637","2,814","4,120","237,622","18.95","1.24","5,553","511.79","1.96","-8.52","6.86","10.90","-7.88","70.55"
15년12월(4Q),"307,500","100,853","46,273","1,213","708","2,955","225,804","19.17","1.36","1,403","526.99","2.57","-29.76","2.35","2.78","-35.55","73.38"
15년09월(3Q),"280,000","103,596","46,183","2,431","1,897","14,880","223,701","16.65","1.25","3,728","502.65","2.51","-15.71","4.39","7.44","-16.01","64.69"
15년06월(2Q),"294,000","99,295","46,522","3,232","2,476","7,409","215,219","16.77","1.37","4,884","512.21","3.17","-2.24","5.51","9.72","-1.53","54.18"
15년03월(1Q),"267,500","104,207","44,486","3,976","3,058","1,767","224,928","15.20","1.19","6,028","476.10","1.56","22.34","7.69","12.23","21.66","69.88"
14년12월(4Q),"282,500","95,388","45,112","1,727","1,106","10,245","207,503","17.09","1.36","2,177","509.97","3.19","-3.03","3.39","4.65","-13.61","67.50"
14년09월(3Q),"282,500","94,464","45,054","2,884","2,246","8,644","198,493","16.74","1.42","4,438","484.90","7.56","68.60","5.49","9.70","84.98","63.37"
14년06월(2Q),"257,500","90,956","45,093","3,306","2,517","10,421","190,485","16.10","1.35","4,960","489.96","0.89","40.27","5.95","11.73","39.58","55.41"
14년03월(1Q),"239,500","80,452","43,804","3,250","2,512","4,984","174,137","15.88","1.38","4,955","532.04","-0.52","21.51","6.38","12.61","22.33","63.73"
13년12월(4Q),"259,000","78,885","43,717","1,781","1,277","14,505","170,920","18.35","1.52","2,520","526.76","2.77","-32.08","3.49","6.34","-36.86","57.09"
13년09월(2Q),"246,500","82,442","44,693","2,357","1,806","11,372","172,072","17.61","1.43","3,554","484.92","3.39","-8.11","4.41","8.82","-13.34","54.41"
13년06월(1Q),"233,000","80,991","44,035","2,674","2,068","10,619","167,825","16.02","1.39","4,050","477.10","6.09","-21.95","5.15","9.63","-19.98","56.28"
13년03월(4Q),"218,000","89,690","42,540","2,622","2,027","7,146","185,093","14.02","1.18","3,991","414.53","9.95","-5.71","5.69","9.27","-4.29","71.79"
12년12월(3Q),"218,000","84,845","41,888","1,711","1,226","14,774","175,546","13.86","1.24","2,399","426.89","13.01","4.24","3.44","5.80","31.83","58.48"
12년09월(2Q),"239,000","82,940","43,226","2,565","2,081","16,860","171,792","15.77","1.39","4,101","416.79","17.39","-9.42","5.02","10.37","-3.36","53.88"
12년06월(1Q),"226,000","77,476","41,508","3,426","2,572","18,037","154,634","14.78","1.46","5,062","424.92","14.79","-5.82","6.94","13.25","-7.72","55.20"
12년03월(4Q),"214,000","77,427","38,691","2,781","2,115","4,447","154,577","13.61","1.38","4,170","405.52","15.87","10.68","7.06","11.31","13.23","68.85"
11년12월(3Q),"211,000","72,060","37,066","1,641","939","16,502","143,974","13.85","1.47","1,820","418.83","12.88","-25.25","3.69","5.26","-43.90","56.62"
11년09월(2Q),"216,500","68,248","36,823","2,831","2,151","1,676","136,460","13.00","1.59","4,244","415.72","13.90","27.02","5.92","12.75","30.10","53.11"
