결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"164,000","28,089","2,891","1,031","616","1,320","22,412","81.40","6.99","479","34.96","25.08","40.10","35.68","9.22","8.99","58.92"
19년06월(2Q),"205,500","27,423","2,350","834","783","740","21,898","104.13","8.96","602","34.34","-10.80","-21.18","35.48","11.95","-4.41","60.19"
19년03월(1Q),"181,000","26,438","2,217","774","630","1,355","21,202","90.40","8.15","500","32.48","-9.50","-32.91","34.89","10.11","-21.49","59.97"
18년12월(4Q),"222,500","26,328","2,426","440","373","1,337","20,656","103.73","10.29","344","34.48","-11.56","-70.32","18.14","6.95","-55.08","43.15"
18년09월(3Q),"297,000","26,472","2,311","736","547","562","20,315","112.82","13.72","439","30.86","-0.42","-44.16","31.86","8.76","-45.57","55.22"
18년06월(2Q),"303,500","27,325","2,634","1,058","800","859","20,791","100.35","13.70","630","30.64","7.02","-23.54","40.15","12.64","-29.66","60.26"
18년03월(1Q),"309,500","26,391","2,450","1,153","815","1,063","20,102","93.57","14.45","636","33.50","24.62","28.99","47.07","13.51","19.59","64.55"
17년12월(4Q),"221,100","24,319","2,743","1,483","974","1,769","18,495","69.19","11.22","765","36.33","31.34","107.05","54.06","16.89","96.21","78.59"
17년09월(3Q),"142,000","24,626","2,321","1,318","1,064","507","18,548","49.79","7.05","807","33.56","37.93","78.17","56.81","18.23","76.76","79.86"
17년06월(2Q),"115,100","23,470","2,461","1,383","1,152","906","17,661","46.58","6.00","896","34.76","33.03","79.41","56.20","21.29","92.24","70.85"
17년03월(1Q),"90,100","22,329","1,966","894","671","1,792","16,701","44.96","4.97","532","37.54","81.25","231.28","45.47","13.09","520.00","60.70"
16년12월(4Q),"107,400","21,990","2,088","716","504","1,605","16,145","70.69","6.12","390","37.43","24.09","12.23","34.29","9.85","1.94","51.52"
16년09월(3Q),"106,400","21,239","1,683","740","586","845","15,737","67.19","5.93","457","37.44","-0.70","1.19","43.98","11.92","-7.91","66.13"
16년06월(2Q),"96,100","20,641","1,850","771","596","-372","15,272","59.22","5.52","466","38.35","10.10","-4.93","41.67","12.58","1.14","60.05"
16년03월(1Q),"109,800","19,799","1,085","270","118","430","14,747","68.11","6.53","86","38.15","11.09","-34.04","24.88","2.46","","61.45"
15년12월(4Q),"84,500","18,098","1,683","638","511","552","14,056","60.78","5.27","382","51.85","68.52","100.39","37.92","11.69","300.96","55.14"
15년09월(3Q),"67,900","17,265","1,695","731","630","139","13,467","62.01","4.30","496","55.57","61.16","103.00","43.16","15.89","298.38","60.50"
15년06월(2Q),"78,000","16,337","1,681","811","582","17","12,829","118.94","5.18","461","57.96","-6.20","-17.20","48.26","16.76","-21.69","65.80"
15년03월(1Q),"69,900","13,356","976","409","-140","68","10,773","86.53","5.53","-119","79.29","12.37","14.75","41.90","-4.71","","64.49"
14년12월(4Q),"38,850","13,478","999","318","129","226","10,873","35.88","3.04","95","72.31","3,532.10","","31.89","3.77","","70.56"
14년09월(3Q),"48,950","13,303","1,051","360","155","1,259","10,723","49.72","3.71","124","73.08","30.04","-13.80","34.26","5.06","-58.49","69.75"
14년06월(2Q),"46,550","12,773","1,792","980","743","155","10,751","38.78","3.52","588","77.05","189.87","175.01","54.67","25.22","100.11","78.65"
14년03월(1Q),"44,000","12,007","869","357","149","-189","10,146","52.52","3.52","115","81.10","7.53","-18.12","41.04","5.11","-60.92","64.95"
13년12월(4Q),"38,350","10,871","27","-211","-34","619","10,020","34.68","3.11","-28","81.99","-97.47","","-767.61","-1.25","","-247.09"
13년09월(3Q),"46,750","10,914","809","418","366","1,063","10,054","26.54","3.67","300","83.75","-0.13","-5.89","51.69","13.58","-9.51","72.79"
13년06월(2Q),"41,800","10,641","618","356","358","-537","9,752","23.54","3.38","294","85.92","-23.08","-13.04","57.62","13.34","-14.21","75.71"
13년03월(1Q),"53,900","10,857","808","435","334","227","9,454","29.75","4.50","293","93.90","0.84","-6.44","53.89","12.53","-25.83","72.61"
12년12월(4Q),"26,100","10,501","1,088","635","528","-318","9,799","26.89","4.21","463","65.02","","","58.43","","","71.49"
12년09월(3Q),"28,000","9,998","809","451","380","313","9,357","26.31","4.12","334","67.64","11.23","-3.58","55.78","15.52","-9.73","83.68"
12년06월(2Q),"30,300","9,587","801","412","407","-32","8,419","27.79","4.96","357","57.33","16.83","-3.96","51.47","17.21","-2.40","67.23"
12년03월(1Q),"36,950","9,321","798","471","415","256","8,202","22.56","4.15","366","59.67","32.99","19.84","58.99","18.12","3.24","72.75"
11년12월(4Q),"36,300","8,995","","","","","8,353","","4.01","","56.45","","","","","",""
11년09월(3Q),"44,150","8,926","727","468","420","213","7,954","29.83","5.12","370","54.67","41.22","46.69","64.35","19.28","42.28","79.60"
11년06월(2Q),"44,200","8,486","686","429","415","-143","7,564","32.52","5.39","366","48.40","59.80","43.64","62.62","19.99","39.29","80.17"
11년03월(1Q),"34,800","8,136","600","393","401","272","7,189","27.88","4.46","354","47.79","72.09","76.84","65.47","20.11","98.27","83.68"
10년12월(4Q),"33,500","7,808","","","","","6,909","","4.47","","46.03","","","","","",""
10년09월(3Q),"22,350","","515","319","304","155","","","","260","","","","61.95","","","80.42"
10년06월(2Q),"20,700","","429","299","292","13","","","","263","","","","69.66","","","83.73"
10년03월(1Q),"19,850","","349","222","188","56","","","","179","","","","63.71","","","76.42"
09년12월(4Q),"15,000","2,857","255","170","179","-145","2,995","24.77","4.62","170","95.75","27.67","99.60","66.67","25.89","","88.10"
09년09월(3Q),"15,500","2,668","364","159","125","212","2,816","38.96","5.08","119","97.10","-7.14","-28.34","43.78","19.20","-67.11","58.30"
09년06월(2Q),"16,800","2,528","429","208","165","182","2,683","31.77","5.77","157","103.10","243.65","","48.48","27.21","","61.78"
09년03월(1Q),"16,100","2,324","408","180","117","201","2,514","37.87","5.91","112","129.78","239.37","3,625.10","44.21","20.68","268.53","58.31"
08년12월(4Q),"9,900","2,197","200","85","-23","182","2,397","26.44","3.81","-22","127.23","46.59","1,052.37","42.64","-4.21","","88.68"
08년09월(3Q),"8,350","2,207","392","222","184","285","2,407","7.79","3.20","360","139.22","200.72","2,415.23","56.73","58.14","180.76","66.10"
08년06월(2Q),"15,050","332","125","-5","-17","10","3,918","","3.54","-244","59.60","16.59","","-3.89","-23.92","","15.06"
08년03월(1Q),"2,510","248","120","5","2","-9","4,489","7.39","0.52","30","105.44","3.49","-39.68","4.03","2.84","-71.88","16.82"
07년12월(4Q),"3,030","253","136","7","5","-8","4,575","7.14","0.61","78","98.12","20.59","50.47","5.42","7.18","112.00","16.96"
07년09월(3Q),"4,380","254","130","9","8","-10","4,497","11.54","0.90","128","90.87","9.66","-7.59","6.78","11.94","-5.75","18.17"
07년06월(2Q),"4,900","249","107","5","4","15","4,369","12.98","1.03","77","93.12","-5.60","-21.49","4.92","7.34","-36.62","16.60"
07년03월(1Q),"4,175","240","116","8","6","9","4,216","9.88","0.91","108","74.43","23.94","21.36","6.91","10.65","8.99","17.01"
06년12월(4Q),"4,385","236","113","5","2","14","4,158","10.69","0.97","37","72.15","9.11","-45.41","4.35","3.66","-82.99","15.01"
06년09월(3Q),"4,310","234","119","10","6","2","4,122","6.94","0.96","136","85.75","29.27","29.89","8.05","12.21","131.58","16.51"
06년06월(2Q),"5,490","182","113","7","6","5","4,069","8.31","1.02","121","94.09","34.11","-18.34","5.91","12.29","-34.55","17.38"
06년03월(1Q),"7,950","183","94","7","5","-6","3,948","10.94","1.52","99","89.59","19.20","-21.81","7.06","10.21","-55.28","18.90"
05년12월(4Q),"6,400","178","104","9","10","18","3,848","7.28","1.25","216","88.47","","","8.69","23.12","","18.52"
05년09월(3Q),"5,300","168","92","7","3","-5","3,632","8.96","1.10","59","93.30","","","8.01","7.60","","18.89"
