결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"198,000","5,832","3,599","191","220","-244","81,405","17.05","2.43","3,091","96.30","15.45","66.03","5.29","15.49","126.37","54.72"
19년06월(2Q),"213,000","5,610","3,017","146","101","370","78,286","21.54","2.72","1,421","94.70","6.48","2.22","4.83","7.33","-6.43","60.86"
19년03월(1Q),"299,500","5,507","3,659","292","229","236","76,844","29.99","3.90","3,197","98.73","20.22","146.46","7.97","16.73","152.94","59.37"
18년12월(4Q),"194,500","5,448","3,631","179","282","505","76,024","24.16","2.56","3,903","80.32","12.72","14.30","4.94","21.03","58.59","58.11"
18년09월(3Q),"228,000","5,190","3,118","115","97","-294","72,452","34.50","3.15","1,366","90.56","15.98","1,158.37","3.68","7.60","","53.41"
18년06월(2Q),"203,000","5,105","2,834","143","107","625","71,257","39.87","2.85","1,519","85.12","18.34","222.10","5.03","8.61","862.59","58.03"
18년03월(1Q),"96,100","5,006","3,044","118","91","232","69,840","25.76","1.38","1,264","89.58","11.85","169.18","3.89","7.27","39.76","53.05"
17년12월(4Q),"74,100","4,962","3,222","157","177","273","69,236","21.98","1.07","2,461","91.63","10.25","1.68","4.87","14.47","24.05","55.06"
17년09월(3Q),"57,700","4,787","2,688","9","-12","-382","66,803","19.94","0.86","-153","106.78","9.82","59.20","0.34","-0.91","","48.05"
17년06월(2Q),"68,500","4,796","2,394","44","11","231","66,919","19.42","1.02","158","93.09","1.47","-41.13","1.85","0.94","-44.71","54.90"
17년03월(1Q),"71,400","4,805","2,721","44","65","18","67,044","19.54","1.06","904","96.78","9.65","25.51","1.62","5.41","","50.28"
16년12월(4Q),"66,200","4,785","2,922","154","143","277","66,769","27.22","0.99","1,984","101.91","-4.67","54.74","5.28","12.06","11.93","53.92"
16년09월(3Q),"79,600","4,636","2,448","6","34","-375","64,836","35.85","1.23","480","103.26","6.40","","0.23","2.97","","47.04"
16년06월(2Q),"67,900","4,599","2,360","75","21","460","64,308","50.61","1.06","285","89.97","3.94","103.98","3.19","1.78","30.34","52.19"
16년03월(1Q),"87,500","4,580","2,482","35","-22","172","64,049","68.62","1.37","-318","96.69","2.69","-56.39","1.41","-1.97","","49.13"
15년12월(4Q),"102,500","4,648","3,065","100","127","391","64,998","34.66","1.58","1,773","96.69","5.66","4.56","3.26","11.06","92.96","48.45"
15년09월(3Q),"126,000","4,523","2,300","-18","-29","-468","63,252","59.89","1.99","-399","109.29","4.48","","-0.77","-2.51","","46.70"
15년06월(2Q),"133,000","4,559","2,270","37","15","353","63,743","45.61","2.09","219","91.01","15.46","77.38","1.62","1.38","-70.90","50.00"
15년03월(1Q),"84,400","4,545","2,417","80","96","203","63,545","24.47","1.33","1,365","95.76","17.89","64.96","3.32","8.63","75.39","48.80"
14년12월(4Q),"114,000","4,497","2,901","95","62","255","62,912","39.82","1.81","919","97.42","22.14","-32.71","3.29","5.87","-61.28","48.61"
14년09월(3Q),"136,000","4,451","2,202","-6","26","-508","62,228","31.51","2.19","413","104.12","12.39","","-0.28","2.67","-72.27","46.02"
14년06월(2Q),"84,500","4,428","1,966","21","51","468","61,849","15.67","1.37","753","87.09","6.64","-48.24","1.06","4.89","181.69","48.74"
14년03월(1Q),"78,500","4,371","2,050","49","53","-198","61,175","15.99","1.28","778","80.11","10.61","56.07","2.38","5.10","91.10","47.25"
13년12월(4Q),"90,000","4,362","2,375","142","166","406","61,007","19.83","1.48","2,372","73.18","11.26","32.08","5.97","15.86","53.45","50.40"
13년09월(3Q),"89,700","4,200","1,959","8","105","-266","58,693","24.17","1.53","1,491","81.43","7.89","-12.58","0.40","10.29","-41.10","45.02"
13년06월(2Q),"80,300","4,094","1,844","40","17","-225","57,181","16.90","1.40","267","65.83","-5.52","-61.96","2.18","1.87","-83.87","48.34"
13년03월(1Q),"75,300","4,072","1,853","31","26","287","56,858","12.26","1.32","407","63.06","-7.36","-63.99","1.68","2.86","-67.94","46.03"
12년12월(4Q),"89,200","4,090","2,135","107","107","174","57,062","12.74","1.56","1,546","51.91","","","5.03","","","50.90"
12년09월(3Q),"94,000","3,891","1,811","16","176","176","54,498","12.90","1.72","2,464","48.19","-4.19","-80.39","0.88","18.50","436.21","44.13"
12년06월(2Q),"86,900","3,715","1,945","110","100","325","52,032","16.41","1.67","1,406","40.03","-1.64","-27.02","5.65","10.87","-43.17","48.11"
12년03월(1Q),"104,000","3,674","2,001","87","83","-47","51,463","17.05","2.02","1,165","47.28","6.81","-28.83","4.33","9.16","-45.61","46.35"
11년12월(4Q),"114,000","3,591","2,182","178","161","500","50,292","16.21","2.27","2,252","48.18","","","8.18","18.26","","50.82"
11년09월(3Q),"122,000","3,456","1,890","81","32","-395","48,408","25.42","2.52","459","48.48","30.24","-18.18","4.31","","","45.62"
