결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"41,800","416,971","39,799","14,179","10,484","54,520","80,428","5.90","0.52","1,996","1,209.20","14.47","25.19","19.86","10.20","11.66","34.63"
19년06월(2Q),"44,900","407,369","39,391","14,093","10,705","14,758","78,089","6.54","0.57","2,050","1,201.40","18.13","5.64","19.61","10.74","3.63","33.38"
19년03월(1Q),"42,000","385,944","38,433","13,103","9,658","21,593","76,616","6.19","0.55","1,937","1,231.45","21.60","11.44","17.23","10.22","7.09","31.31"
18년12월(4Q),"39,600","366,514","36,006","8,569","5,237","-55,224","75,668","5.95","0.52","1,083","1,153.98","15.99","154.40","12.07","5.78","141.65","31.39"
18년09월(3Q),"45,000","360,165","34,767","11,326","8,575","17,579","74,441","7.47","0.60","1,788","1,170.83","16.04","8.97","19.79","9.85","3.74","37.96"
18년06월(2Q),"43,300","342,989","33,345","13,340","9,481","-25,099","70,829","7.27","0.61","1,978","1,221.56","15.81","15.45","23.48","11.36","5.16","37.35"
18년03월(1Q),"45,700","331,543","31,607","11,758","8,690","-458","68,428","7.80","0.67","1,808","1,208.09","12.12","-9.43","22.14","10.51","-14.00","38.75"
17년12월(4Q),"49,400","337,036","31,042","3,368","2,116","23,931","69,212","8.03","0.71","448","1,164.87","8.37","-46.20","4.75","2.59","-65.29","29.23"
17년09월(3Q),"50,300","336,878","29,961","10,394","8,285","-1,362","69,159","7.19","0.73","1,723","1,175.81","6.59","10.94","18.22","10.11","15.45","34.83"
17년06월(2Q),"49,300","326,890","28,792","11,555","9,019","-18,359","67,168","7.28","0.73","1,881","1,166.21","3.10","29.81","20.97","11.30","31.19","34.74"
17년03월(1Q),"46,600","319,281","28,191","12,983","10,073","6,004","65,994","7.37","0.71","2,103","1,168.46","1.83","98.08","22.83","12.78","32.30","32.87"
16년12월(4Q),"45,250","317,450","28,645","6,261","6,144","14,467","65,605","7.79","0.69","1,291","1,146.43","3.97","12.66","10.16","7.90","55.04","30.70"
16년09월(3Q),"40,150","315,443","28,108","9,369","7,224","7,972","65,160","7.51","0.62","1,493","1,164.84","2.42","20.32","16.52","9.23","6.70","32.20"
16년06월(2Q),"38,000","314,382","27,926","8,902","7,004","15,744","64,250","7.23","0.59","1,434","1,141.44","0.54","0.50","16.68","9.04","0.55","33.21"
16년03월(1Q),"40,500","309,571","27,684","6,554","7,877","-212","61,800","7.72","0.66","1,589","1,122.81","-2.96","-12.95","12.81","10.14","30.28","33.52"
15년12월(4Q),"39,550","318,131","27,551","5,558","4,228","22,444","63,548","8.11","0.62","833","1,064.77","-7.91","79.07","8.56","5.26","29.06","26.65"
15년09월(3Q),"41,400","316,746","27,443","7,787","6,981","20,743","63,139","8.83","0.66","1,399","1,053.92","-9.91","-6.51","13.25","8.96","7.44","28.54"
15년06월(2Q),"41,550","310,085","27,775","8,857","7,113","13,895","61,779","9.05","0.67","1,426","1,059.13","-8.20","17.52","16.63","9.34","19.82","31.03"
15년03월(1Q),"41,950","303,077","28,528","7,530","6,138","-27,379","60,339","9.63","0.70","1,220","1,046.27","-4.81","-0.64","13.96","8.10","6.02","30.28"
14년12월(4Q),"44,450","305,149","29,918","3,103","3,405","2,243","60,136","10.37","0.74","645","1,007.73","-4.08","-32.80","4.83","4.31","-7.67","26.93"
14년09월(3Q),"48,600","302,363","30,462","8,329","6,515","-12,433","59,584","11.19","0.82","1,302","1,008.60","-2.55","9.68","15.52","8.85","20.79","31.88"
14년06월(2Q),"46,850","295,121","30,256","7,537","6,120","13,005","58,096","11.38","0.81","1,190","994.51","-4.05","1.39","13.72","8.27","4.01","30.75"
14년03월(1Q),"47,000","300,144","29,970","7,578","5,956","-23,622","57,081","11.54","0.82","1,151","962.19","-6.14","13.55","14.54","8.09","16.11","31.82"
13년12월(4Q),"47,300","298,551","31,192","4,618","3,756","16,882","56,745","12.09","0.83","699","942.67","-7.45","-12.67","4.81","4.95","9.14","17.71"
13년09월(3Q),"43,650","295,383","31,258","7,594","5,649","17,002","56,110","11.33","0.78","1,078","974.52","-11.75","6.24","15.95","7.75","-5.23","34.70"
13년06월(2Q),"37,600","290,803","31,533","7,434","5,923","7,290","55,169","9.61","0.68","1,144","998.09","-10.48","-14.50","17.28","8.34","-12.11","38.27"
13년03월(1Q),"40,400","285,260","31,931","6,674","5,226","-52,169","54,626","9.92","0.74","991","999.57","-10.40","-37.33","14.81","7.28","-40.48","35.65"
12년12월(4Q),"38,850","289,131","33,701","5,289","3,530","65,635","54,341","8.17","0.71","640","954.67","-6.03","-21.44","17.82","4.73","-33.16","57.02"
12년09월(3Q),"37,950","285,899","35,422","7,148","5,946","-8,183","53,835","7.52","0.70","1,138","980.08","0.63","-26.26","14.46","8.57","-14.54","35.85"
12년06월(2Q),"39,700","278,755","35,223","8,694","6,745","28,244","52,372","7.59","0.76","1,302","964.46","2.67","-31.68","15.17","10.10","-28.94","30.43"
12년03월(1Q),"43,750","271,146","35,636","10,649","8,698","4,988","50,790","7.58","0.86","1,665","991.36","9.86","-15.30","17.67","13.49","-6.70","29.40"
11년12월(4Q),"39,750","268,588","35,862","6,732","5,508","-11,153","46,117","6.74","0.86","958","972.43","10.25","22.33","-25.95","7.81","-15.26","-68.76"
11년09월(3Q),"42,000","299,391","35,200","9,694","7,475","42,185","51,945","6.91","0.81","1,331","876.26","9.22","-6.99","13.24","10.36","-5.18","24.62"
11년06월(2Q),"50,900","293,556","34,307","12,726","10,060","-40,298","50,852","8.27","1.00","1,832","868.61","6.29","127.97","17.09","14.84","115.85","23.90"
11년03월(1Q),"49,850","275,743","32,438","12,572","9,684","23,377","48,483","9.66","1.03","1,785","912.16","1.21","-0.52","17.42","14.84","2.57","23.76"
10년12월(4Q),"52,900","271,952","32,529","5,503","6,279","-17,808","47,758","10.32","1.11","1,130","887.52","","","10.85","","","32.36"
10년09월(3Q),"43,650","","32,230","10,422","7,784","-24,128","","","","1,404","","","","15.46","","","24.14"
10년06월(2Q),"45,650","","32,277","5,582","4,911","-25,515","","","","849","","","","7.15","","","20.63"
10년03월(1Q),"44,450","","32,052","12,638","9,621","79,762","","","","1,740","","","","16.11","","","20.33"
09년12월(4Q),"43,200","207,284","280","2,567","2,564","-542","39,311","17.25","1.10","486","30.84","-28.06","-7.60","66.51","5.01","-17.12","-17.31"
09년09월(3Q),"47,000","201,923","312","4,918","4,918","-200","38,294","17.99","1.23","924","33.55","-11.04","51.85","79.80","9.90","40.26","-11.35"
09년06월(2Q),"32,250","195,337","395","4,292","4,396","270","36,402","13.84","0.89","819","35.03","14.38","-45.74","77.55","9.18","-48.52","-12.56"
09년03월(1Q),"24,600","187,826","398","1,185","1,185","551","35,002","7.95","0.70","242","41.11","47.46","-80.90","48.42","2.60","-80.60","-31.40"
08년12월(4Q),"29,700","176,059","390","2,778","2,848","5,149","36,267","6.95","0.79","587","47.19","118.61","23.28","75.37","6.45","29.24","-18.58"
08년09월(3Q),"41,900","177,256","350","3,239","3,239","-395","36,513","10.17","1.10","659","40.77","68.69","-38.35","71.01","7.16","-38.61","-12.78"
08년06월(2Q),"47,300","184,721","345","7,910","7,913","340","37,152","10.40","1.22","1,591","36.90","106.02","15.26","88.25","17.46","13.78","-6.20"
08년03월(1Q),"52,300","177,823","270","6,204","6,204","12,386","35,764","12.04","1.40","1,248","46.62","-56.45","-33.81","84.41","13.88","-37.70","-9.90"
07년12월(4Q),"53,500","179,778","178","2,253","2,257","-724","36,158","10.48","1.42","454","40.88","-0.88","-16.16","71.01","5.02","-24.50","-23.73"
07년09월(3Q),"59,800","180,192","208","5,254","5,242","-723","36,241","11.21","1.58","1,073","40.70","-0.05","5.36","83.47","12.08","-7.22","-11.20"
07년06월(2Q),"56,200","166,912","167","6,863","6,866","-622","34,001","10.33","1.59","1,399","43.66","-14.73","18.30","87.16","17.10","5.12","-8.02"
07년03월(1Q),"54,000","154,310","620","9,372","9,598","4,675","31,434","10.07","1.65","2,003","40.36","198.78","98.01","92.30","28.66","84.52","-0.06"
06년12월(4Q),"47,500","113,615","180","2,687","2,689","4,951","25,407","10.95","1.79","601","32.06","-21.02","-42.44","84.03","9.67","-43.96","-6.23"
06년09월(3Q),"42,650","108,972","208","4,987","5,102","-596","24,368","8.81","1.68","1,157","28.09","-13.37","22.43","91.44","19.54","24.43","-2.56"
06년06월(2Q),"44,500","99,945","196","5,801","5,803","-191","22,916","9.67","1.86","1,330","33.70","-19.81","23.43","93.30","23.82","23.96","-1.34"
06년03월(1Q),"43,500","94,909","207","4,733","4,734","-110","21,762","10.03","1.92","1,085","35.46","-15.54","22.07","91.59","19.29","22.57","-1.60"
05년12월(4Q),"41,050","101,370","228","4,669","4,662","1,592","23,243","9.95","1.70","1,073","22.94","-13.47","65.17","91.43","19.71","79.78","-1.51"
05년09월(3Q),"36,300","87,871","240","4,073","4,074","-1,991","20,050","9.98","1.74","930","30.32","-18.56","25.74","90.95","19.25","22.52","-1.09"
05년06월(2Q),"26,900","81,431","245","4,700","4,704","-237","18,581","7.77","1.39","1,073","29.66","-17.17","44.98","92.52","24.05","36.75","-0.59"
05년03월(1Q),"27,200","75,012","246","3,877","3,881","-225","17,116","8.62","1.53","886","35.43","-15.09","166.09","91.50","20.36","149.56","-0.74"
04년12월(4Q),"23,400","77,473","263","2,827","2,557","-8","17,677","8.99","1.27","597","30.01","-2.95","162.01","88.03","13.91","136.26","-0.94"
04년09월(3Q),"19,900","69,630","294","3,240","3,242","-19","16,294","8.84","1.17","759","35.54","3.72","107.78","88.76","19.03","74.17","-0.69"
04년06월(2Q),"16,800","66,658","296","3,242","3,243","-45","15,599","8.94","1.03","785","35.72","9.42","623.13","89.30","19.92","432.74","-0.48"
04년03월(1Q),"21,100","63,588","289","1,457","1,461","-70","15,447","17.53","1.31","355","39.85","89.62","158.72","75.43","9.37","96.28","-0.74"
03년12월(4Q),"19,050","61,176","271","1,079","1,040","-209","14,861","19.08","1.23","253","35.58","190.22","-28.79","111.41","6.89","-53.72","1.13"
03년09월(3Q),"15,600","59,545","284","1,559","1,558","175","14,472","12.74","1.03","436","31.30","372.36","26.39","68.14","12.59","24.01","0.63"
03년06월(2Q),"12,450","39,513","270","448","460","-53","12,657","9.75","0.94","147","50.87","404.71","-67.26","55.49","4.74","-65.54","2.07"
03년03월(1Q),"10,300","38,089","153","563","564","-36","12,201","6.57","0.81","181","42.83","285.12","-70.43","70.42","5.77","-70.37","1.21"
02년12월(4Q),"12,400","40,102","93","1,515","1,704","","12,846","6.15","0.93","546","19.32","1,151.08","-31.37","92.30","17.16","-22.82","0.37"
02년09월(3Q),"13,850","39,318","60","1,234","1,097","","12,595","6.34","1.06","351","13.50","","","89.43","11.14","","0.37"
02년06월(2Q),"17,000","39,451","54","1,369","1,334","","12,638","9.35","1.29","427","8.15","","","94.75","13.67","","0.76"
02년03월(1Q),"17,250","38,620","40","1,904","1,904","","12,372","","1.34","610","8.82","","","96.78","19.92","","0.42"
01년12월(4Q),"17,550","37,878","7","2,208","2,208","-28","12,134","","1.39","707","4.44","","","97.45","24.33","","-0.15"
01년09월(3Q),"9,880","34,699","","","","","11,116","","0.85","","0.54","","","","","",""
