결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"2,870","5,574","8,364","-1,052","-1,079","-3,731","3,720","","0.77","-720","285.51","-7.22","","-12.57","-70.60","","3.03"
19년06월(2Q),"4,045","6,652","9,350","-491","-514","201","4,440","","0.91","-343","271.43","-0.72","","-5.25","-29.79","","9.65"
19년03월(1Q),"5,100","7,165","9,332","-278","-261","1,835","4,782","","1.07","-178","245.27","15.39","","-2.98","-14.82","","12.25"
18년12월(4Q),"3,960","6,933","10,527","-35","-40","259","5,026","","0.79","-29","218.14","16.68","","-0.33","-2.26","","13.51"
18년09월(3Q),"4,565","7,182","9,015","-220","-182","1,366","5,207","","0.88","-132","204.64","0.09","","-2.44","-10.03","","12.09"
18년06월(2Q),"4,570","7,357","9,419","-75","-54","-371","5,333","","0.86","-39","184.06","4.29","","-0.79","-2.91","","12.85"
18년03월(1Q),"4,965","7,416","8,088","-313","-342","516","5,376","","0.92","-248","196.20","2.54","","-3.86","-18.06","","11.14"
17년12월(4Q),"5,120","7,752","9,022","-257","-302","1,758","5,619","","0.91","-219","190.01","-9.84","","-2.85","-15.52","","13.49"
17년09월(3Q),"5,180","7,842","9,007","-174","-177","-598","5,685","","0.91","-128","175.95","5.86","","-1.93","-8.92","","14.53"
17년06월(2Q),"6,840","8,029","9,031","-66","-40","1,016","5,821","47.34","1.18","-29","170.12","-6.32","","-0.73","-1.96","","16.34"
17년03월(1Q),"7,950","8,138","7,887","-155","-139","-132","5,899","26.09","1.35","-101","161.83","-3.01","","-1.96","-6.85","","14.70"
16년12월(4Q),"7,890","8,127","10,006","80","194","2,031","5,923","18.63","1.33","142","166.20","2.65","-63.58","0.80","9.91","1.57","16.02"
16년09월(3Q),"7,880","7,561","8,508","-73","183","-172","5,510","18.71","1.43","133","162.11","3.82","","-0.86","9.80","","14.56"
16년06월(2Q),"7,000","7,387","9,640","193","180","1,463","5,383","77.70","1.30","131","177.61","15.38","","2.00","9.87","","17.39"
16년03월(1Q),"8,260","7,215","8,132","81","23","-878","5,258","","1.57","17","168.23","6.94","","0.99","1.30","","17.21"
15년12월(4Q),"7,750","7,171","9,747","218","191","2,042","5,226","","1.48","139","184.39","17.37","","2.24","10.85","","16.97"
15년09월(3Q),"8,740","6,942","8,195","-36","-271","-23","5,059","","1.73","-198","179.03","6.73","","-0.44","-15.26","","16.23"
15년06월(2Q),"8,700","7,279","8,355","-199","-227","-591","5,305","","1.64","-165","170.03","-3.50","","-2.38","-12.28","","14.84"
15년03월(1Q),"9,070","7,509","7,604","-342","-312","587","5,472","","1.66","-228","174.29","-11.85","","-4.50","-16.36","","13.01"
14년12월(4Q),"9,260","7,774","8,305","-322","-169","1,264","5,674","","1.63","-123","153.21","-15.84","","-3.88","-8.46","","14.39"
14년09월(3Q),"6,590","8,216","7,678","-283","-156","-495","5,988","","1.10","-113","127.42","-8.32","","-3.68","-7.46","","12.43"
14년06월(2Q),"8,750","8,467","8,658","-157","-292","-231","6,171","","1.42","-213","128.61","-4.54","","-1.81","-13.52","","12.91"
14년03월(1Q),"8,740","8,807","8,626","-8","107","144","6,419","67.27","1.36","78","130.47","14.46","","-0.10","4.87","","15.12"
13년12월(4Q),"7,550","8,842","9,868","47","-10","1,948","6,444","","1.17","-7","139.50","21.15","","0.47","-0.44","","14.89"
13년09월(3Q),"8,540","8,847","8,375","7","15","-1,579","6,448","","1.32","11","123.73","19.88","","0.09","0.72","","13.87"
13년06월(2Q),"8,930","8,283","9,070","37","62","1,145","6,037","","1.48","48","159.02","26.94","","0.41","3.12","","15.06"
13년03월(1Q),"6,090","7,721","7,536","-180","-92","1,228","6,294","","0.97","-75","153.46","16.56","","-2.39","-4.69","","13.70"
12년12월(4Q),"5,310","8,007","8,146","-315","-398","744","6,527","","0.81","-325","131.12","","","-3.86","","","11.24"
12년09월(3Q),"5,160","8,606","6,965","-184","-134","72","7,015","","0.74","-110","107.08","-6.76","","-2.64","-6.26","","12.15"
12년06월(2Q),"5,570","8,560","7,119","-185","-209","-66","6,982","","0.80","-171","110.34","-2.30","","-2.60","-9.65","","12.71"
12년03월(1Q),"7,010","8,791","6,440","-305","-316","722","7,208","","0.97","-259","111.03","3.78","","-4.73","-14.09","","11.30"
11년12월(4Q),"5,090","9,061","","","","","7,429","","0.69","","97.95","","","","","",""
11년09월(3Q),"5,350","9,782","7,471","-342","-354","927","8,021","","0.67","-290","86.42","41.94","","-4.57","-14.22","","11.72"
11년06월(2Q),"8,430","10,137","7,286","-291","-349","659","8,311","65.57","1.01","-286","74.98","35.44","","-3.99","-13.53","","12.16"
11년03월(1Q),"9,160","10,486","6,205","-416","26","106","8,598","30.44","1.07","31","61.06","53.00","","-6.71","1.25","","10.61"
10년12월(4Q),"8,420","6,117","","","","","16,743","","0.50","","181.94","","","","","",""
10년09월(3Q),"9,190","","5,263","-310","501","307","","","","1,373","","","","-5.89","","","11.49"
10년06월(2Q),"14,000","","5,380","-112","-293","61","","","","-811","","","","-2.07","","","14.78"
10년03월(1Q),"12,050","","4,056","-198","-382","111","","","","-1,057","","","","-4.89","","","14.21"
09년12월(4Q),"2,500","3,006","3,837","-986","1,863","-40","8,323","","2.28","16,222","361.87","-20.41","","-25.68","5,794.39","","11.06"
09년09월(3Q),"2,595","-2,749","2,276","-417","-898","-1,890","-25,800","","","-8,425","","-66.74","","-18.32","","","12.86"
09년06월(2Q),"1,435","-1,848","2,217","-275","-1,772","-319","-17,347","","","-16,628","","-65.95","","-12.40","","","14.75"
09년03월(1Q),"1,200","-74","2,337","-1,257","-2,656","1,118","-696","","","-24,931","","-65.51","","-53.77","-848.49","","-17.41"
08년12월(4Q),"960","2,579","4,821","-1,190","-6,116","727","24,202","","0.30","-57,403","561.30","-34.91","","-24.68","-434.10","","1.20"
08년09월(3Q),"2,520","8,693","6,843","-485","-282","258","81,585","","0.23","-2,646","167.83","-8.20","","-7.08","-12.77","","13.03"
08년06월(2Q),"3,945","8,971","6,511","-324","-357","-279","84,193","","0.36","-3,348","168.12","-18.54","","-4.97","-15.60","","15.76"
08년03월(1Q),"5,430","9,325","6,776","-276","-342","289","87,521","","0.47","-3,211","162.35","-18.73","","-4.07","-14.41","","16.36"
07년12월(4Q),"6,200","9,664","7,407","-130","-52","-1,570","90,704","43.39","0.52","-483","150.12","-12.29","","-1.76","-2.13","","16.67"
07년09월(3Q),"5,920","9,716","7,455","165","12","628","91,184","","0.49","112","151.75","23.34","-2.82","2.21","0.50","","19.73"
07년06월(2Q),"7,150","9,409","7,993","127","63","-313","88,307","","0.62","589","134.18","2.83","-17.05","1.59","2.67","9.07","18.50"
07년03월(1Q),"6,150","9,347","8,339","279","93","93","87,727","","0.53","868","145.04","14.91","","3.35","3.98","","20.23"
06년12월(4Q),"5,260","9,253","8,445","203","-1,306","3,592","86,847","","0.46","-12,259","154.10","-12.53","25.94","2.40","-52.74","","19.46"
06년09월(3Q),"4,610","10,560","6,044","170","-477","-1,661","99,107","","0.35","-4,481","128.16","-34.90","12.58","2.81","-17.69","","21.96"
