결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"20,400","1,470","314","68","59","51","6,020","20.06","3.39","225","24.23","34.44","140.10","21.80","16.40","146.20","68.80"
19년06월(2Q),"26,400","1,410","293","46","102","73","5,793","29.88","4.56","388","29.51","18.34","169.25","15.84","29.94","681.81","68.52"
19년03월(1Q),"21,900","1,313","275","58","50","83","5,424","40.16","4.04","189","24.65","15.06","447.64","21.14","15.34","257.10","70.89"
18년12월(4Q),"16,000","1,284","303","50","56","16","5,307","39.13","3.01","215","27.62","16.51","","16.48","17.21","551.22","63.86"
18년09월(3Q),"24,750","1,346","234","29","24","38","5,545","109.08","4.46","91","20.58","16.40","84.99","12.20","6.79","83.57","68.95"
18년06월(2Q),"27,900","1,479","248","17","13","19","6,053","150.52","4.61","50","21.46","12.27","-51.15","6.96","3.60","-9.76","66.25"
18년03월(1Q),"34,850","1,415","239","11","14","66","5,811","182.73","6.00","53","22.31","14.69","-69.38","4.44","4.31","","66.24"
17년12월(4Q),"33,500","1,173","260","-10","9","55","4,885","269.82","6.86","33","33.68","28.92","","-3.77","2.69","-80.17","69.97"
17년09월(3Q),"27,500","1,411","201","15","13","-41","5,792","106.72","4.75","50","31.83","12.79","-46.65","7.68","3.69","","72.24"
17년06월(2Q),"37,750","1,424","221","35","15","6","5,730","200.19","6.59","55","49.97","19.07","27.48","16.01","4.08","-29.36","62.78"
17년03월(1Q),"32,900","1,409","208","35","-3","82","5,675","155.62","5.80","-14","48.23","20.84","78.43","16.63","-1.01","","66.18"
16년12월(4Q),"34,950","1,422","202","25","44","51","5,725","128.73","6.10","167","45.97","18.70","7.27","12.33","12.53","5,837.64","69.00"
16년09월(3Q),"35,700","1,371","178","29","-5","54","5,531","331.29","6.45","-19","45.20","16.70","111.98","16.24","-1.48","","73.48"
16년06월(2Q),"33,100","1,381","185","28","20","36","5,569","136.39","5.94","78","45.02","12.58","42.00","14.95","5.96","2.16","71.94"
16년03월(1Q),"33,600","1,365","172","19","12","25","5,509","140.15","6.10","47","43.68","4.66","-35.45","11.27","3.60","-30.95","70.43"
15년12월(4Q),"37,850","1,353","170","23","1","-46","5,463","146.58","6.93","3","43.42","8.31","9.82","13.65","0.22","-97.16","71.78"
15년09월(3Q),"41,400","1,348","152","14","30","-8","5,445","117.99","7.60","116","43.34","1.98","-46.49","8.94","9.81","19.48","75.34"
15년06월(2Q),"41,100","1,126","165","19","20","23","4,681","122.95","8.78","76","31.81","-1.61","-47.88","11.85","7.54","9.73","66.80"
15년03월(1Q),"37,450","961","165","30","17","","4,120","112.65","9.09","67","50.92","-3.54","10.47","18.27","7.15","-30.22","73.42"
14년12월(4Q),"32,550","948","157","21","25","53","4,069","90.01","8.00","99","45.99","-3.79","-44.14","13.46","10.72","80.37","72.78"
14년09월(3Q),"55,400","921","149","25","24","16","3,958","116.78","9.37","97","50.84","-0.74","-40.60","17.04","10.75","-4.34","73.56"
14년06월(2Q),"57,600","901","167","37","18","51","3,881","120.61","9.93","69","51.29","17.96","2.13","22.37","7.94","-44.83","74.38"
14년03월(1Q),"53,200","869","171","27","24","-53","3,768","95.37","9.45","97","50.15","26.74","15.21","15.95","11.38","-8.99","70.25"
13년12월(4Q),"59,000","855","163","38","23","26","3,715","93.70","10.63","91","52.17","1.21","6.59","23.18","12.81","3.86","75.92"
13년09월(3Q),"56,200","583","151","43","24","-12","2,694","88.58","13.96","98","62.69","20.88","96.18","28.47","16.92","41.35","76.51"
13년06월(2Q),"50,400","555","142","37","34","-21","2,581","85.28","13.07","138","66.78","8.75","-7.12","25.84","27.41","12.07","77.84"
13년03월(1Q),"70,000","440","135","24","25","-22","2,133","122.40","21.96","103","102.08","33.02","-7.47","17.55","23.36","10.96","65.76"
12년12월(4Q),"76,300","419","161","35","21","20","2,041","109.95","20.07","88","99.38","35.42","16.56","22.01","21.09","38.16","62.81"
12년09월(3Q),"76,400","395","125","22","17","-11","1,943","117.75","21.12","69","101.93","20.17","-36.35","17.54","17.43","-62.29","64.93"
12년06월(2Q),"51,900","379","130","39","30","20","1,876","60.27","14.86","123","102.32","43.22","111.29","30.26","29.85","79.13","70.94"
12년03월(1Q),"69,900","428","101","26","23","7","1,756","92.01","21.38","93","84.48","25.83","41.64","25.23","21.60","35.10","75.62"
11년12월(4Q),"74,800","407","119","30","16","-20","1,670","104.56","24.06","64","92.69","71.86","121.29","25.57","15.55","16.82","62.82"
11년09월(3Q),"78,600","391","104","34","45","14","1,604","112.44","26.32","183","20.92","59.39","202.85","33.12","48.19","369.65","78.30"
11년06월(2Q),"44,250","350","91","19","17","-15","1,434","101.97","16.57","69","23.87","41.85","-33.02","20.51","19.63","-50.06","67.09"
11년03월(1Q),"38,000","334","80","18","17","-8","1,379","69.23","14.80","68","31.20","69.54","43.12","22.41","20.43","","64.90"
10년12월(4Q),"31,800","315","69","14","13","-25","1,303","62.99","13.11","54","32.34","","","19.86","","","68.83"
10년09월(3Q),"38,050","","65","11","8","-4","","","","39","","","","17.43","","","63.90"
