결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년12월(4Q),"200,000","44,988","13,337","459","-579","2,223","66,519","57.80","3.01","-716","33.12","8.95","93.08","3.44","-4.37","","73.38"
19년09월(3Q),"140,500","45,701","14,020","1,075","1,023","2,300","67,422","33.47","2.08","1,507","30.98","9.67","40.57","7.67","9.25","112.72","73.12"
19년06월(2Q),"164,500","44,618","13,931","878","571","1,104","65,836","48.40","2.50","880","31.01","3.68","-39.79","6.30","5.46","-44.04","73.19"
19년03월(1Q),"188,500","44,749","14,513","1,866","1,222","1,557","64,948","46.07","2.90","1,789","31.22","1.38","-20.90","12.86","11.13","-28.74","72.77"
18년12월(4Q),"209,500","44,464","12,241","238","5","1,414","64,092","43.53","3.27","22","20.80","7.39","-69.09","1.94","0.14","-91.09","71.71"
18년09월(3Q),"261,000","44,330","12,784","765","481","757","63,888","51.83","4.09","708","19.89","5.67","-24.33","5.98","4.46","-37.63","72.83"
18년06월(2Q),"322,500","43,917","13,437","1,458","1,096","2,020","63,261","59.03","5.10","1,572","25.91","11.51","43.55","10.85","10.07","38.10","73.29"
18년03월(1Q),"317,000","42,795","14,316","2,359","1,767","2,276","61,654","63.03","5.14","2,511","30.55","-8.76","-25.53","16.48","16.49","-21.30","73.29"
17년12월(4Q),"304,500","41,754","11,400","769","174","995","60,206","53.34","5.06","244","28.75","-13.38","-24.73","6.75","1.63","-77.01","72.23"
17년09월(3Q),"259,500","41,664","12,099","1,011","798","892","60,061","39.75","4.32","1,136","25.41","-13.64","-39.66","8.35","7.65","-32.66","70.71"
17년06월(2Q),"304,000","40,754","12,050","1,016","774","282","58,790","42.95","5.17","1,139","27.98","-16.52","-57.79","8.43","7.84","-58.73","73.21"
17년03월(1Q),"280,500","39,833","15,690","3,168","2,235","2,956","57,451","32.24","4.88","3,190","32.46","5.66","-6.20","20.19","22.46","-15.01","75.40"
16년12월(4Q),"321,500","38,966","13,160","1,022","730","1,243","56,222","34.71","5.72","1,063","32.98","7.36","-17.17","7.77","7.64","4.24","74.22"
16년09월(3Q),"389,000","38,393","14,009","1,675","1,171","1,671","55,192","42.20","7.05","1,686","30.62","22.77","2.48","11.96","12.41","-16.34","74.12"
16년06월(2Q),"431,500","37,295","14,434","2,406","1,926","913","53,578","45.19","8.05","2,759","28.82","20.75","15.62","16.67","21.14","18.98","74.06"
16년03월(1Q),"386,500","35,419","14,851","3,378","2,630","2,942","50,898","42.43","7.59","3,754","35.13","23.31","21.52","22.75","30.22","24.57","76.53"
15년12월(4Q),"414,500","33,723","12,258","1,234","696","1,436","48,495","49.53","8.55","1,020","31.75","25.24","38.24","10.07","8.46","62.15","76.81"
