결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"5,140","12,096","18,351","-570","-2,325","1,123","4,934","","1.04","-954","807.57","-6.79","","-3.11","-70.16","","6.96"
19년06월(2Q),"5,490","14,555","17,454","-1,241","-2,024","1,512","5,947","","0.92","-868","659.51","0.02","","-7.11","-68.29","","3.27"
19년03월(1Q),"3,510","10,842","17,232","72","-892","3,136","4,548","","0.77","-439","894.99","0.21","-89.08","0.42","-38.52","","10.69"
18년12월(4Q),"4,135","10,932","17,501","-1,583","-2,022","1,505","4,576","","0.90","-922","649.29","-13.12","","-9.04","-72.02","","1.40"
18년09월(3Q),"4,365","12,033","19,687","971","496","1,923","5,662","4.44","0.77","233","560.64","20.72","-18.08","4.93","16.74","198.92","14.29"
18년06월(2Q),"4,140","11,739","17,450","239","-468","1,318","5,453","4.99","0.76","-247","597.95","16.97","-44.24","1.37","-17.82","","11.07"
18년03월(1Q),"4,765","12,139","17,196","656","35","2,425","5,652","6.71","0.84","-28","598.94","18.01","149.08","3.81","-1.97","","13.44"
17년12월(4Q),"4,535","12,999","20,144","580","2,242","2,487","5,583","3.70","0.81","1,026","565.91","37.51","44.14","2.88","80.28","","12.06"
17년09월(3Q),"4,225","9,951","16,308","1,185","170","1,363","4,645","","0.91","78","749.04","4.84","-21.85","7.27","6.69","-89.95","16.92"
17년06월(2Q),"6,130","9,916","14,919","428","-748","1,841","4,658","21.64","1.32","-367","738.73","8.54","48.72","2.87","-30.57","","13.09"
17년03월(1Q),"4,515","11,127","14,571","263","961","1,554","4,942","8.51","0.91","490","639.38","6.46","-26.53","1.81","42.20","116.35","11.67"
16년12월(4Q),"4,220","10,419","14,649","402","-1,179","1,548","4,346","16.84","0.97","-593","689.86","5.37","","2.75","-50.45","","13.46"
16년09월(3Q),"4,830","11,450","15,554","1,516","1,526","1,696","5,116","7.84","0.94","774","572.17","9.39","233.03","9.75","65.40","","19.28"
16년06월(2Q),"4,370","9,954","13,745","288","-267","2,922","4,355","","1.00","-137","683.54","4.07","","2.09","-12.40","","13.09"
16년03월(1Q),"4,810","8,996","13,687","358","444","422","4,498","","1.07","226","961.22","-2.78","-53.46","2.62","20.71","-26.60","12.94"
15년12월(4Q),"4,630","8,516","13,903","-93","-513","1,683","4,252","","1.09","-248","991.23","-6.50","","-0.67","-21.96","","9.22"
15년09월(3Q),"5,280","9,561","14,219","455","-622","541","4,772","57.09","1.11","-320","856.54","-6.71","-30.71","3.20","-26.14","","13.25"
15년06월(2Q),"6,340","10,063","13,207","-671","-854","957","5,031","13.19","1.26","-448","802.89","-6.35","","-5.08","-33.83","","5.42"
15년03월(1Q),"8,980","11,987","14,079","770","596","1,244","5,567","10.34","1.61","309","595.75","-0.49","","5.47","23.02","","15.70"
14년12월(4Q),"7,130","11,191","14,869","315","1,081","628","5,156","22.37","1.38","553","633.75","5.41","","2.12","44.96","","9.68"
14년09월(3Q),"4,580","9,621","15,243","657","135","993","4,676","","0.98","68","732.60","0.33","3.60","4.31","5.90","-83.98","14.19"
14년06월(2Q),"4,645","8,869","14,103","30","-118","1,811","4,527","","1.03","-61","739.86","2.71","","0.21","-5.36","","10.44"
14년03월(1Q),"5,040","8,839","14,148","-21","-466","301","4,512","","1.12","-241","694.55","-0.42","","-0.15","-21.13","","10.04"
13년12월(4Q),"4,935","9,033","14,105","-236","-691","124","4,613","","1.07","-355","676.26","-4.37","","-1.68","-30.10","","8.38"
13년09월(3Q),"5,120","9,448","15,192","634","828","1,631","4,827","","1.06","423","619.43","-3.02","-41.73","4.18","36.90","3.44","13.64"
13년06월(2Q),"5,250","8,516","13,731","-299","-801","6,855","4,350","","1.21","-412","706.53","-4.08","","-2.18","-35.87","","8.36"
13년03월(1Q),"5,760","9,479","14,207","-211","-482","-1,220","4,845","74.54","1.19","-249","557.54","0.41","","-1.49","-19.95","","8.70"
12년12월(4Q),"6,190","10,049","14,750","-155","216","450","5,128","19.52","1.21","110","505.67","2.43","","-1.05","8.69","","9.32"
12년09월(3Q),"6,940","9,828","15,665","1,089","802","1,431","5,016","","1.38","409","531.06","5.21","-39.61","6.95","34.59","","16.50"
12년06월(2Q),"7,430","8,720","14,315","389","-374","1,819","4,449","","1.67","-193","582.15","4.33","-32.54","2.72","-16.90","","13.33"
12년03월(1Q),"7,030","9,215","14,149","471","-19","-244","4,705","","1.49","-12","552.51","8.14","-32.89","3.33","-1.00","","13.57"
11년12월(4Q),"6,450","8,613","14,400","501","-664","-110","4,685","","1.38","-364","567.31","8.63","48.49","3.48","-30.44","","14.57"
11년09월(3Q),"7,750","8,965","14,889","1,803","-347","3,972","4,889","","1.59","-193","573.01","2.85","-26.62","12.11","-15.16","","21.66"
11년06월(2Q),"9,870","9,576","13,721","577","230","1,430","5,328","30.62","1.85","127","544.58","6.56","-62.24","4.20","9.59","226.17","14.94"
11년03월(1Q),"9,940","9,444","13,084","702","483","1,118","5,262","42.47","1.89","269","558.73","6.88","-40.68","5.36","20.74","-48.73","18.90"
10년12월(4Q),"9,660","9,141","13,256","338","-1,822","1,468","5,114","19.96","1.89","-1,031","584.64","","","2.55","","","17.37"
10년09월(3Q),"9,420","","14,476","2,457","1,692","2,418","","","","959","","","","16.97","","","28.95"
10년06월(2Q),"9,710","","12,876","1,527","72","1,883","","","","39","","","","11.86","","","24.35"
10년03월(1Q),"4,140","","12,241","1,183","921","1,734","","","","524","","","","9.66","","","22.80"
09년12월(4Q),"3,645","7,318","10,898","420","-519","25","4,178","","0.87","-296","694.62","2.77","","3.85","-26.99","","17.88"
09년09월(3Q),"3,930","8,065","10,262","-290","7","-923","4,604","","0.85","4","598.23","-11.46","","-2.82","0.36","","11.42"
09년06월(2Q),"3,710","7,996","8,483","-1,295","471","-200","4,565","","0.81","269","606.05","-17.85","","-15.27","24.59","","1.14"
09년03월(1Q),"3,570","7,331","9,229","-1,201","-2,623","-935","4,185","","0.85","-1,497","744.85","-4.98","","-13.01","-138.10","","3.94"
08년12월(4Q),"3,460","7,861","10,604","-931","-1,634","-773","4,488","","0.77","-933","662.02","10.45","","-8.77","-72.95","","6.84"
08년09월(3Q),"4,380","10,063","11,590","237","-479","788","5,745","","0.76","-273","498.32","19.86","-70.34","2.05","-18.57","","14.24"
08년06월(2Q),"5,500","10,562","10,326","-179","-192","707","6,030","23.93","0.91","-110","459.38","19.91","","-1.74","-7.20","","10.92"
08년03월(1Q),"6,710","10,772","9,713","346","33","304","6,149","12.06","1.09","19","435.04","12.66","-20.70","3.56","1.22","-72.47","17.93"
07년12월(4Q),"8,550","11,041","9,601","274","192","1,080","6,303","14.10","1.36","110","273.82","7.91","-35.48","2.85","6.99","-43.75","17.52"
07년09월(3Q),"8,490","10,934","9,670","801","369","1,031","6,242","12.27","1.36","211","272.64","4.84","75.02","8.28","13.75","-15.23","23.03"
07년06월(2Q),"8,340","10,558","8,612","206","380","875","6,027","11.43","1.38","217","275.76","2.12","-7.24","2.39","14.68","138.32","17.98"
07년03월(1Q),"6,440","10,162","8,621","436","121","816","5,801","10.67","1.11","69","276.20","8.29","161.99","5.06","4.77","-67.25","20.46"
06년12월(4Q),"6,850","10,162","8,897","424","341","1,293","5,801","9.19","1.18","195","277.58","5.67","-7.59","4.76","13.69","-43.15","20.76"
06년09월(3Q),"6,910","9,783","9,224","457","436","807","5,585","7.73","1.24","249","294.89","23.62","","4.96","17.95","","21.11"
06년06월(2Q),"6,700","9,641","8,433","222","160","1,103","5,504","19.30","1.22","91","296.48","11.62","740.96","2.63","6.71","","18.49"
06년03월(1Q),"7,580","9,386","7,961","166","370","394","5,358","36.67","1.41","211","297.09","9.14","-4.12","2.09","16.02","15.48","17.53"
05년12월(4Q),"6,760","9,073","8,420","459","600","499","5,179","37.89","1.31","343","292.74","3.00","31.77","5.45","27.34","-40.03","21.22"
05년09월(3Q),"4,660","8,492","7,462","-83","-521","-504","4,848","11.44","0.96","-298","340.56","-7.64","","-1.11","-23.81","","16.09"
05년06월(2Q),"4,420","9,025","7,555","26","-86","750","5,152","4.18","0.86","-49","304.74","7.55","-89.40","0.35","-3.82","","17.79"
05년03월(1Q),"4,300","9,090","7,294","174","320","660","5,189","3.34","0.83","183","305.25","7.13","-38.37","2.38","14.34","-60.20","19.73"
04년12월(4Q),"3,680","8,775","8,174","348","1,001","583","5,009","2.35","0.73","571","327.97","15.93","-30.52","4.26","48.34","","22.08"
04년09월(3Q),"2,415","7,790","8,079","700","606","1,157","4,447","2.95","0.54","356","399.24","22.21","64.54","8.66","32.67","44.42","25.18"
04년06월(2Q),"2,360","7,048","7,024","249","293","137","4,146","3.34","0.57","173","450.86","32.23","","3.55","16.98","-15.40","20.84"
04년03월(1Q),"2,670","6,775","6,809","282","781","859","3,986","3.61","0.67","459","456.42","11.86","","4.14","49.38","","20.84"
03년12월(4Q),"2,625","5,869","7,051","501","-290","377","3,535","","0.74","-170","555.84","3.61","21.44","7.11","-19.24","","24.82"
03년09월(3Q),"2,140","6,176","6,611","425","419","1,191","3,717","4.25","0.58","246","516.83","-5.92","-46.72","6.43","28.55","13.67","23.56"
03년06월(2Q),"2,580","5,556","5,312","-539","347","-15","3,353","5.45","0.77","204","591.18","-14.29","","-10.15","25.54","76.14","8.97"
03년03월(1Q),"2,020","5,305","6,087","-54","-858","575","3,205","5.24","0.63","-505","542.62","6.67","","-0.88","-60.57","","17.50"
02년12월(4Q),"2,060","6,028","6,806","413","948","","3,630","2.00","0.57","558","546.39","20.66","5.92","6.06","60.88","","22.91"
02년09월(3Q),"2,110","6,432","7,027","798","368","","3,868","","0.55","217","464.50","16.26","2,092.41","11.36","23.72","","28.67"
02년06월(2Q),"2,970","5,991","6,198","514","197","","3,608","","0.82","116","497.59","15.77","215.91","8.29","13.29","","25.42"
02년03월(1Q),"4,130","5,860","5,707","249","237","","3,531","","1.17","140","524.48","10.95","145.29","4.37","18.19","","21.63"
01년12월(4Q),"2,950","4,569","5,640","389","-2,086","","2,772","","1.06","-1,227","823.76","1.91","1,363.14","6.91","-151.23","","23.63"
01년09월(3Q),"1,320","6,464","6,044","36","-348","","3,886","","0.34","-205","488.46","6.86","-94.21","0.60","-20.72","","18.65"
01년06월(2Q),"2,090","6,983","5,354","163","-538","","4,192","","0.50","-316","435.40","6.29","-72.16","3.04","-29.69","","21.66"
01년03월(1Q),"1,990","7,512","5,143","102","-1,025","","4,503","","0.44","-603","435.19","8.41","-78.02","1.97","-51.11","","20.76"
00년12월(4Q),"2,070","8,535","5,534","27","-2,308","","5,105","","0.41","-1,358","360.72","","","0.48","-94.42","","14.85"
00년09월(3Q),"2,490","11,024","5,656","629","139","","6,557","5.31","0.38","82","246.71","","","11.11","5.03","","34.93"
00년06월(2Q),"2,380","11,034","5,037","584","85","","6,491","","0.37","50","245.68","","","11.60","3.11","","28.43"
00년03월(1Q),"3,160","10,804","4,744","462","525","","6,355","","0.50","309","247.95","","","9.74","19.73","","30.81"
