결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"64,200","1,164","448","108","91","208","10,626","23.36","6.04","796","84.78","38.18","44.75","24.02","33.69","36.36","100.00"
19년06월(2Q),"61,500","1,067","416","96","101","94","9,933","24.25","6.19","883","81.66","43.67","56.49","23.05","40.82","114.60","100.00"
19년03월(1Q),"54,700","957","381","91","78","78","9,195","26.49","5.95","680","79.65","36.40","50.27","23.84","33.33","33.08","100.00"
18년12월(4Q),"39,400","929","373","75","44","173","8,950","20.80","4.40","389","69.60","44.83","69.41","20.14","19.83","9.66","100.00"
18년09월(3Q),"35,800","884","324","74","66","93","8,547","19.21","4.19","584","54.19","30.99","52.14","22.93","32.54","65.77","100.00"
18년06월(2Q),"46,700","767","290","61","46","72","7,652","28.61","6.10","412","48.71","28.41","43.04","21.16","25.25","33.86","100.00"
18년03월(1Q),"28,750","719","279","60","57","49","7,238","18.80","3.97","511","54.31","30.02","28.18","21.64","32.77","53.20","100.00"
17년12월(4Q),"19,200","701","258","44","39","79","7,063","14.24","2.72","354","47.55","20.42","-12.55","17.22","23.44","192.59","100.00"
17년09월(3Q),"20,350","652","248","49","38","32","6,663","18.26","3.05","352","46.18","22.10","38.81","19.74","24.61","48.10","100.00"
17년06월(2Q),"23,500","600","225","43","33","47","6,256","23.50","3.76","307","47.55","13.74","12.91","18.99","22.97","1.11","100.00"
17년03월(1Q),"21,050","564","215","47","36","56","5,910","21.16","3.56","334","56.88","17.17","29.82","21.95","25.53","9.53","100.00"
16년12월(4Q),"24,650","573","214","51","13","69","5,817","25.62","4.24","121","45.58","30.11","203.11","23.71","9.08","","100.00"
16년09월(3Q),"27,850","589","203","35","25","44","5,728","32.85","4.86","238","39.62","30.71","123.36","17.37","18.26","37.65","100.00"
16년06월(2Q),"29,400","546","198","38","32","67","5,392","37.61","5.45","304","40.99","27.97","60.71","19.13","24.79","233.57","100.00"
16년03월(1Q),"22,000","488","183","36","31","35","4,985","38.80","4.41","305","46.67","18.90","79.48","19.81","26.19","41.08","100.00"
15년12월(4Q),"28,000","481","164","17","-2","48","4,840","58.57","5.79","-2","41.53","11.11","39.52","10.18","-0.14","","100.00"
15년09월(3Q),"30,600","480","155","16","16","27","4,815","65.32","6.36","173","37.45","16.41","4.33","10.16","15.48","86.44","100.00"
15년06월(2Q),"37,150","455","155","24","7","34","4,589","95.66","8.10","91","39.60","36.41","99.16","15.24","8.50","-3.42","100.00"
15년03월(1Q),"25,150","444","154","20","20","45","4,468","64.22","5.63","216","52.11","40.51","21.50","13.12","20.70","55.47","100.00"
14년12월(4Q),"26,750","429","148","12","-2","44","4,355","85.72","6.14","-11","44.96","1,088.03","19.32","8.11","-1.10","","100.00"
14년09월(3Q),"32,100","428","133","15","9","26","4,327","102.86","7.42","93","50.47","3.76","18.30","11.34","9.20","","100.00"
14년06월(2Q),"23,300","416","114","12","8","30","4,204","110.71","5.54","94","47.90","4.41","24.62","10.44","9.79","1,197.98","100.00"
14년03월(1Q),"23,600","387","110","17","13","20","3,998","192.90","5.90","139","62.14","-6.24","53.55","15.18","14.92","152.29","100.00"
