결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"33,300","6,256","1,735","199","93","238","19,877","48.84","1.68","356","65.36","2.84","64.18","11.49","7.29","27.16","34.51"
19년06월(2Q),"41,600","6,077","1,596","39","7","208","19,272","69.15","2.16","20","67.59","28.30","-61.34","2.42","0.42","-91.10","28.97"
19년03월(1Q),"39,400","5,945","1,308","28","-37","-85","19,068","48.69","2.07","-43","66.96","18.24","-72.93","2.15","-0.92","","31.39"
18년12월(4Q),"52,300","5,761","2,085","152","7","773","18,465","38.43","2.83","348","74.00","45.87","306.32","7.29","7.63","","32.66"
18년09월(3Q),"50,500","5,693","1,687","121","73","88","18,066","93.37","2.80","280","72.44","94.62","162.78","7.20","6.23","-65.31","30.36"
18년06월(2Q),"41,950","5,526","1,244","100","40","229","17,910","39.67","2.34","226","71.54","83.78","626.21","8.04","5.28","17.30","31.67"
18년03월(1Q),"45,750","4,505","1,106","104","114","111","16,544","44.63","2.77","513","75.32","62.49","765.78","9.39","12.69","","39.77"
17년12월(4Q),"34,700","4,356","1,429","37","-133","678","16,077","174.42","2.16","-488","83.07","82.29","502.51","2.62","-12.37","","30.73"
17년09월(3Q),"28,900","3,835","867","46","128","19","15,985","94.66","1.81","807","40.72","-16.75","-65.74","5.33","21.10","122.28","31.48"
17년06월(2Q),"26,300","3,686","677","14","38","63","15,117","","1.74","193","35.51","-11.95","","2.04","5.22","","31.24"
17년03월(1Q),"23,600","3,649","681","12","-80","15","14,723","","1.60","-313","39.11","-24.73","-86.71","1.76","-8.39","","35.32"
16년12월(4Q),"25,900","3,755","784","6","-40","127","15,144","153.03","1.71","-381","39.82","-9.13","-85.55","0.79","-9.98","","35.78"
16년09월(3Q),"27,800","3,736","1,041","135","86","189","15,439","56.57","1.80","363","38.91","10.32","-27.66","12.95","9.44","-42.25","29.27"
16년06월(2Q),"36,450","3,707","769","-24","-65","-178","15,320","49.24","2.38","-56","38.86","1.00","","-3.16","-1.48","","20.85"
16년03월(1Q),"42,800","3,701","905","90","61","74","15,108","37.38","2.83","251","38.95","38.24","139.77","9.98","6.88","63.40","30.62"
15년12월(4Q),"43,000","3,235","863","43","-31","224","13,669","41.03","3.15","-71","42.11","8.87","-56.86","4.98","-2.06","","28.50"
15년09월(3Q),"39,750","3,254","944","186","132","246","13,665","29.79","2.91","629","45.70","19.97","31.35","19.75","19.24","28.15","40.02"
15년06월(2Q),"32,200","2,957","761","117","65","55","12,555","26.93","2.56","338","40.43","22.46","116.21","15.41","11.15","","36.54"
15년03월(1Q),"35,800","2,848","654","38","18","135","12,012","127.79","2.98","154","32.23","-2.17","-20.63","5.76","5.23","-6.28","33.67"
14년12월(4Q),"34,000","2,816","793","100","20","245","11,837","117.05","2.87","213","35.91","-0.61","-40.60","12.57","7.35","95.24","37.80"
14년09월(3Q),"39,000","2,748","787","142","101","-151","11,755","209.18","3.32","491","33.95","-4.13","-5.54","18.04","17.55","-22.91","39.53"
14년06월(2Q),"36,050","2,610","622","54","-131","-55","11,090","108.51","3.25","-578","42.76","9.25","48.36","8.73","-20.80","","33.87"
14년03월(1Q),"47,250","2,711","669","47","29","-129","11,609","50.07","4.07","164","36.33","33.80","-6.52","7.09","5.84","24.08","30.03"
13년12월(4Q),"44,200","2,664","797","168","23","415","11,376","48.42","3.89","109","47.28","-11.33","-24.82","21.04","3.96","-83.94","35.35"
13년09월(3Q),"38,100","2,544","821","150","130","-4","11,147","25.71","3.42","636","33.42","41.41","2.50","18.31","23.99","12.83","37.33"
13년06월(2Q),"33,800","2,421","569","37","7","143","10,559","24.02","3.20","34","30.29","30.01","-31.44","6.43","1.31","-81.62","33.06"
13년03월(1Q),"46,550","2,355","500","51","20","-252","10,510","29.84","4.43","132","24.13","0.79","-72.16","10.15","5.16","-76.45","42.12"
