결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년12월(4Q),"34,950","4,685","895","139","100","155","42,725","9.15","0.82","902","10.92","8.39","6.05","15.57","8.64","29.77","68.05"
19년09월(3Q),"34,450","4,576","620","97","94","121","41,744","9.54","0.83","845","11.52","13.90","40.07","15.71","8.28","55.55","58.89"
19년06월(2Q),"32,150","4,487","661","181","150","81","40,935","9.71","0.79","1,352","10.66","19.47","40.77","27.35","13.61","75.78","58.37"
19년03월(1Q),"27,250","4,326","599","82","80","105","39,488","9.99","0.69","719","13.83","13.62","11.43","13.63","7.38","24.11","57.37"
18년12월(4Q),"23,400","4,316","825","131","77","177","39,397","9.05","0.59","695","10.54","61.80","77.03","15.92","7.21","16.73","67.98"
18년09월(3Q),"150,000","4,237","544","70","60","123","38,704","12.06","0.78","544","9.83","-1.19","-36.71","12.78","5.83","-38.46","56.73"
18년06월(2Q),"173,500","4,030","553","128","85","47","37,205","12.27","0.93","769","8.93","15.21","125.18","23.21","8.59","132.13","57.21"
18년03월(1Q),"208,900","3,919","527","73","64","77","36,202","17.49","1.15","579","11.29","1.40","-0.06","13.90","6.55","1.05","57.83"
17년12월(4Q),"195,500","3,927","510","74","66","91","36,260","16.38","1.08","596","8.46","-8.69","-36.89","14.55","6.80","-31.66","57.53"
17년09월(3Q),"172,300","3,859","551","110","98","92","35,643","12.94","0.97","885","9.14","13.88","85.25","19.95","10.30","73.53","55.77"
17년06월(2Q),"179,000","3,763","480","57","37","33","34,777","15.65","1.03","332","8.38","-2.83","-40.85","11.87","3.95","-53.81","53.71"
17년03월(1Q),"168,200","3,712","520","73","64","65","34,316","12.57","0.98","574","12.11","3.95","-13.41","14.10","6.87","-9.03","56.32"
16년12월(4Q),"158,600","3,710","559","118","97","137","34,298","11.61","0.92","872","9.08","-2.70","-10.75","21.05","10.53","-12.49","56.43"
16년09월(3Q),"151,000","3,642","484","59","56","40","33,689","10.57","0.90","510","8.79","2.66","-15.99","12.26","6.26","-15.85","55.01"
16년06월(2Q),"151,500","3,593","494","96","80","75","33,242","10.26","0.91","719","8.36","7.56","17.75","19.51","8.99","10.18","55.44"
16년03월(1Q),"148,500","3,510","500","85","70","52","32,491","10.29","0.91","631","11.90","18.32","42.37","16.93","7.99","28.02","56.08"
15년12월(4Q),"150,000","3,499","574","132","110","149","32,393","10.92","0.93","997","9.25","25.60","21.18","22.94","12.83","43.30","55.75"
15년09월(3Q),"159,800","3,400","471","71","67","81","31,499","13.06","1.01","606","9.71","10.44","28.70","14.99","7.98","27.52","54.77"
15년06월(2Q),"149,000","3,337","460","82","72","112","30,930","12.87","0.96","653","9.27","11.17","91.60","17.82","8.78","67.20","54.14"
15년03월(1Q),"118,100","3,266","422","59","55","59","30,288","11.50","0.78","493","10.66","6.83","-9.95","14.07","6.72","-15.58","52.29"
14년12월(4Q),"128,700","3,249","457","109","77","114","30,136","12.00","0.85","696","8.24","6.52","78.36","23.78","9.60","41.52","52.12"
14년09월(3Q),"113,000","3,183","427","55","53","-6","29,545","11.64","0.76","475","8.19","12.75","-0.51","12.86","6.68","-4.52","49.24"
14년06월(2Q),"106,900","3,133","413","43","43","51","29,097","10.89","0.73","390","8.88","-1.99","-53.83","10.34","5.57","-42.51","48.16"
14년03월(1Q),"116,500","3,087","395","66","65","52","28,672","10.35","0.81","584","10.02","-5.51","-20.63","16.69","8.44","-38.14","49.41"
13년12월(4Q),"110,000","3,056","429","61","54","101","28,397","8.42","0.77","491","8.93","-6.35","-38.92","14.20","7.23","-32.20","48.74"
13년09월(3Q),"94,000","2,977","378","55","55","31","27,687","6.61","0.68","498","8.28","-9.23","-28.56","14.58","7.48","-23.10","46.43"
13년06월(2Q),"89,900","2,928","422","93","75","69","27,240","6.00","0.66","679","9.37","-5.80","6.45","21.94","10.44","-6.61","49.48"
13년03월(1Q),"86,500","2,851","418","83","105","48","26,545","5.69","0.65","944","12.69","-9.26","-22.94","19.87","14.82","7.93","49.57"
12년12월(4Q),"77,000","2,804","458","100","80","139","26,122","5.18","0.59","725","11.17","","","21.77","","","50.64"
12년09월(3Q),"74,600","2,764","412","79","81","19","25,787","4.67","0.58","735","11.07","-9.64","-8.97","19.06","12.06","-1.84","48.91"
12년06월(2Q),"76,900","2,642","444","88","82","63","24,688","4.79","0.62","737","12.79","-5.52","-25.26","19.86","12.58","-35.92","50.20"
12년03월(1Q),"79,400","2,557","457","109","98","55","23,925","4.38","0.66","885","15.37","1.65","6.61","23.86","15.49","29.71","50.30"
11년12월(4Q),"78,500","2,520","","","","","23,557","","0.67","","14.34","","","","","",""
11년09월(3Q),"76,000","2,434","456","86","83","12","22,817","4.33","0.67","749","12.32","13.23","0.64","18.91","13.86","23.32","48.57"
11년06월(2Q),"89,400","2,355","470","118","128","132","22,105","5.31","0.81","1,150","14.51","11.86","21.78","25.10","22.31","47.67","48.90"
11년03월(1Q),"86,100","2,219","450","102","76","38","20,877","5.74","0.82","682","16.51","7.59","27.38","22.75","13.76","27.10","49.60"
10년12월(4Q),"74,000","2,181","","","","","20,501","","0.72","","14.16","","","","","",""
10년09월(3Q),"66,900","","403","86","67","31","","","","607","","","","21.28","","","49.98"
10년06월(2Q),"60,600","","421","97","86","105","","","","779","","","","23.06","","","46.81"
10년03월(1Q),"67,500","","418","80","60","14","","","","537","","","","19.22","","","47.81"
09년12월(4Q),"60,000","1,870","452","109","81","168","17,727","5.78","0.68","729","15.27","22.79","91.82","24.18","17.65","72.21","47.69"
