결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"521,000","24,761","3,978","1,289","1,136","1,440","131,787","30.85","3.95","5,163","29.27","-1.49","-7.26","32.41","18.51","21.97","99.80"
19년06월(2Q),"477,000","24,488","4,108","1,294","1,169","1,041","130,620","29.89","3.65","5,306","29.71","-5.88","-18.87","31.50","19.35","-16.82","100.00"
19년03월(1Q),"496,000","23,881","3,588","795","747","732","127,931","29.13","3.88","3,382","37.80","-24.50","-60.99","22.16","12.51","-37.53","100.00"
18년12월(4Q),"466,500","23,790","3,997","1,126","676","866","127,548","24.47","3.66","3,036","23.64","-25.06","-40.51","28.17","10.99","-43.61","100.06"
18년09월(3Q),"442,500","24,926","4,038","1,390","944","815","125,296","20.67","3.53","4,233","21.74","-44.47","-57.59","34.42","14.44","-66.18","99.95"
18년06월(2Q),"371,000","26,731","4,365","1,595","1,402","-140","128,549","12.49","2.89","6,379","23.52","68.76","324.61","36.55","21.54","355.88","100.00"
18년03월(1Q),"420,000","25,408","4,752","2,038","1,192","1,986","122,533","16.99","3.43","5,413","36.99","98.40","569.68","42.90","18.08","576.49","100.00"
17년12월(4Q),"447,500","27,292","5,333","1,892","1,208","1,825","131,144","22.26","3.41","5,384","29.21","87.38","86.03","35.48","18.28","75.67","100.40"
17년09월(3Q),"464,500","24,589","7,273","3,278","2,751","3,698","118,678","26.12","3.91","12,517","28.51","234.28","403.42","45.07","47.38","469.36","100.00"
17년06월(2Q),"379,500","21,983","2,586","376","308","-296","106,870","50.85","3.55","1,399","24.69","7.52","-56.39","14.53","6.13","-66.14","100.00"
17년03월(1Q),"305,000","18,232","2,395","304","174","725","89,838","29.91","3.40","800","29.32","-0.56","-59.84","12.71","3.79","-73.50","99.11"
16년12월(4Q),"247,500","18,955","2,846","1,017","668","42","93,096","19.93","2.66","3,065","24.55","20.11","35.78","35.74","14.78","58.31","82.72"
16년09월(3Q),"295,500","17,610","2,176","651","479","617","86,993","26.18","3.40","2,198","27.24","11.19","28.72","29.93","11.14","59.01","80.94"
16년06월(2Q),"236,000","17,134","2,405","861","904","276","85,048","22.54","2.77","4,132","28.76","10.57","28.39","35.82","21.76","59.05","80.71"
16년03월(1Q),"253,500","16,266","2,408","758","662","184","81,092","28.37","3.13","3,020","36.73","28.03","68.91","31.47","15.62","85.80","79.02"
15년12월(4Q),"213,000","17,889","2,370","749","422","811","81,257","28.24","2.62","1,936","24.05","0.78","-14.27","31.61","9.69","-32.37","75.86"
15년09월(3Q),"189,000","17,563","1,957","506","306","626","79,218","22.32","2.39","1,383","24.06","-7.53","-37.81","25.85","7.05","-60.16","76.07"
15년06월(2Q),"198,500","17,225","2,175","671","579","727","77,740","18.80","2.55","2,598","23.06","1.74","3.31","30.84","13.60","4.99","76.85"
15년03월(1Q),"181,500","16,648","1,881","449","356","249","75,144","17.40","2.42","1,625","26.64","5.59","0.78","23.85","9.48","-3.19","74.33"
14년12월(4Q),"182,000","13,756","2,351","874","623","752","66,702","17.35","2.73","2,863","23.50","11.96","53.99","37.16","18.89","32.83","78.49"
