결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"35,700","20,783","6,826","705","509","2,858","44,335","11.21","0.81","1,109","59.91","14.09","13.86","10.33","10.73","21.28","23.99"
19년06월(2Q),"37,300","18,435","6,700","903","732","-1,170","39,088","12.48","0.95","1,499","69.04","16.47","15.76","13.48","15.63","27.96","27.04"
19년03월(1Q),"32,600","18,022","4,821","420","321","-1,055","38,364","12.25","0.85","692","65.21","7.17","1.52","8.72","7.59","19.00","27.46"
18년12월(4Q),"38,350","16,631","4,779","197","-161","1,117","35,217","15.03","1.09","-116","58.67","5.59","-5.52","4.12","-1.37","","25.94"
18년09월(3Q),"39,500","15,809","5,983","619","411","2,084","33,057","17.07","1.19","915","61.96","8.52","17.12","10.35","11.14","-5.92","25.77"
18년06월(2Q),"33,500","15,903","5,752","780","580","-825","33,016","14.12","1.01","1,172","71.77","1.84","14.84","13.57","15.05","2.92","28.47"
18년03월(1Q),"28,050","14,160","4,499","414","282","-536","29,618","11.99","0.95","581","76.22","2.11","4.82","9.21","8.16","-16.42","28.28"
17년12월(4Q),"31,500","13,407","4,526","208","-231","1,531","28,107","12.84","1.12","-353","69.67","-3.92","8.29","4.60","-4.92","","25.34"
17년09월(3Q),"32,600","14,369","5,513","529","327","2,093","30,004","11.92","1.09","972","68.46","0.68","0.02","9.59","13.35","7.77","26.50"
17년06월(2Q),"34,100","14,060","5,648","679","525","-704","28,954","12.79","1.18","1,138","81.18","2.44","-2.10","12.03","16.48","11.72","27.63"
17년03월(1Q),"33,300","13,121","4,406","395","326","-1,330","27,021","13.08","1.23","695","80.83","2.07","4.09","8.97","10.16","10.15","27.30"
16년12월(4Q),"30,650","13,775","4,710","192","-94","1,096","28,390","12.35","1.08","-70","73.48","21.52","-36.19","4.08","-1.03","","24.76"
16년09월(3Q),"37,050","13,033","5,476","529","387","2,090","26,687","12.77","1.39","902","69.79","10.56","-18.62","9.65","13.50","-20.35","24.80"
16년06월(2Q),"41,400","13,387","5,513","694","495","-794","27,054","13.22","1.53","1,019","86.34","21.90","-0.47","12.59","15.44","10.73","28.57"
16년03월(1Q),"48,100","12,802","4,316","380","302","-1,372","25,745","15.85","1.87","631","79.28","72.84","18.59","8.79","9.66","19.39","27.12"
15년12월(4Q),"42,100","13,624","3,876","301","187","993","26,554","14.36","1.59","350","63.02","34.58","28.02","7.77","5.28","-11.61","26.78"
15년09월(3Q),"60,500","13,192","4,953","650","491","2,140","26,452","20.32","2.29","1,133","60.77","24.52","-17.42","13.11","17.95","-11.02","28.02"
15년06월(2Q),"55,100","12,098","4,523","697","513","-357","24,028","17.67","2.29","920","67.29","29.82","25.94","15.42","15.76","21.29","30.68"
15년03월(1Q),"54,500","11,331","2,497","320","254","-192","22,693","18.44","2.40","529","63.95","17.71","14.54","12.82","9.48","13.92","27.18"
14년12월(4Q),"53,000","10,123","2,880","235","203","1,408","21,940","18.33","2.42","396","37.72","-2.66","46.80","8.17","7.30","62.54","24.51"
14년09월(3Q),"61,100","10,149","3,978","787","613","1,406","21,429","22.31","2.85","1,273","36.99","9.52","3.91","19.77","24.86","13.96","29.21"
14년06월(2Q),"45,450","9,236","3,484","554","381","-586","19,538","17.59","2.33","759","49.75","20.63","16.90","15.89","15.48","-3.13","27.11"
14년03월(1Q),"39,550","9,253","2,122","279","236","-280","19,664","15.17","2.01","464","39.44","32.34","28.81","13.17","9.55","28.23","26.51"
13년12월(4Q),"42,500","9,020","2,959","160","134","982","19,215","16.91","2.21","244","34.40","33.68","-8.15","5.42","5.06","166.59","19.62"
13년09월(3Q),"31,650","9,021","3,632","757","538","1,448","19,261","13.18","1.64","1,117","35.93","-2.93","-6.36","20.84","23.40","-16.16","28.70"
13년06월(2Q),"39,200","8,860","2,888","474","373","-881","18,928","15.27","2.07","783","51.68","-7.24","-27.79","16.40","17.02","-30.80","25.80"
13년03월(1Q),"42,300","8,359","1,603","217","174","-529","17,895","14.59","2.36","362","45.11","5.30","-3.23","13.53","8.65","-0.41","28.61"
12년12월(4Q),"33,000","6,806","2,213","175","54","911","15,724","11.31","2.10","91","46.72","-16.84","-51.02","7.88","2.30","-73.16","21.84"
12년09월(3Q),"36,750","6,906","3,742","808","583","1,984","15,996","11.60","2.30","1,332","50.75","17.90","16.92","21.61","34.37","2.99","28.77"
12년06월(2Q),"31,450","6,474","3,114","656","504","-651","15,009","10.05","2.10","1,132","77.55","16.65","8.95","21.06","31.50","16.23","30.19"
12년03월(1Q),"21,600","5,909","1,523","224","176","-458","13,738","7.27","1.57","363","56.19","8.95","29.43","14.73","10.69","38.90","29.30"
11년12월(4Q),"27,750","5,769","2,662","356","166","1,495","13,454","9.67","2.06","340","46.41","23.64","462.57","13.39","10.01","447.05","26.07"
11년09월(3Q),"19,800","5,886","3,174","691","565","1,186","13,737","7.64","1.44","1,293","54.38","9.67","18.98","21.79","40.61","29.95","29.14"
11년06월(2Q),"15,250","5,014","2,669","602","432","-658","11,738","6.65","1.30","974","79.91","33.90","47.96","22.55","34.27","47.81","31.48"
11년03월(1Q),"10,400","4,685","1,398","173","122","-609","10,995","5.26","0.95","262","61.31","36.23","217.34","12.39","9.39","300.59","26.99"
10년12월(4Q),"10,550","4,804","2,153","63","17","999","11,299","5.92","0.93","62","47.49","","","2.94","","","18.05"
10년09월(3Q),"9,830","","2,894","581","425","896","","","","995","","","","20.08","","","27.62"
10년06월(2Q),"8,300","","1,993","407","293","-927","","","","659","","","","20.41","","","30.62"
10년03월(1Q),"8,980","","1,026","55","31","-358","","","","65","","","","5.32","","","22.01"
09년12월(4Q),"11,700","4,006","1,519","50","4","525","9,817","","1.19","11","35.90","","","3.32","0.45","","14.05"
09년09월(3Q),"7,410","4,033","2,859","340","497","456","9,883","","0.75","1,217","39.26","","","11.88","","","16.23"
