결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년12월(4Q),"17,800","33,376","5,707","810","337","928","30,932","23.05","0.58","102","30.82","6.91","29.91","14.20","1.32","-54.23","44.24"
19년09월(3Q),"15,900","33,358","5,558","878","595","1,147","31,012","17.81","0.51","349","30.83","12.33","67.23","15.80","4.56","372.11","45.61"
19년06월(2Q),"17,150","32,598","4,497","341","221","1,085","30,565","27.77","0.56","112","30.10","3.12","6.41","7.59","1.47","-54.23","42.91"
19년03월(1Q),"18,550","32,296","5,274","637","411","266","30,320","24.74","0.61","210","35.77","-1.05","-23.76","12.08","2.80","-41.55","43.47"
18년12월(4Q),"17,100","31,766","5,338","624","171","666","30,134","19.02","0.57","222","36.69","1,667.84","3,669.38","11.68","2.97","","45.23"
18년09월(3Q),"18,850","31,545","4,948","525","125","1,429","29,890","","0.63","74","36.78","758.78","376.35","10.61","0.99","-88.91","46.56"
18년06월(2Q),"27,500","32,167","4,361","321","286","525","30,246","","0.91","244","34.95","2,637.62","","7.35","3.26","-99.23","42.96"
18년03월(1Q),"27,400","31,912","5,331","836","601","886","30,006","0.79","0.91","360","37.43","5,815.45","","15.68","4.85","-13.54","44.70"
17년12월(4Q),"26,650","31,179","302","17","-515","144","29,683","0.76","0.90","-1,318","38.00","-24.90","276.64","5.48","-17.94","","24.57"
17년09월(3Q),"22,700","6,645","576","110","182","128","29,583","0.66","0.77","666","21.19","66.35","3,358.58","19.13","9.32","-53.11","26.96"
17년06월(2Q),"798,000","6,425","159","-37","14,951","62","28,727","1.32","1.36","31,804","19.38","70.05","","-23.38","","27,632.76","18.88"
17년03월(1Q),"670,000","-12,218","90","-41","246","-422","-21,450","10.24","","416","","-79.41","","-44.96","71.90","-63.93","17.18"
16년12월(4Q),"655,000","17,049","402","4","784","1,644","27,162","8.14","1.18","1,260","70.62","-93.34","-99.34","1.09","19.76","143.92","17.65"
16년09월(3Q),"827,000","15,608","346","3","891","1,068","24,956","12.67","1.63","1,421","75.98","-94.58","-99.59","0.92","23.77","139.54","23.12"
16년06월(2Q),"942,000","15,472","94","-58","75","231","23,928","19.46","1.93","115","85.89","-98.17","","-62.30","1.96","-63.80","29.20"
16년03월(1Q),"914,000","15,534","438","33","740","463","24,026","17.40","1.87","1,154","89.89","-93.01","-96.93","7.50","19.83","-10.54","19.86"
15년12월(4Q),"1,166,000","15,262","6,040","664","303","1,329","23,613","21.09","2.43","517","96.49","22.46","61.57","10.99","8.96","-15.06","48.86"
15년09월(3Q),"942,000","15,292","6,394","786","408","1,336","23,610","16.48","1.96","593","98.87","15.16","7.22","12.30","10.49","-29.01","43.79"
15년06월(2Q),"1,048,000","14,835","5,126","474","209","580","22,721","16.88","2.27","317","94.48","3.24","19.09","9.26","5.78","-20.24","45.52"
15년03월(1Q),"1,158,000","14,506","6,264","1,069","851","1,575","22,201","18.17","2.56","1,290","106.20","-4.34","12.95","17.06","24.26","44.06","48.89"
14년12월(4Q),"1,015,000","14,025","4,933","411","346","37","21,418","18.22","2.33","608","109.09","-21.94","-13.14","8.33","11.82","51.05","52.89"
14년09월(3Q),"875,000","13,716","5,552","733","547","1,342","20,586","16.98","2.09","835","113.72","-11.81","3.23","13.21","16.96","19.10","46.31"
14년06월(2Q),"927,000","12,927","4,965","398","256","94","19,381","19.00","2.35","397","114.67","-14.24","-17.23","8.02","8.30","-0.29","46.27"
14년03월(1Q),"819,000","12,984","6,548","946","595","684","19,473","16.78","2.07","895","125.10","1.56","1.72","14.45","18.85","-4.57","44.23"
13년12월(4Q),"949,000","12,693","6,319","473","267","1,169","19,082","19.10","2.44","403","134.28","5.31","148.48","7.48","8.67","52.42","44.13"
13년09월(3Q),"953,000","12,401","6,296","710","443","1,159","18,621","20.33","2.51","701","133.33","4.67","19.13","11.28","15.35","8.04","43.14"
13년06월(2Q),"953,000","12,337","5,790","481","249","142","18,508","20.81","2.53","398","128.02","7.12","-30.42","8.31","8.93","-28.14","41.69"
13년03월(1Q),"1,083,000","11,909","6,448","930","644","453","17,751","22.11","3.00","938","132.17","2.98","-19.73","14.43","22.10","-12.60","44.28"
12년12월(4Q),"1,099,000","11,280","6,000","190","124","210","16,780","21.24","3.22","264","134.72","13.90","-49.13","3.17","6.41","224.48","39.05"
12년09월(3Q),"971,000","11,300","6,015","596","411","1,094","16,741","20.22","2.85","649","139.53","22.17","-10.04","9.91","16.00","8.93","42.31"
12년06월(2Q),"948,000","11,011","5,404","692","401","672","16,276","20.20","2.86","554","130.22","33.65","116.67","12.80","14.08","103.31","45.03"
12년03월(1Q),"796,000","10,642","6,261","1,159","762","522","15,785","19.32","2.48","1,074","130.29","27.99","45.83","18.51","28.43","49.95","45.91"
11년12월(4Q),"678,000","10,096","5,268","374","74","745","14,976","19.99","2.22","81","129.78","24.35","14.82","7.10","2.20","","44.65"
11년09월(3Q),"515,000","10,169","4,923","663","394","706","15,278","16.35","1.66","596","120.20","31.95","76.33","13.46","16.60","72.76","44.48"
11년06월(2Q),"456,000","9,441","4,044","319","141","123","14,158","17.28","1.58","273","123.64","6.11","-39.20","7.90","7.95","-86.05","40.20"
11년03월(1Q),"394,500","9,367","4,892","795","496","129","13,986","6.51","1.39","716","130.30","17.13","-11.99","16.25","21.51","-29.99","45.05"
10년12월(4Q),"386,000","8,982","4,236","326","-23","413","13,352","5.77","1.42","-37","141.56","","","7.69","","","44.27"
10년09월(3Q),"414,000","","3,731","376","204","408","","","","345","","","","10.07","","","44.80"
10년06월(2Q),"368,500","","3,811","525","1,215","721","","","","1,954","","","","13.78","","","45.82"
10년03월(1Q),"282,000","","4,176","903","718","-144","","","","1,023","","","","21.62","","","46.63"
09년12월(4Q),"289,000","4,701","1,477","126","-314","125","8,173","22.81","1.74","-527","146.44","8.50","20,330.63","8.53","-25.98","","40.02"
09년09월(3Q),"225,000","4,963","1,472","110","281","199","8,613","30.83","1.28","472","136.12","5.74","42.77","7.47","22.74","","38.54"
09년06월(2Q),"220,000","4,927","1,506","146","213","162","8,552","","1.26","357","135.09","7.92","12.26","9.72","17.39","110.92","39.30"
09년03월(1Q),"162,500","4,851","1,523","147","191","146","8,425","","0.95","320","144.67","6.10","32.24","9.63","16.45","-20.03","39.05"
08년12월(4Q),"182,500","4,425","1,362","1","-471","-189","7,709","","1.16","-791","146.48","-2.95","-98.77","0.05","-39.47","","38.02"
08년09월(3Q),"193,000","5,118","1,392","77","-158","87","8,874","73.39","1.07","-266","122.71","5.48","85.59","5.53","-12.41","","37.40"
08년06월(2Q),"221,500","5,081","1,395","130","101","205","8,811","9.42","1.23","169","109.17","11.15","42.56","9.35","8.13","-23.21","40.03"
08년03월(1Q),"169,500","4,831","1,436","111","238","187","8,413","6.90","0.99","401","113.12","3.75","-5.54","7.72","20.19","25.17","37.50"
07년12월(4Q),"250,000","4,597","1,403","50","-104","-152","8,017","10.91","1.53","-174","111.09","3.96","558.95","3.58","-8.92","","36.11"
07년09월(3Q),"277,500","4,696","1,319","41","451","82","8,184","10.36","1.67","760","106.55","0.92","104.93","3.14","39.80","-38.07","37.26"
07년06월(2Q),"276,000","4,373","1,256","92","131","-269","7,641","7.61","1.77","220","97.58","-4.76","-19.32","7.29","12.14","-53.66","39.15"
07년03월(1Q),"233,000","4,252","1,384","117","190","117","7,437","5.62","1.54","320","98.97","-4.93","-10.82","8.48","18.02","255.19","38.43"
06년12월(4Q),"272,500","4,165","1,350","8","9","63","7,317","7.41","1.83","14","98.00","-6.78","-83.56","0.57","0.82","-96.92","36.65"
06년09월(3Q),"218,000","4,231","1,307","20","726","-136","7,429","4.73","1.44","1,227","96.20","3.50","-72.30","1.55","76.94","24,917.59","38.13"
06년06월(2Q),"258,000","3,317","1,318","113","281","182","5,885","12.18","2.15","476","141.17","2.28","-8.51","8.60","34.31","1,023.11","40.22"
06년03월(1Q),"287,000","3,245","1,455","132","53","132","5,762","23.23","2.45","90","126.70","5.79","-19.04","9.04","6.53","-22.47","38.40"
05년12월(4Q),"280,500","3,270","1,448","46","277","","5,823","21.76","2.37","469","127.73","14.37","22.90","3.20","34.07","375.35","36.23"
05년09월(3Q),"185,000","3,233","1,263","73","3","68","5,760","34.70","1.58","5","120.59","6.26","-16.49","5.79","0.36","-87.56","38.29"
