결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"23,050","4,418","637","-32","-64","207","18,218","40.67","1.27","-247","36.98","-0.84","","-5.06","-5.40","","28.36"
19년06월(2Q),"28,950","4,479","781","-1","-64","141","18,464","31.63","1.57","-309","38.42","26.65","","-0.13","-6.63","","28.75"
19년03월(1Q),"37,700","4,581","647","-27","73","103","18,868","30.87","2.00","428","38.20","-15.75","","-4.20","9.19","263.66","26.82"
18년12월(4Q),"47,500","4,494","832","38","144","128","18,407","52.16","2.58","696","32.24","-12.89","7.64","4.55","15.43","","26.93"
18년09월(3Q),"44,200","4,313","642","23","11","155","17,951","210.11","2.46","101","32.65","-14.60","57.22","3.62","2.29","-68.35","32.86"
18년06월(2Q),"36,250","4,311","617","16","-4","-31","17,880","84.61","2.03","-4","33.73","-14.63","-63.21","2.58","-0.09","","34.52"
18년03월(1Q),"30,800","4,307","767","19","8","-28","17,842","46.90","1.73","118","36.84","-28.21","-87.26","2.46","2.68","-71.08","26.36"
17년12월(4Q),"28,850","4,321","955","35","-41","110","17,539","30.98","1.64","-4","35.06","35.78","-0.12","3.69","-0.10","","23.31"
17년09월(3Q),"27,200","4,364","752","15","53","19","17,875","26.00","1.52","319","30.62","-25.74","-87.81","1.97","7.31","70.46","27.68"
17년06월(2Q),"31,500","4,241","723","43","47","-382","17,613","34.52","1.79","225","31.27","-6.48","-36.07","6.00","5.59","-44.43","34.09"
17년03월(1Q),"29,200","3,551","1,069","148","60","473","16,064","27.00","1.82","407","46.07","46.52","56.30","13.87","10.25","-5.83","30.84"
16년12월(4Q),"28,350","3,504","703","35","-12","-169","16,007","25.92","1.77","94","38.95","26.09","-13.71","5.01","2.39","-55.89","28.61"
16년09월(3Q),"32,150","3,476","1,013","121","23","63","15,961","26.22","2.01","187","41.47","112.40","121.34","11.98","5.35","-50.33","28.35"
16년06월(2Q),"40,150","2,855","773","68","66","304","13,257","28.16","3.03","404","47.63","70.73","33.11","8.77","12.54","-44.49","29.76"
16년03월(1Q),"39,100","2,729","730","95","64","127","12,590","22.35","3.11","432","46.71","64.35","32.58","13.00","13.85","12.79","31.77"
15년12월(4Q),"44,550","2,693","558","41","20","15","12,440","26.20","3.58","212","39.39","38.01","-2.22","7.32","6.91","18.55","30.17"
15년09월(3Q),"52,200","2,669","477","55","46","-79","12,189","31.24","4.28","377","38.38","23.54","19.92","11.49","12.64","-11.88","38.11"
15년06월(2Q),"48,000","2,635","453","51","116","205","11,716","27.87","4.10","728","38.64","35.38","4.20","11.25","25.35","161.74","32.76"
15년03월(1Q),"46,750","2,550","444","72","58","-83","11,317","36.95","4.13","383","39.36","1.19","-13.50","16.12","13.88","-11.29","37.06"
14년12월(4Q),"44,200","2,462","404","42","21","6","10,830","34.08","4.08","179","38.30","54.19","4.18","10.34","6.58","51.37","32.21"
14년09월(3Q),"51,500","1,767","386","46","63","89","11,617","40.69","4.43","428","19.32","30.06","-28.13","11.84","15.11","42.79","33.06"
14년06월(2Q),"38,100","1,685","334","49","40","147","11,055","33.76","3.45","278","21.11","9.28","-11.16","14.62","11.60","-32.27","37.30"
14년03월(1Q),"63,400","1,152","439","83","58","103","8,308","38.68","5.87","432","33.97","47.18","31.45","18.85","21.09","39.36","35.03"
13년12월(4Q),"52,000","1,123","262","40","15","14","8,088","34.20","4.81","118","17.60","-26.99","-41.18","15.30","5.90","-75.16","42.41"
13년09월(3Q),"54,900","1,095","297","64","39","-36","7,933","27.46","5.18","299","18.59","-0.99","-10.83","21.42","15.36","-29.85","40.30"
13년06월(2Q),"52,300","1,053","306","55","55","134","7,669","24.11","5.10","411","20.56","34.18","36.52","17.99","22.02","53.71","34.60"
13년03월(1Q),"71,900","986","298","63","42","-15","7,254","36.27","7.42","310","26.66","66.75","80.32","21.11","17.18","33.90","40.28"
12년12월(4Q),"61,500","974","359","68","64","63","7,190","32.68","6.40","476","20.64","102.87","35.42","18.99","27.33","98.35","31.66"
12년09월(3Q),"95,300","914","300","71","58","40","6,748","60.57","10.57","427","22.68","91.20","183.39","23.79","26.31","6.45","41.64"
12년06월(2Q),"52,400","843","228","40","35","23","6,444","37.87","6.09","267","18.01","-13.68","-27.04","17.68","17.09","-33.86","44.02"
12년03월(1Q),"44,750","793","179","35","30","16","6,060","29.01","5.53","232","15.03","-2.51","-25.50","19.52","15.57","-73.25","45.75"
11년12월(4Q),"73,600","764","177","50","27","43","5,836","21.74","4.72","240","18.35","","","28.44","","","35.82"
