결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"2,775","658","4","-4","-6","-12","829","21.93","3.35","-7","10.12","-26.64","","-68.30","-3.58","","75.03"
19년06월(2Q),"4,010","667","14","6","5","26","840","30.58","4.77","6","10.01","100.30","","40.50","3.21","","101.15"
19년03월(1Q),"2,895","661","22","13","13","-42","833","23.39","3.47","15","11.27","36.18","76.72","47.75","7.65","89.29","80.99"
18년12월(4Q),"2,590","654","136","127","94","-61","825","22.19","3.14","112","9.40","","","87.13","61.62","","93.85"
18년09월(3Q),"3,985","571","6","-2","-2","25","725","904.86","5.49","-2","10.53","-86.93","","-25.84","","","61.66"
18년06월(2Q),"2,860","574","8","-2","","3","729","48.12","3.92","","1.93","","","-20.55","-0.17","","74.85"
18년03월(1Q),"4,235","578","17","8","7","-59","734","85.20","5.77","8","4.44","61.74","452.57","35.43","4.75","544.19","75.65"
17년12월(4Q),"3,355","598","-12","-25","5","11","758","78.59","4.43","6","1.64","","","-123.05","3.60","-61.60","-60.54"
17년09월(3Q),"1,800","582","46","38","38","143","739","34.07","2.44","45","1.85","1,170.85","","83.35","26.60","","99.43"
17년06월(2Q),"644","557","-1","-8","-8","7","710","188.45","0.91","-10","1.63","-111.83","","-148.37","-6.04","","-20.59"
17년03월(1Q),"740","557","10","1","1","-3","710","43.97","1.04","1","8.30","87.05","","11.50","0.77","","83.90"
16년12월(4Q),"660","574","22","14","14","44","730","52.38","0.90","16","6.20","21.35","18.13","36.45","9.71","15.85","55.94"
16년09월(3Q),"746","565","4","-4","-4","-16","719","72.10","1.04","-4","6.48","-17.39","","-52.90","-2.56","","52.49"
16년06월(2Q),"761","565","10","3","3","-52","719","59.11","1.06","3","6.32","-20.63","-57.02","26.43","2.04","-57.16","91.78"
16년03월(1Q),"496","552","6","-5","-2","-39","703","28.50","0.71","-3","6.37","329.17","","-65.62","-1.79","","79.01"
15년12월(4Q),"580","551","18","12","12","34","702","40.62","0.83","14","6.26","-50.60","-59.42","54.06","8.75","-59.45","80.76"
15년09월(3Q),"473","539","4","-1","-1","12","688","13.47","0.69","-2","6.56","-36.64","","-27.87","-1.10","","80.84"
15년06월(2Q),"504","549","12","7","7","34","700","13.46","0.72","8","6.35","219.87","","52.02","4.93","","97.84"
15년03월(1Q),"482","530","1","-5","-5","3","677","18.38","0.71","-6","8.73","-88.94","","-122.33","-3.80","","33.03"
14년12월(4Q),"315","543","36","29","29","8","692","8.47","0.46","35","6.45","-16.90","-20.53","56.30","22.50","-40.83","69.09"
14년09월(3Q),"311","503","7","","","3","646","5.07","0.48","1","7.10","54.03","","5.59","0.36","","91.87"
14년06월(2Q),"283","505","4","-3","-3","-5","647","4.94","0.44","-3","6.97","-203.60","","-47.99","-2.17","","67.45"
14년03월(1Q),"273","511","12","4","4","35","655","5.41","0.42","5","22.42","-169.97","","31.99","3.23","","83.21"
13년12월(4Q),"246","503","43","37","50","24","645","15.39","0.38","59","24.30","-277.18","","68.66","40.35","","80.58"
13년09월(3Q),"293","515","11","-3","-3","-9","628","","0.47","-3","32.06","462.58","","-9.20","-1.86","","35.41"
13년06월(2Q),"353","524","6","-8","-8","-12","638","","0.55","-12","30.85","-83.78","","-29.93","-7.75","","22.17"
13년03월(1Q),"371","534","-11","-27","-25","4","651","","0.57","-29","41.04","-276.42","","-105.93","-18.83","","-44.38"
12년12월(4Q),"334","553","-9","-37","-34","13","673","","0.50","-43","38.11","","","-79.29","","","-18.89"
12년09월(3Q),"687","542","-3","-10","-10","33","691","","0.99","-11","31.08","37.17","","-43.82","-6.96","","-11.71"
12년06월(2Q),"463","560","25","18","20","25","713","","0.65","23","29.99","6,771.46","","54.71","14.07","","76.03"
12년03월(1Q),"330","559","1","-7","-7","-37","712","","0.46","-8","31.64","-91.94","","-77.26","-5.04","","6.57"
11년12월(4Q),"319","619","","","","","734","","0.43","","35.13","","","","","",""
11년09월(3Q),"307","585","-2","-8","-8","-30","740","26.17","0.41","-10","30.57","-121.98","","-69.91","-5.68","","-15.71"
11년06월(2Q),"324","591","","-5","-5","13","738","13.67","0.44","-6","30.52","-111.54","","-63.01","-3.67","","4.23"
11년03월(1Q),"355","593","7","-1","-1","-13","740","17.53","0.48","-1","35.04","-1.46","","-3.87","-0.54","","35.85"
10년12월(4Q),"356","648","","","","","764","","0.47","","39.72","","","","","",""
10년09월(3Q),"335","","9","2","2","15","","","","2","","","","12.21","","","61.15"
10년06월(2Q),"355","","-3","-8","-8","14","","","","-10","","","","-58.04","","","-22.03"
10년03월(1Q),"345","","8","1","1","-3","","","","1","","","","5.00","","","53.75"
09년12월(4Q),"350","588","8","1","1","52","723","24.04","0.48","1","41.92","-108.24","","7.07","0.84","","48.90"
