결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
19년09월(3Q),"2,400","6,680","1,609","49","101","160","5,062","5.62","0.47","74","259.87","0.23","-57.88","3.05","6.06","-67.15","56.51"
19년06월(2Q),"2,900","6,558","1,618","61","120","186","4,972","5.22","0.58","89","280.00","2.36","-6.25","3.76","7.40","-42.16","57.64"
19년03월(1Q),"2,905","6,445","1,595","41","165","166","4,888","4.12","0.59","222","283.93","0.03","-26.22","2.56","13.65","105.31","56.38"
18년12월(4Q),"2,695","3,190","1,649","103","25","337","8,204","4.89","0.33","62","104.79","2.66","3.35","6.25","3.15","-45.51","57.96"
18년09월(3Q),"4,730","3,185","1,606","117","92","15","8,192","6.34","0.47","226","71.58","3.99","7.90","7.26","11.72","-1.39","58.28"
18년06월(2Q),"6,110","3,095","1,580","65","63","-38","7,970","8.14","0.62","154","74.68","2.71","3.31","4.11","8.19","15.32","57.01"
18년03월(1Q),"6,980","3,031","1,595","55","44","69","7,810","9.63","0.72","108","80.14","2.59","-22.61","3.47","5.81","-23.73","54.73"
17년12월(4Q),"7,090","3,030","1,606","100","45","152","7,810","9.24","0.73","113","76.24","1.42","-12.85","6.21","6.13","-0.32","55.96"
17년09월(3Q),"6,940","2,985","1,544","108","93","248","7,698","9.04","0.73","230","74.58","1.68","56.26","7.00","12.62","94.43","56.61"
17년06월(2Q),"8,300","2,931","1,539","63","54","137","7,463","13.19","0.90","134","74.97","-0.87","-33.17","4.08","7.50","-22.17","55.91"
17년03월(1Q),"9,020","2,874","1,555","72","57","63","7,319","13.34","0.99","142","79.06","-1.98","-28.12","4.60","8.12","-19.83","54.99"
16년12월(4Q),"9,310","2,811","1,583","114","48","162","7,163","12.93","1.05","114","80.96","-9.80","-9.49","7.23","6.62","-46.17","55.09"
16년09월(3Q),"11,100","2,781","1,519","69","48","250","7,092","13.20","1.26","118","81.15","-2.32","17.35","4.56","6.97","48.42","53.20"
16년06월(2Q),"11,700","2,729","1,552","94","67","142","6,965","14.75","1.36","172","84.83","-1.31","348.62","6.06","10.37","1,517.93","53.33"
16년03월(1Q),"14,100","2,663","1,586","99","74","102","6,797","23.77","1.67","177","86.95","-2.23","263.45","6.27","10.96","597.15","52.51"
15년12월(4Q),"10,200","2,593","1,755","126","85","250","6,629","25.18","1.24","211","90.63","6.24","138.37","7.20","13.52","","51.34"
15년09월(3Q),"8,290","2,488","1,555","59","33","46","6,371","78.33","1.05","80","95.33","-1.70","37.62","3.79","5.24","-8.08","50.82"
15년06월(2Q),"9,440","2,454","1,573","21","4","-508","6,288","91.37","1.21","11","93.85","-2.14","-48.27","1.33","0.71","-93.80","47.30"
15년03월(1Q),"9,350","2,441","1,622","27","11","32","6,256","31.96","1.21","25","95.53","2.13","-36.74","1.69","1.69","-67.12","47.31"
14년12월(4Q),"7,600","2,437","1,652","53","-13","-53","6,248","21.02","0.98","-33","91.15","7.74","","3.21","-2.23","","48.36"
14년09월(3Q),"7,150","2,133","1,582","43","31","55","6,370","73.22","0.91","87","106.17","-2.15","14.29","2.71","5.74","245.70","48.37"
14년06월(2Q),"7,630","2,100","1,607","41","58","174","6,277","349.95","0.96","172","106.50","-2.13","31.70","2.52","11.62","351.50","50.59"
14년03월(1Q),"7,040","2,043","1,589","43","28","50","6,109","","0.91","77","122.34","-6.35","-41.91","2.72","5.34","-72.71","50.19"
13년12월(4Q),"6,900","2,016","1,534","-14","-89","200","6,034","61.10","0.91","-257","127.81","-11.94","","-0.92","-17.41","","52.99"
13년09월(3Q),"6,500","2,121","1,616","37","10","119","6,333","","0.81","25","114.74","-1.61","","2.32","1.66","","50.43"
13년06월(2Q),"7,510","2,113","1,642","31","11","153","6,313","","0.94","38","116.80","-9.92","","1.87","2.54","","52.50"
13년03월(1Q),"8,980","2,087","1,696","75","100","59","6,238","","1.14","283","132.18","-11.32","0.14","4.39","19.48","86.46","54.81"
12년12월(4Q),"6,550","2,138","1,742","18","-474","328","5,965","","0.87","-1,223","168.35","","","1.01","","","42.97"
12년09월(3Q),"6,040","2,199","1,717","10","-53","56","7,415","","0.65","-171","156.56","-10.35","-91.05","0.59","-9.34","","51.96"
12년06월(2Q),"9,950","2,339","1,800","-55","-138","-11","7,606","","1.04","-444","141.55","-8.00","","-3.08","-22.76","","55.17"
12년03월(1Q),"12,750","2,499","1,879","66","27","19","8,060","17.79","1.25","87","129.59","0.31","-33.39","3.50","4.27","-58.39","56.87"
11년12월(4Q),"15,900","2,936","","","","","8,517","","1.48","","116.55","","","","","",""
11년09월(3Q),"16,250","2,603","1,915","114","73","70","8,395","11.69","1.53","237","113.17","2.10","-29.26","5.95","11.60","30.08","58.53"
11년06월(2Q),"16,350","2,449","1,956","149","90","198","8,062","12.37","1.61","295","130.20","-2.71","-30.63","7.62","14.83","-35.84","60.12"
11년03월(1Q),"16,800","2,380","1,873","99","64","274","7,833","10.98","1.70","210","114.95","-6.50","-55.53","5.27","10.38","-62.08","59.09"
10년12월(4Q),"21,800","2,779","","","","","8,344","","2.07","","102.42","","","","","",""
10년09월(3Q),"25,050","","1,876","161","55","189","","","","182","","","","8.59","","","59.83"
10년06월(2Q),"25,350","","2,011","215","139","54","","","","459","","","","10.68","","","61.17"
10년03월(1Q),"25,200","","2,003","222","168","202","","","","554","","","","11.08","","","59.43"
09년12월(4Q),"22,100","2,367","2,157","234","145","360","7,797","9.18","2.25","479","99.61","2.83","17.42","10.85","25.35","877.16","61.95"
09년09월(3Q),"23,000","2,220","2,064","218","144","246","7,313","12.30","2.49","475","105.54","7.12","34.33","10.56","26.88","42.50","60.92"
09년06월(2Q),"22,900","2,072","2,061","208","146","147","6,825","13.54","2.66","480","111.73","5.33","25.49","10.09","28.81","92.77","60.40"
09년03월(1Q),"18,100","1,977","1,971","202","144","99","6,523","12.95","2.20","474","124.37","5.64","53.16","10.24","29.09","42.64","59.45"
08년12월(4Q),"14,600","1,972","2,097","199","15","180","6,522","12.03","1.77","49","117.76","7.79","9.14","9.50","3.03","-84.74","61.82"
08년09월(3Q),"20,400","1,914","1,927","162","99","172","6,445","13.08","2.51","333","113.13","15.18","15.50","8.42","21.44","11.20","59.60"
08년06월(2Q),"24,200","1,779","1,956","166","74","134","5,996","15.95","3.20","249","119.67","76.45","77.84","8.47","17.01","117.09","59.32"
08년03월(1Q),"20,800","1,698","1,866","132","98","107","5,737","15.42","2.87","332","119.80","","","7.06","23.13","","58.58"
07년12월(4Q),"19,000","1,706","1,946","183","95","394","5,766","","2.61","321","115.75","","","9.38","22.86","","60.11"
07년09월(3Q),"19,250","1,604","1,673","141","88","22","5,460","","2.79","300","128.86","","","8.40","22.57","","60.21"
07년06월(2Q),"22,000","1,518","1,109","93","34","53","5,167","","3.37","115","134.80","","","8.41","","","61.55"
